## STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
##;;;;;;;;;;;X
##;MAJOR NOTE ABOUT THIS FILE:;;;;;;;;;;X
##;;;;;;;;;;;X
##;This file contains message texts used directly by the game engine and no modifications should be made to it by mods.;;;;;;;;;;X
##;To redefine a text string from this file, place it in mods.csv and do the change there. Note that redefined engine strings must match exactly the format used by original text or the game could behave abnormally.;;;;;;;;;;X
##;This file is loaded just before mods.csv text file and will replace any strings defined by previously loaded text files, but will trigger error on each replacement if extra debug logs are enabled (settings.cfg).;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;MESSAGES STRUCTURE:;;;;;;;;;;X
##;;;;;;;;;;;X
##;*_SETUP = the string displayed in the in-game message display options listing;;;;;;;;;;X
##;*_HEADER = small orange header in message box;;;;;;;;;;X
##;*_1 = large white header in message box (limited space!);;;;;;;;;;X
##;*_2 = small orange text in message box;;;;;;;;;;X
##;*_3 = all caps white text in message box;;;;;;;;;;X
##;*_4 = small orange text in message box;;;;;;;;;;X
##;*_5 = all caps white text in message box;;;;;;;;;;X
##;*_6 = small orange text in message box;;;;;;;;;;X
##;*_LOG = the text that is displayed in the game log (in the bottom of the screen). Most often this is just a shorter recap of all the other text strings.;;;;;;;;;;X
##;*_BTN1 = left button;;;;;;;;;;X
##;*_BTN2 = right button;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES:;;;;;;;;;;X
##;;;;;;;;;;;X
##;If any field is left blank it will not be displayed at all in the message box. If a button is left blank the button will not be displayed. Functionality of buttons cannot be changed.;;;;;;;;;;X
##;All texts EXCEPT the '*_HEADER' can be of virtually any length (limited by screen height). The box and button size will change accordingly.;;;;;;;;;;X
##;VERY VERY VERY IMPORTANT!!! YOU MUST NOT CHANGE THE ORDER OF ANY VARIABLES ('%s' and '%d') OR ADD OR REMOVE ANY VARIABLES!!!;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;EDITING TIPS:;;;;;;;;;;X
##;;;;;;;;;;;X
##;Open this document in Excel, version 5 or later.;;;;;;;;;;X
##;To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;X
##;Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;X
##;Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;X
##;Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;X
##;Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;X
##;Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;X
##;Place the cursor in cell C2 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;X
##;CAREFULLY read the instructions in cells B45 - B87;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted by the engine, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where integer value is inserted by the engine, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places.;;;;;;;;;;X
##;3) '%.0f' is for indicating where non-integer value is inserted by the engine, and MAY NEVER BE REMOVED! 0 can be replaced by another number and defines displayed digits after the decimal point. Add '+' in front of '.' (example: '%+.2f') to display the sign of the number.;;;;;;;;;;X
##;4) '%c' is for indicating where a single character is inserted by the engine, and MAY NEVER BE REMOVED! ;;;;;;;;;;X
##;5) '\%%' can be used to display a single '%' character in texts. Use that with caution and avoid if possible as it could cause issues if used improperly.;;;;;;;;;;X
##;6) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.;;;;;;;;;;X
##;7) The characters '#' (hashmark), semicolon, '%' (percentage sign), '¶' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes as this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;8) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;9) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;10) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;11) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS (Red,Green,Blue values):;;;;;;;;;;X
##;§A;0,64,0;;;;;;;;;X
##;§B;0,0,192;;;;;;;;;X
##;§C;128,0,0;;;;;;;;;X
##;§D;255,255,0;;;;;;;;;X
##;§E;255,0,255;;;;;;;;;X
##;§F;255,128,0;;;;;;;;;X
##;§G;0,100,0;;;;;;;;;X
##;§H;128,128,128;;;;;;;;;X
##;§I;0,0,255;;;;;;;;;X
##;§J;0,192,0;;;;;;;;;X
##;§M;100,255,100;;;;;;;;;X
##;§N;255,100,100;;;;;;;;;X
##;§R;240,0,0;;;;;;;;;X
##;§W;255,255,255;;;;;;;;;X
##;§Y;208,232,248;;;;;;;;;X
##;§Z;0,0,0;;;;;;;;;X
##;§§;restores old color;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;12) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string). However you will notice once the translation is inserted that space IS limited in quite a few areas so be brief, and try not to use words that are considerably longer than the English original.;;;;;;;;;;X
##;13) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;14) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;15) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not exported into the actual text database file);;;;;;;;;;X
##;16) Test any special punctuation symbols and characters for proper displaying by the game first, before using those in other texts.;;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE:;;;;;;;;;;X
##;Save as 'Semicolon Separated (.csv)' format, and make sure file name is not changed.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE:;;;;;;;;;;X
##;If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
## LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
## ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
###########################################;;;;;;;;;;;X
########### MESSAGE HANDLER ############;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
#  PLAYER TITLES;;;;;;;;;;;X
##;;;;;;;;;;;X
MESS_MASTERCALL1;°¢ÇÏ ;Sir;;;;;;;;;X
MESS_MASTERCALL2;°¢ÇÏ ;Sir;;;;;;;;;X
MESS_MASTERCALL3;°¢ÇÏ ;Sir;;;;;;;;;X
MESS_MASTERCALL4;°¢ÇÏ ;Sir;;;;;;;;;X
MESS_MASTERCALL5;°¢ÇÏ ;Sir;;;;;;;;;X
MESS_MASTERCALL6;°¢ÇÏ ;Sir;;;;;;;;;X
##;;;;;;;;;;;X
#  These following pejorative adjectives are randomly inserted in some messages. The definite article ('the') can either be in the actual message or in this string ? the syntax in the english version is 'the %s (in %s have declared war on us)'.;;;;;;;;;;;X
##;;;;;;;;;;;X
MESS_BADWORDS1;ºñ¿­ÇÑ °³ÀÚ½Äµé ;the bastards;;;;;;;;;X
MESS_BADWORDS2;½â¾îºüÁø ³ğµé ;the rotten swines;;;;;;;;;X
MESS_BADWORDS3;ÀúÁÖ¹ŞÀ» ºÒ½ÅÀÚµé ;the infidels;;;;;;;;;X
MESS_BADWORDS4;°³°°Àº ¹è½ÅÀÚµé ;the traitors;;;;;;;;;X
##;;;;;;;;;;;X
HISTORY;¿ª»ç ;History;;;;;;;;;X
##;;;;;;;;;;;X
MESS_NOSUNK;(°İÄ§µÈ ¼±¹ÚÀº ¾ø½À´Ï´Ù) ;(No ships were sunk.);;;;;;;;;X
MESS_SUNKLIST;ÀÌÇÏÀÇ ¼±¹ÚÀÌ °İÄ§µÇ¾ú½À´Ï´Ù: \n ;The following ships were sunk.\n;;;;;;;;;X
##;;;;;;;;;;;X
DIVDEPLOY_SETUP;¿ì¸®ÀÇ »ç´Ü/¹è/Ç×°ø±â¸¦ »õ·Î¿î ºÎ´ë¿¡ ¹èÄ¡ÇÒ ¶§ ;Whenever one of your divisions/ships/airflottillas have been deployed to a new unit.;;;;;;;;;X
DIVDEPLOY_HEADER;ÃÑÂü¸ğºÎ º¸°í¼­ %s ;GENERAL STAFF BRIEFING%s;;;;;;;;;X
DIVDEPLOY_1;ºÎ´ë ÀçÆí ;Unit Reorganised;;;;;;;;;X
DIVDEPLOY_2;%t, ;%t, we have given orders that;;;;;;;;;X
DIVDEPLOY_3;%s ;%s;;;;;;;;;X
DIVDEPLOY_4;¿¡°Ô ;should now be a part of;;;;;;;;;X
DIVDEPLOY_5;%s ;%s;;;;;;;;;X
DIVDEPLOY_6;¿¡ ÇÕ·ùÇÏ¶ó´Â ¸í·ÉÀ» ³»·È½À´Ï´Ù. ;;;;;;;;;;X
DIVDEPLOY_LOG;%s ¿¡ %s ÇÕ·ù¸í·É. ;%s was assigned to %s.;;;;;;;;;X
DIVDEPLOY_BTN1;È®ÀÎ ;Ok;;;;;;;;;X
DIVDEPLOY_BTN2;¼±ÅÃ ;Select;;;;;;;;;X
DIVFROM; from %s ; from %s;;;;;;;;;X
##;;;;;;;;;;;X
AMISFIN_SETUP;°ø±ººÎ´ë°¡ ÀÓ¹«¸¦ ¸¶ÃÆÀ» ¶§ ;When one of your airunits has finished the mission assigned to them,  due to time-limit given.;;;;;;;;;X
AMISFIN_HEADER;°ø±º º¸°í¼­ %s ;AIR FORCE BRIEFING%s;;;;;;;;;X
AMISFIN_1;ÀÓ¹« ¿Ï·á ;Mission Finished;;;;;;;;;X
AMISFIN_2;%t, ;%t, the air-forces of;;;;;;;;;X
AMISFIN_3;%s ;%s;;;;;;;;;X
AMISFIN_4;¿¡¼­ ÀÓ¹«¸¦ ¿Ï·áÇß´Ù°í º¸°íÇØ¿Ô½À´Ï´Ù. ;have finished their assigned mission.;;;;;;;;;X
AMISFIN_5; ;;;;;;;;;;X
AMISFIN_6; ;;;;;;;;;;X
AMISFIN_LOG;%s: %s ÀÓ¹«¿Ï·á. ;%s have finished with their '%s' mission.;;;;;;;;;X
AMISFIN_BTN1;È®ÀÎ ;Ok;;;;;;;;;X
AMISFIN_BTN2;¼±ÅÃ ;Select;;;;;;;;;X
##;;;;;;;;;;;X
NMISFIN_SETUP;ÇØ±ººÎ´ë°¡ ÀÓ¹«¸¦ ¸¶ÃÆÀ» ¶§ ;When one of your navalunits has finished the mission assigned to them, due to time-limit given.;;;;;;;;;X
NMISFIN_HEADER;ÇØ±º º¸°í¼­ %s ;NAVAL BRIEFING%s;;;;;;;;;X
NMISFIN_1;ÀÓ¹« ¿Ï·á ;Mission Finished;;;;;;;;;X
NMISFIN_2;%t, ;%t, the naval forces of;;;;;;;;;X
NMISFIN_3;%s ;%s;;;;;;;;;X
NMISFIN_4;¿¡¼­ ÀÓ¹«¸¦ ¿Ï·áÇß´Ù°í º¸°íÇØ¿Ô½À´Ï´Ù. ;have finished their assigned mission.;;;;;;;;;X
NMISFIN_5; ;;;;;;;;;;X
NMISFIN_6; ;;;;;;;;;;X
NMISFIN_LOG;%s: %s ÀÓ¹«¿Ï·á. ;%s have finished with their '%s' mission.;;;;;;;;;X
NMISFIN_BTN1;È®ÀÎ ;Ok;;;;;;;;;X
NMISFIN_BTN2;¼±ÅÃ ;Select;;;;;;;;;X
##;;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_HEADER; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_1;¿¬°á ²÷¾îÁü ;Connection Lost;;;;;;;;;X
HOST_DROP_MSG_CLIENT_2;¹æÀåÀÌ °ÔÀÓÀ» ±×¸¸µ×°Å³ª ±×ÀÇ ³×Æ®¿öÅ©°¡ ²÷¾îÁ³±â ¶§¹®¿¡, ´ç½ÅÀº ¹æÀå°úÀÇ Á¢¼ÓÀÌ ²÷¾îÁ³½À´Ï´Ù. ¸¸¾à ¹æÀåÀÌ °ÔÀÓÀ» ÀúÀåÇßÀ¸¸é, ´ç½ÅÀº ÀúÀåµÇ¾ú´ø °ÔÀÓÀ» ´Ù½Ã ÇÒ ¼ö ÀÖÀ» °ÍÀÔ´Ï´Ù. ±×·¯³ª ÀÌ °ÔÀÓÀº Á¾·áµÉ °ÍÀÔ´Ï´Ù. (¸¸¾à ´ç½ÅÀÌ °è¼ÓÀ» ´©¸£¸é ·¼¸§À» Á¶»çÇÒ ¼ö ÀÖ½À´Ï´Ù.) ;You have lost connection with the Game Host either because he quit the game or because he lost his network connection. If the Host saved the game you will be able to reconnect and continue that saved game. This game will however quit now (if you click RESUME you can inspect the realm).;;;;;;;;;X
HOST_DROP_MSG_CLIENT_3; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_4; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_5; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_6; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_LOG; ;;;;;;;;;;X
HOST_DROP_MSG_CLIENT_BTN1;³ª°¡±â ;Quit;;;;;;;;;X
HOST_DROP_MSG_CLIENT_BTN2;°è¼Ó ;Resume;;;;;;;;;X
##;;;;;;;;;;;X
WEADT_SETUP;Å¸±¹¿¡ ¿µÅä¸¦ ¹İÈ¯ÇÒ ¶§ ;;;;;;;;;;X
WEADT_HEADER;¿Ü¹«ºÎ º¸°í¼­ %s ;;;;;;;;;;X
WEADT_1;¿µÅä¹İÈ¯ ;;;;;;;;;;X
WEADT_2;%t, ;;;;;;;;;;X
WEADT_3;%sÀÇ ;;;;;;;;;;X
