#######################;;;;;;;;;;;X
# muster; -1- ; -2- ; -3- ; -4- ; -5- ; -6- ;; -8- ;;;X
#######################;;;;;;;;;;;X
# Majors;;;;;;;;;;;X
# England;;;;;;;;;;;X
# England land brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_1_0;¿Àµå³Í½º BL 15 ÆÄ¿îµå ;;;;;;;;;;X
BRIG_MODEL_ENG_1_1;¿Àµå³Í½º QF 4.5ÀÎÄ¡ ;;;;;;;;;;X
BRIG_MODEL_ENG_1_2;BL 6ÀÎÄ¡ Mk. VII ;;;;;;;;;;X
BRIG_MODEL_ENG_1_3;BL 8ÀÎÄ¡ Mk. VI ;;;;;;;;;;X
BRIG_MODEL_ENG_1_4;BL 6ÀÎÄ¡ Mk. XIX ;;;;;;;;;;X
BRIG_MODEL_ENG_1_5;¿Àµå³Í½º QF 18 ÆÄ¿îµå Mk II ;;;;;;;;;;X
BRIG_MODEL_ENG_1_6;;;;;;;;;;;X
BRIG_MODEL_ENG_1_7;;;;;;;;;;;X
BRIG_MODEL_ENG_1_8;¿Àµå³Í½º QF 18 ÆÄ¿îµå Mk IV ;;;;;;;;;;X
BRIG_MODEL_ENG_1_9;¿Àµå³Í½º QF 25 ÆÄ¿îµå ;;;;;;;;;;X
BRIG_MODEL_ENG_1_10;BL 4.5ÀÎÄ¡ ;;;;;;;;;;X
BRIG_MODEL_ENG_1_11;155mm °î»çÆ÷ ;;;;;;;;;;X
BRIG_MODEL_ENG_1_12;;;;;;;;;;;X
BRIG_MODEL_ENG_1_13;;;;;;;;;;;X
BRIG_MODEL_ENG_2_0;¹öÄ¡ ;;;;;;;;;;X
BRIG_MODEL_ENG_2_1;ºñ¼ó ;;;;;;;;;;X
BRIG_MODEL_ENG_2_2;M7 ÇÁ¸®½ºÆ® ;;;;;;;;;;X
BRIG_MODEL_ENG_2_3;25 ÆÄ¿îµå SP. ¼½½ºÅæ ;;;;;;;;;;X
BRIG_MODEL_ENG_2_4;M40 GMC ;;;;;;;;;;X
BRIG_MODEL_ENG_2_5;;;;;;;;;;;X
BRIG_MODEL_ENG_2_6;;;;;;;;;;;X
BRIG_MODEL_ENG_2_7;M107 GMC ;;;;;;;;;;X
BRIG_MODEL_ENG_6_0;2 ÆÄ¿îµå. Æ÷¸£Å× ;;;;;;;;;;X
BRIG_MODEL_ENG_6_1;¾ÆÅ³·¹½º Mk. IC ;;;;;;;;;;X
