#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;Extra1;Extra2;X
##;;;;;;;;;;;X
#  SCENARIO DESCRIPTIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
1914_SCENARIO;대 전쟁 (1914);The Great War (1914);;;;;;;;;X
1933_SCENARIO;결정의 날 (1933);Day of Decision (1933);;;;;;;;;X
1936_SCENARIO;또 다른 전쟁으로 가는 길 (1936);The Road to Another War (1936);;;;;;;;;X
1939_SCENARIO;전격전 (1939);Blitzkrieg (1939);;;;;;;;;X
1940_SCENARIO;불타는 유럽 (1940);Burning Europe (1940);;;;;;;;;X
1941_SCENARIO;불길 속의 세계 (1941);A World in Flames (1941);;;;;;;;;X
1942_11_SCENARIO;눈 앞의 적들 (1942);Enemy at the Gate (1942);;;;;;;;;X
1943_07_SCENARIO;The Turning Tide (1943);Le reflux (1943);Il cambio della marea (1943);The Turning Tide (1943);Das Blatt wendet sich (1943);Zwrot w wojnie (1943);;躬釣依日渾 輕靭粧  (1943);;;X
1944_06_SCENARIO;신들의 황혼 (1944);Goetterdaemmerung (1944);;;;;;;;;X
1944_12_SCENARIO;궁극적 승리 (1945);Endsieg (1945);;;;;;;;;X
fallweiss_name;백색작전: 폴란드 침공;Fall Weiss: Invasion of Poland;;;;;;;;;X
##;;;;;;;;;;;X
#  COUNTRY DESCRIPTIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
AFG_1914_DESC;아프가니스탄은 늘 이 지역을 지배하에 두려는 영국과의 영토분쟁에 휩싸여 있었다. 이는 러시아 황제의 남하정책과 대영제국 사이의 충돌 중 중요한 부분이었으며 아프가니스탄을 완전한 지배하에 두려는 영국의 시도는 격렬한 저항을 불러일으켰다. 그러나 1880년 2차 영국-아프가니스탄 전쟁 이후 아프가니스탄의 태수는 외교권을 영국에 넘기기로 합의했다. ;Afghanistan was always a troubled region for the British to maintain control of. An important part of the 'Great Game' between the British Empire and the Russian Tsars during the 19th century every attempt to fully subdue the country ran into fierce resistance. By 1880 however after the Second Anglo-Afghan war the emir of Afghanistan finally agreed to allow British control over the country's foreign affairs.;;;;;;;;;X
