y;English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
TUTORIAL_SETUP;When a scripted tutorial event occurs;Lorsqu'un événement scripté de formation survient;Se si verifica un evento del tutorial predefinito;Cuando ocurra un suceso del 'script' del tutorial;Wenn sich ein festgelegtes Tutorial-Ereignis ereignet;Kiedy nast¹pi wydarzenie z samouczka;;Êîãäà ïðîèñõîäèò ïðåäóñìîòðåííîå ñöåíàðèåì ñîáûòèå;;;X
TUTORIAL_HEADER;Tutorial Info%s;Formation%s;Informazioni del tutorial %s;Información del tutorial%s;Tutorial-Informationen%s;Informacje o samouczku%s;;Èíôîðìàöèÿ%s;;;X
TUTORIAL_1;%s;%s;%s;%s;%s;%s;;%s;;;X
TUTORIAL_2;%s;%s;%s;%s;%s;%s;;%s;;;X
TUTORIAL_3;;;;;;;;;;;X
TUTORIAL_4;;;;;;;;;;;X
TUTORIAL_5;;;;;;;;;;;X
TUTORIAL_6;;;;;;;;;;;X
TUTORIAL_LOG;%s: %s;%s : %s;%s: %s;%s: %s;%s: %s;%s: %s;;%s: %s;;;X
TUTORIAL_BTN1;ÁÁ¾Æ ;OK;OK;Aceptar;OK;OK;;ÎÊ;;;X
TUTORIAL_BTN2;;;;;;;;;;;X
##;;;;;;;;;;;X
TUTORIAL_MAIN_TITLE;'Darkest Hour' ¿¡ ¿À½Å°ÍÀ» È¯¿µÇÕ´Ï´Ù! ;Bienvenue sur Hearts of Iron II;Benvenuto in Darkest Hour;Bienvenido a Darkest Hour;Willkommen bei Darkest Hour;Witaj w Darkest Hour;;Äîáðî ïîæàëîâàòü â èãðó 'Darkest Hour';;;X
