U26;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
945001;Head of State;요제프 비드만 ;1933;1964;1999;LWR;Weary Stiffneck;High;M17021;X
945002;Head of Government;요제프 비드만 ;1933;1964;1999;LWR;Ambitious Union Boss;High;M17021;X
945003;Foreign Minister;헤르만 헤셀 을로렌츠 ;1933;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M17023;X
945004;Minister of Armament;에밀 프레이 ;1933;1964;1999;LWR;Infantry Proponent;Medium;M17024;X
945005;Head of Military Intelligence;테오 마이어 ;1933;1964;1999;LWR;Technical Specialist;Medium;M17026;X
945006;Chief of Staff;트라우고트 마이어 ;1933;1964;1999;LWR;School of Fire Support;Medium;M17025;X
945007;Chief of Army;에밀 프레이 ;1933;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;M17024;X
945008;Chief of Navy;헤르만 헤셀 을로렌츠 ;1933;1964;1999;LWR;Indirect Approach Doctrine;Medium;M17023;X
945009;Chief of Air Force;요제프 비드만 ;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M17021;X
945010;Foreign Minister;루돌프 겔프케 ;1933;1964;1999;LE;Ideological Crusader;Medium;M17055;X
945011;Minister of Security;에른스트 롤리거 ;1944;1964;1999;SD;Man of the People;Very High;M17081;X
945012;Minister of Security;한스 로이핀 ;1940;1964;1999;SD;Back Stabber;Very High;M17083;X
945013;Minister of Security;기도 미셔 ;1933;1964;1999;SD;Prince of Terror;Very High;M17085;X
945014;Minister of Security;트라우고트 마이어 ;1943;1964;1999;SD;Man of the People;Medium;M17025;X
