UPE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1400001;Head of State;호자 니야즈 하지 ;1912;1942;1955;LWR;autocratic charmer;Low;3174;X
1400002;Head of Government;사비트 다물라 아브둘바키 ;1932;1944;1959;LWR;happy amateur;High;6625;X
1400003;Head of State;무함마드 아민 부그라 ;1930;1966;1966;PA;benevolent gentleman;Medium;5097;X
1400004;Foreign Minister;무함마드 아민 부그라 ;1930;1966;1966;PA;great compromiser;Medium;5097;X
1400005;Chief of Staff;압둘라 부그라 ;1930;1935;1968;PA;school of defence;Medium;6847;X
1400006;Chief of Army;압둘라 부그라 ;1930;1935;1968;PA;Guerilla warfare doctrine;Medium;6847;X
1400007;Chief of Staff;누르 아흐마드 잔 부그라 ;1930;1935;1970;PA;school of defence;Medium;6848;X
1400008;Chief of Army;누르 아흐마드 잔 부그라 ;1930;1935;1970;PA;Guerilla warfare doctrine;Medium;6848;X
1400009;Chief of Staff;이사 유수프 알프테킨 ;1933;1940;1977;PA;school of mass combat;Low;6849;X
1400010;Minister of Armament;이사 유수프 알프테킨 ;1933;1940;1977;PA;Infantry Proponent;Low;6849;X
1400011;Foreign Minister;이사 유수프 알프테킨 ;1933;1940;1977;PA;Apologetic Clerk;Low;6849;X
1400012;Minister of Security;이사 유수프 알프테킨 ;1933;1940;1977;PA;man of the people;Low;6849;X
1400013;Minister of Security;무함마드 아민 부그라 ;1930;1966;1966;PA;crime fighter;Medium;5097;X
1400014;Head of Military Intelligence;무함마드 아민 부그라 ;1930;1966;1966;PA;logistics specialist;Medium;5097;X
1400015;Chief of Staff;호자 니야즈 하지 ;1912;1942;1955;LWR;school of manoeuvre;Low;3174;X
1400016;Chief of Army;호자 니야즈 하지 ;1912;1942;1955;LWR;guns and butter doctrine;Low;3174;X
1400017;Head of State;사이푸딘 아지지 ;1944;1950;1991;ST;insignificant layman;Low;7376;X
1400018;Minister of Armament;사이푸딘 아지지 ;1944;1950;1991;ST;Planned economy proponent;Low;7376;X
1400019;Minister of Armament;루오 지 ;1944;1950;1991;ST;theoretical scientist;Low;7474;X
1400020;Chief of Staff;루오 지 ;1944;1950;1991;ST;school of psychology;Low;7474;X
1400021;Head of Government;루오 지 ;1944;1950;1991;ST;happy amateur;Low;7474;X
1400022;Foreign Minister;루오 지 ;1944;1950;1991;ST;ideological crusader;Low;7474;X
1400023;Chief of Staff;오스판 바티르 ;1944;1947;1965;LWR;school of psychology;Medium;7544;X
1400024;Chief of Army;오스판 바티르 ;1944;1947;1965;LWR;decisive battle doctrine;Medium;7544;X
1400025;Head of Government;알리칸 토레 사구니 ;1920;1947;1960;SC;naive optimist;High;7874;X
1400026;Head of State;알리칸 토레 사구니 ;1920;1947;1960;SC;benevolent gentleman;High;7874;X
1400027;Foreign Minister;알리칸 토레 사구니 ;1920;1947;1960;SC;great compromiser;High;7874;X
1400028;Head of Government;에흐메탄 콰짐 ;1944;1950;1990;ST;naive optimist;Medium;7999;X
1400029;Head of State;에흐메탄 콰짐 ;1944;1950;1990;ST;insignificant layman;Medium;7999;X
1400030;Head of Military Intelligence;빅토르 A.F. 폴리노프 ;1944;1950;1999;ST;Industrial Specialist;Low;M72006;X
1400031;Chief of Army;빅토르 A.F. 폴리노프 ;1944;1950;1999;ST;decisive battle doctrine;Low;M72006;X
1400032;Foreign Minister;아브둘케림 아바스 ;1944;1950;1950;LWR;general staffer;Medium;8310;X
1400033;Chief of Army;이스하크 베크 모노노프 ;1944;1950;1967;ST;decisive battle doctrine;Low;8301;X
1400034;Foreign Minister;델릴한 수구르바예프 ;1944;1950;1950;LWR;general staffer;Medium;8354;X
1400035;Minister of Security;빅토르 A.F. 폴리노프 ;1944;1950;1999;ST;Secret police chief;Low;M72006;X
1400036;Chief of Army;파테이 이바노비치 레스킨 ;1944;1950;1950;ST;decisive battle doctrine;Low;8296;X
1400037;Chief of Staff;파테이 이바노비치 레스킨 ;1944;1950;1950;ST;school of manoeuvre;Low;8296;X
