UTC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1335001;Head of State;미하일 알렉세예프 ;1914;1918;1999;PA;stern imperialist;Medium;8732;X
1335002;Head of State;안톤 데니킨 ;1914;1932;1999;PA;autocratic charmer;Medium;8696;X
1335003;Head of State;표트르 브랑겔 ;1914;1932;1999;PA;popular figurehead;Medium;5670;X
1335004;Head of Government;미하일 알렉세예프 ;1914;1918;1999;PA;backroom backstabber;Medium;8732;X
1335005;Head of Government;아브람 드라고미로프 ;1914;1932;1999;PA;silent workhorse;Medium;8676;X
1335006;Head of Government;알렉산드르 루콤스키 ;1914;1932;1999;PA;flamboyant tough guy;Medium;4801;X
1335007;Head of Government;아프리칸 보가옙스키 ;1914;1932;1999;PA;naive optimist;Medium;4160;X
1335008;Head of Government;알렉산드르 크리보쉐인 ;1914;1932;1999;PA;corporate suit;Medium;8685;X
1335009;Foreign Minister;미하일 알렉세예프 ;1914;1918;1999;PA;iron fisted brute;Medium;8732;X
1335010;Foreign Minister;세르게이 사조노프 ;1914;1932;1999;PA;general staffer;Medium;8801;X
1335011;Foreign Minister;아나톨리 네라토프 ;1914;1932;1999;PA;ideological crusader;Medium;8802;X
1335012;Foreign Minister;니콜라이 바라토프 ;1914;1932;1999;PA;great compromiser;Medium;4098;X
1335013;Foreign Minister;표트르 슈투루베 ;1914;1932;1999;PA;apologetic clerk;Medium;8761;X
1335014;Foreign Minister;그리고리 트루베츠코이 ;1914;1932;1999;PA;biased intellectual;Medium;8713;X
1335015;Minister of Armament;미하일 알렉세예프 ;1914;1918;1999;PA;administrative genius;Medium;8732;X
1335016;Minister of Armament;I. A. 게이만;1914;1932;1999;PA;laissez-faire capitalist;Medium;unknownminister;X
1335017;Minister of Armament;블라디미르 레베데프 ;1914;1932;1999;PA;corrupt kleptocrat;Medium;8782;X
1335018;Minister of Armament;미하일 베르나츠키 ;1914;1932;1999;PA;resource industrialist;Medium;8739;X
1335019;Minister of Armament;V. S. 날반도프 ;1914;1932;1999;PA;theoretical scientist;Medium;8773;X
1335020;Minister of Armament;B. V. 마투세비치 ;1914;1932;1999;PA;Steel magnate;Medium;unknownminister;X
1335021;Minister of Armament;알렉산드르 루콤스키 ;1914;1932;1999;PA;infantry proponent;Medium;4801;X
1335022;Minister of Armament;바실리 뱌즈미티노프 ;1914;1932;1999;PA;tank proponent;Medium;8774;X
1335023;Minister of Armament;니콜라이 티흐메네프 ;1914;1932;1999;PA;military entrepreneur;Medium;8743;X
1335024;Minister of Armament;아나톨리 켈체프스키 ;1914;1932;1999;PA;battle fleet proponent;Medium;8724;X
1335025;Minister of Armament;블라디미르 니콜스키 ;1914;1932;1999;PA;submarine proponent;Medium;8789;X
1335026;Minister of Armament;파벨 샤틸로프 ;1914;1932;1999;PA;air to ground proponent;Medium;5292;X
1335027;Minister of Armament;세르게이 예브도키모프 ;1914;1932;1999;PA;air superiority proponent;Medium;8769;X
1335028;Minister of Security;미하일 알렉세예프 ;1914;1918;1999;PA;back stabber;Medium;8732;X
1335029;Minister of Security;니콜라이 아스트로프 ;1914;1932;1999;PA;efficient sociopath;Medium;8742;X
1335030;Minister of Security;니콜라이 체비셰프 ;1914;1932;1999;PA;crooked kleptocrat;Medium;8803;X
1335031;Minister of Security;니콜라이 타간쳬프 ;1914;1932;1999;PA;Media magnate;Medium;8804;X
1335032;Minister of Security;니콜라이 마르토스 ;1914;1932;1999;PA;Health and safety;Medium;8805;X
1335033;Head of Military Intelligence;바실리 쉴긴 ;1914;1932;1999;PA;logistics specialist;Medium;8775;X
1335034;Head of Military Intelligence;파벨 샤튈로프 ;1914;1932;1999;PA;political specialist;Medium;5292;X
1335035;Head of Military Intelligence;예브게니 클리모비치 ;1914;1932;1999;PA;dismal enigma;Medium;8707;X
1335036;Head of Military Intelligence;알렉세이 드비굽스키 ;1914;1932;1999;PA;technical specialist;Medium;8806;X
1335037;Chief of Staff;안톤 데니킨 ;1914;1932;1999;PA;school of fire support;Medium;8696;X
1335038;Chief of Staff;이반 로마놉스키 ;1914;1932;1999;PA;school of manoeuvre;Medium;8721;X
1335039;Chief of Staff;니콜라이 예피모프 ;1914;1932;1999;PA;school of defence;Medium;8748;X
1335040;Chief of Staff;야코프 유제포비치 ;1914;1932;1999;PA;school of psychology;Medium;8723;X
1335041;Chief of Staff;드미트리 폰 지겔 ;1914;1932;1999;PA;school of mass combat;Medium;8704;X
1335042;Chief of Army;라브르 코르닐로프 ;1914;1918;1999;PA;guns and butter doctrine;Medium;4675;X
1335043;Chief of Army;안톤 데니킨 ;1914;1932;1999;PA;armoured spearhead doctrine;Medium;8696;X
1335044;Chief of Army;블라디미르 마이 마옙스키 ;1914;1932;1999;PA;decisive battle doctrine;Medium;4873;X
1335045;Chief of Army;표트르 브랑겔 ;1914;1932;1999;PA;static defence doctrine;Medium;5670;X
1335046;Chief of Navy;바실리 카닌 ;1914;1932;1999;PA;base control doctrine;Medium;4547;X
1335047;Chief of Navy;미하일 사브린 ;1914;1920;1999;PA;open seas doctrine;Medium;5228;X
1335048;Chief of Navy;드미트리 네뉘코프 ;1914;1932;1999;PA;decisive naval battle doctrine;Medium;4951;X
1335049;Chief of Navy;미하일 케드로프 ;1914;1932;1999;PA;power projection doctrine;Medium;4575;X
1335050;Chief of Air Force;이반 크랍세비치 ;1914;1932;1999;PA;army aviation doctrine;Medium;8807;X
