AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
155001;Head of State;무함마드 자히르 ;1933;1964;1999;FA;Autocratic Charmer;Very High;2138;X
155002;Head of Government;무함마드 하심 ;1933;1964;1999;FA;Happy Amateur;High;M54002;X
155003;Foreign Minister;하지 파이즈 무함마드 지케리아 ;1933;1964;1999;FA;Ideological Crusader;High;M54003;X
155004;Minister of Armament;압둘 마지드 자불리 ;1933;1964;1999;FA;Laissez-Faire Capitalist;High;M54004;X
155005;Minister of Security;무함마드 하심 ;1933;1964;1999;FA;Crooked Kleptocrat;Medium;M54002;X
155006;Head of Military Intelligence;샤 마무드 가지 ;1933;1964;1999;FA;Dismal Enigma;Medium;M54006;X
155007;Chief of Staff;모하메드 다우드 ;1933;1964;1999;FA;School of Psychology;High;M54007;X
155008;Chief of Army;모하메드 다우드 ;1933;1964;1999;FA;Elastic Defence Doctrine;Medium;M54007;X
155009;Chief of Navy;무함마드 자히르 ;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M54009;X
155010;Chief of Air Force;모하메드 다우드 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M54007;X
155011;Head of State;무함마드 자히르 ;1939;1964;1999;SC;Benevolent Gentleman;High;2138;X
155012;Head of State;무함마드 자히르 ;1946;1964;1999;PA;Autocratic Charmer;Very High;2138;X
155013;Head of Government;무함마드 하심 ;1939;1964;1999;SC;Happy Amateur;High;M54002;X
155014;Head of Government;샤 마무드 가지 ;1946;1964;1999;PA;Old General;High;M54006;X
155015;Foreign Minister;압둘 하디 다와이 ;1937;1964;1999;FA;Apologetic Clerk;High;M54013;X
155016;Foreign Minister;아마눌라 ;1933;1964;1999;FA;Ideological Crusader;Low;M54011;X
155017;Foreign Minister;모하메드 다우드 ;1939;1964;1999;SC;Great Compromiser;Medium;M54007;X
155018;Foreign Minister;와지르 악바르 칸 ;1942;1964;1999;SC;General Staffer;Medium;M54018;X
155019;Foreign Minister;알리 무함마드 칸 ;1939;1964;1999;SC;Biased Intellectual;Medium;M54020;X
155020;Foreign Minister;모하메드 에테마디 칸 ;1944;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M54016;X
155021;Foreign Minister;아사둘라 세라즈 칸 ;1945;1964;1999;PA;Iron Fisted Brute;High;M54031;X
155022;Minister of Armament;모하메드 다우드 ;1937;1964;1999;FA;Air to Ground Proponent;Medium;M54007;X
155023;Minister of Armament;이탈로 서전트 ;1938;1964;1999;FA;Tank Proponent;Low;M54033;X
155024;Minister of Armament;보르톨로 벨로티 ;1939;1964;1999;FA;Administrative Genius;Low;M54034;X
155025;Minister of Armament;아사둘라 세라즈 칸 ;1939;1964;1999;SC;Infantry Proponent;Medium;M54031;X
155026;Minister of Armament;하지 파이즈 무함마드 지케리아 ;1940;1964;1999;SC;laissez-faire capitalist;High;M54003;X
155027;Minister of Armament;나시룰라 후세인 ;1940;1964;1999;SC;Battle Fleet Proponent;Medium;M54019;X
155028;Minister of Armament;페루치오 세라피니 ;1940;1964;1999;SC;Air Superiority Proponent;Medium;M54038;X
155029;Minister of Armament;아마눌라 ;1933;1964;1999;SC;Corrupt Kleptocrat;Low;M54011;X
155030;Minister of Armament;마시모 필로티 ;1941;1964;1999;SC;Theoretical Scientist;Medium;M54040;X
155031;Minister of Armament;폼페오 알로이지 ;1943;1964;1999;SC;Military Entrepreneur;Medium;M54041;X
155032;Minister of Armament;샤 왈리 칸 ;1944;1964;1999;SC;Strategic Air Proponent;Medium;M54042;X
155033;Minister of Armament;모하메드 에테마디 칸 ;1945;1964;1999;PA;Submarine Proponent;Medium;M54016;X
155034;Minister of Armament;무함마드 노우로즈 ;1946;1964;1999;PA;Resource Industrialist;High;M54044;X
155035;Minister of Armament;알리 무함마드 칸 ;1947;1964;1999;PA;Air to Sea Proponent;Medium;M54020;X
155036;Minister of Security;카를로 가르바쏘 ;1938;1964;1999;FA;Prince of Terror;High;M54046;X
155037;Minister of Security;굴람 파룩 우스만 ;1939;1964;1999;FA;Crime Fighter;High;M54047;X
155038;Minister of Security;알리 무함마드 칸 ;1939;1964;1999;SC;Efficient Sociopath;Medium;M54020;X
155039;Minister of Security;무함마드 자히르 ;1941;1964;1999;SC;Man of the People;Medium;M54009;X
155040;Minister of Security;리치 A. 부사띠 ;1943;1964;1999;SC;Silent Lawyer;High;M54050;X
155041;Minister of Security;압둘 마지드 자불리 ;1945;1964;1999;PA;Crooked Kleptocrat;High;M54004;X
155042;Minister of Security;무함마드 코바르 ;1946;1964;1999;PA;Back Stabber;Medium;M54015;X
155043;Minister of Security;아사둘라 세라즈 칸 ;1947;1964;1999;PA;Compassionate Gentleman;High;M54031;X
155044;Head of Military Intelligence;피에트로 스토파니 ;1937;1964;1999;FA;Industrial Specialist;Medium;M54054;X
155045;Head of Military Intelligence;카를로 샨처 ;1938;1964;1999;FA;Technical Specialist;Medium;M54055;X
155046;Head of Military Intelligence;카를로 엔리코 발두지 ;1939;1964;1999;SC;Political Specialist;Medium;M54056;X
155047;Head of Military Intelligence;알리 무함마드 칸 ;1940;1964;1999;SC;Naval Intelligence Specialist;Medium;M54020;X
155048;Head of Military Intelligence;압둘 마지드 자불리 ;1943;1964;1999;SC;Dismal Enigma;High;M54004;X
155049;Head of Military Intelligence;모하메드 에테마디 칸 ;1945;1964;1999;PA;Logistics Specialist;Medium;M54016;X
