ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
285001;Head of State;조구 1세 ;1933;1964;1999;PA;Insignificant Layman;High;2142;X
285002;Head of Government;미트하트 프라셔리 ;1933;1964;1999;PA;Corporate Suit;High;M32002;X
285003;Foreign Minister;푸아트 아슬람 ;1933;1964;1999;PA;Apologetic Clerk;Medium;M32003;X
285004;Minister of Armament;루오크 게라이 ;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M32004;X
285005;Minister of Security;요첼륀 페르취 ;1933;1964;1999;PA;Prince of Terror;High;M32005;X
285006;Head of Military Intelligence;조구 1세 ;1933;1964;1999;PA;Logistics Specialist;Medium;M32006;X
285007;Chief of Staff;체말 코마니 ;1933;1964;1999;PA;School of Defence;Medium;M32007;X
285008;Chief of Army;스테프크히 샤툰 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M32008;X
285009;Chief of Navy;추아마르 파카지 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M32009;X
285010;Chief of Air Force;요첼륀 페르취 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M32005;X
285011;Head of State;테피크 음보리아 ;1939;1964;1999;PA;Pig-headed Isolationist;High;M32021;X
285012;Head of State;이브라힘 비차쿠 ;1942;1964;1999;PA;Stern Imperialist;High;M32042;X
285013;Head of State;피치리 디네 ;1944;1964;1999;PA;Die-hard Reformer;High;M32043;X
285014;Head of State;판 놀리 ;1933;1964;1999;SL;Weary Stiffneck;High;M32011;X
285015;Head of State;라자르 푼두아 ;1941;1964;1999;SD;Popular Figurehead;High;M32013;X
285016;Head of State;레제프 미트로비차 ;1944;1964;1999;SC;Insignificant Layman;High;M32046;X
285017;Head of State;셰프체트 버를라치 ;1939;1964;1999;FA;Autocratic Charmer;High;M32047;X
285018;Head of State;에치렘 리보호바 ;1942;1964;1999;FA;Powerhungry Demagogue;High;M32048;X
285019;Head of State;오메르 니샤니 ;1933;1964;1999;ST;Resigned Generalissimo;High;M32032;X
285020;Head of State;세이풀라 말러쇼바 ;1945;1964;1999;LE;Popular Figurehead;High;M32050;X
285021;Head of State;엔베르 호자 ;1936;1964;1999;ST;Ruthless Powermonger;High;M32051;X
285022;Head of Government;코스타치 코타 ;1939;1964;1999;PA;Smiling Oilman;High;M32052;X
285023;Head of Government;유프 카자지 ;1941;1964;1999;PA;Happy Amateur;High;M32015;X
285024;Head of Government;메흐디 프라셔리 ;1944;1964;1999;PA;Corporate Suit;High;M32054;X
285025;Head of Government;판 놀리 ;1939;1964;1999;SL;Naive Optimist;High;M32011;X
285026;Head of Government;자페르 위피 ;1941;1964;1999;SC;Political Protege;High;M32056;X
285027;Head of Government;무스타파 머를리카 ;1944;1964;1999;SL;Happy Amateur;High;M32057;X
285028;Head of Government;셰프체트 버를라치 ;1939;1964;1999;FA;Flamboyant Tough Guy;High;M32047;X
285029;Head of Government;에치렘 리보호바 ;1942;1964;1999;FA;Corporate Suit;High;M32048;X
285030;Head of Government;오메르 니샤니 ;1933;1964;1999;ST;Silent Workhorse;High;M32032;X
285031;Head of Government;세이풀라 말러쇼바 ;1942;1964;1999;LE;Naive Optimist;High;M32050;X
285032;Head of Government;엔베르 호자 ;1936;1964;1999;ST;Local tyrant;High;M32051;X
285033;Foreign Minister;메흐디 프라셔리 ;1939;1964;1999;PA;Apologetic Clerk;Medium;M32054;X
285034;Foreign Minister;피치리 디네 ;1942;1964;1999;PA;Great Compromiser;Medium;M32043;X
285035;Foreign Minister;나짐 데돌리 ;1944;1964;1999;PA;Iron Fisted Brute;Medium;M32066;X
285036;Foreign Minister;라자르 푼두아 ;1933;1964;1999;SD;Great Compromiser;High;M32013;X
285037;Foreign Minister;판 놀리 ;1940;1964;1999;SL;Ideological Crusader;Very Low;M32068;X
285038;Foreign Minister;알리 켈멘디 ;1927;1939;1999;ST;Iron Fisted Brute;Low;M32031;X
285039;Foreign Minister;레제프 미트로비차 ;1943;1964;1999;SC;Apologetic Clerk;Medium;M32046;X
285040;Foreign Minister;셰프체트 슈쿠피 ;1944;1964;1999;SL;Biased Intellectual;Medium;M32071;X
285041;Foreign Minister;테피크 음보리아 ;1939;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M32021;X
285042;Foreign Minister;하산 베골리 ;1941;1964;1999;FA;Biased Intellectual;High;M32073;X
285043;Foreign Minister;콜 미라카이 ;1942;1964;1999;FA;General Staffer;High;M32074;X
285044;Foreign Minister;누히 베리샤 ;1943;1964;1999;FA;Iron Fisted Brute;High;M32075;X
285045;Foreign Minister;오메르 니샤니 ;1933;1964;1999;ST;Ideological Crusader;Undying;M32032;X
285046;Foreign Minister;하스산 슈차비 ;1942;1964;1999;ST;Iron Fisted Brute;High;M32077;X
285048;Minister of Armament;요첼륀 페르취 ;1937;1964;1999;PA;Air to Ground Proponent;Medium;M32005;X
285049;Minister of Armament;추아마르 파카지 ;1939;1964;1999;PA;Submarine Proponent;Medium;M32009;X
285050;Minister of Armament;스트프헨 델비너 ;1941;1964;1999;PA;Air to Sea Proponent;Medium;M32020;X
285051;Minister of Armament;이스마엘 그하자 ;1942;1964;1999;PA;Battle Fleet Proponent;Medium;M32029;X
