ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
165001;Head of State;아구스틴 P. 후스토 ;1922;1944;1944;PA;Resigned Generalissimo;High;M35001;X
165002;Head of Government;아구스틴 P. 후스토 ;1922;1944;1944;PA;Old General;High;M35001;X
165003;Foreign Minister;카를로스 사베드라 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M35003;X
165004;Minister of Armament;알베르토 우에요 ;1933;1964;1999;PA;laissez-faire capitalist;High;M35004;X
165005;Minister of Security;라몬 카스티요 ;1933;1964;1999;PA;Prince of Terror;Medium;M35005;X
165006;Head of Military Intelligence;호르헤 데 라 토레 ;1933;1964;1999;PA;Industrial Specialist;Medium;M35006;X
165007;Chief of Staff;마누엘 A. 로드리게스 ;1933;1964;1999;PA;School of Defence;Very High;M35007;X
165008;Chief of Army;마누엘 A. 로드리게스 ;1933;1964;1999;PA;Decisive Battle Doctrine;Very High;M35007;X
165009;Chief of Navy;페드로 S. 카살 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M35009;X
165010;Chief of Air Force;안토니오 파로디 ;1933;1964;1999;PA;Air Superiority Doctrine;Very High;M35010;X
165011;Head of State;아구스틴 P. 후스토 ;1922;1944;1944;SC;Resigned Generalissimo;High;M35001;X
165012;Head of State;루이스 포데스타 코스타 ;1938;1964;1999;SC;Benevolent Gentleman;High;M35014;X
165013;Head of State;라몬 카스티요 ;1942;1964;1999;PA;Stern Imperialist;High;M35005;X
165014;Head of State;마누엘 데 이리온도 ;1946;1964;1999;SC;Insignificant Layman;High;M35034;X
165015;Head of State;마르셀로 T. 알베아르 ;1933;1964;1999;SL;Die-hard Reformer;High;M35035;X
165016;Head of State;로부스티아노 파트론 ;1942;1964;1999;SL;Popular Figurehead;High;M35036;X
165017;Head of State;발다사레 발디 히메네스 ;1933;1964;1999;SD;Weary Stiffneck;High;M35037;X
165018;Head of State;구스타보 멘도사 쿠르틴 ;1940;1964;1999;SD;Popular Figurehead;High;M35038;X
165019;Head of State;로베르토 M. 오르티스 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M35039;X
165020;Head of State;훌리오 A. 로카 ;1940;1964;1999;SC;Autocratic Charmer;High;M35040;X
165021;Head of State;에델미로 파레요 ;1944;1964;1999;SC;Resigned Generalissimo;High;M35041;X
165022;Head of State;세사르 아르메히노 ;1944;1964;1999;PA;Autocratic Charmer;High;M35042;X
165023;Head of State;카를로스 알베르토 ;1933;1964;1999;FA;Ruthless Powermonger;High;M35011;X
165024;Head of State;후안 도밍고 페론 ;1945;1964;1999;LWR;Autocratic Charmer;High;M35021;X
165025;Head of Government;아구스틴 P. 후스토 ;1922;1944;1944;SC;Old General;High;M35001;X
165026;Head of Government;루이스 포데스타 코스타 ;1938;1964;1999;SC;Backroom Backstabber;High;M35014;X
165027;Head of Government;라몬 카스티요 ;1940;1964;1999;PA;Old General;High;M35005;X
165028;Head of Government;마누엘 데 이리온도 ;1946;1964;1999;SC;Silent Workhorse;High;M35034;X
165029;Head of Government;마르셀로 T. 알베아르 ;1933;1964;1999;SL;Naive Optimist;High;M35035;X
165030;Head of Government;로부스티아노 파트론 ;1942;1964;1999;SL;Smiling Oilman;High;M35036;X
165031;Head of Government;발다사레 발디 히메네스 ;1933;1964;1999;SD;Political Protege;High;M35037;X
165032;Head of Government;구스타보 멘도사 쿠르틴 ;1940;1964;1999;SD;Corporate Suit;High;M35038;X
165033;Head of Government;로베르토 M. 오르티스 ;1933;1964;1999;PA;Flamboyant Tough Guy;High;M35039;X
165034;Head of Government;훌리오 A. 로카 ;1940;1964;1999;SC;Happy Amateur;High;M35040;X
165035;Head of Government;페드로 파블로 라미레스 ;1943;1964;1999;PA;Old General;High;M35055;X
165036;Head of Government;세사르 아르메히노 ;1944;1964;1999;PA;Ambitious Union Boss;High;M35042;X
165037;Head of Government;카를로스 알베르토 ;1933;1964;1999;FA;Flamboyant Tough Guy;High;M35011;X
165038;Head of Government;후안 도밍고 페론 ;1945;1964;1999;LWR;Naive Optimist;High;M35021;X
165039;Foreign Minister;알베르토 우에요 ;1938;1964;1999;SC;Apologetic Clerk;High;M35004;X
165040;Foreign Minister;알베르토 힐베르트 ;1940;1964;1999;SC;Ideological Crusader;High;M35061;X
165041;Foreign Minister;페드로 아람부루 ;1944;1964;1999;SC;General Staffer;High;M35062;X
165042;Foreign Minister;다니엘 카포 ;1946;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M35063;X
165043;Foreign Minister;오라시오 오야 ;1933;1964;1999;SL;Ideological Crusader;Medium;M35064;X
165044;Foreign Minister;마누엘 라몬 ;1938;1964;1999;SL;Iron Fisted Brute;High;M35065;X
165045;Foreign Minister;마르셀로 T. 알베아르 ;1940;1964;1999;SL;Great Compromiser;Medium;M35035;X
165046;Foreign Minister;로부스티아노 파트론 ;1944;1964;1999;SL;Iron Fisted Brute;Medium;M35036;X
165047;Foreign Minister;힐베르트 A. 파에스 ;1946;1964;1999;SL;Biased Intellectual;Medium;M35068;X
165048;Foreign Minister;라울 비센시오 구스만 ;1933;1964;1999;SD;Great Compromiser;High;M35069;X
165049;Foreign Minister;에두아르도 미야 ;1938;1964;1999;SD;Apologetic Clerk;Medium;M35070;X
165050;Foreign Minister;다니엘 카포 ;1940;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M35063;X
165051;Foreign Minister;호세 마리아 칸틸로 ;1938;1964;1999;PA;Biased Intellectual;Medium;M35072;X
165052;Foreign Minister;훌리오 A. 로카 ;1940;1964;1999;PA;Apologetic Clerk;High;M35040;X
165053;Foreign Minister;기예르모 로테 ;1941;1964;1999;PA;Iron Fisted Brute;Medium;M35074;X
165054;Foreign Minister;알폰소 루이스 기냐수 ;1940;1964;1999;PA;The Cloak N Dagger Schemer;High;M35075;X
165055;Foreign Minister;오를란도 펠루포 ;1944;1964;1999;PA;General Staffer;High;M35076;X
165056;Foreign Minister;엑토르 베르넹고 리마 ;1945;1964;1999;PA;Ideological Crusader;Medium;M35023;X
165057;Foreign Minister;세사르 아르메히노 ;1946;1964;1999;PA;Great Compromiser;High;M35042;X
165058;Foreign Minister;카를로스 알베르토 ;1933;1964;1999;FA;Apologetic Clerk;Medium;M35011;X
165059;Foreign Minister;후안 브라무글리아 ;1945;1964;1999;LWR;Great Compromiser;Medium;M35081;X
165060;Foreign Minister;후안 이삭 코케 ;1947;1964;1999;LWR;Iron Fisted Brute;Medium;M35082;X
165061;Minister of Armament;리산드로 데 라 토레 ;1937;1964;1999;SC;Resource Industrialist;High;M35084;X
165062;Minister of Armament;루이스 포데스타 코스타 ;1938;1964;1999;SC;Air To Ground Proponent;Medium;M35014;X
165063;Minister of Armament;페드로 아람부루 ;1940;1964;1999;SC;Tank Proponent;High;M35062;X
165064;Minister of Armament;아구스틴 로드리게스 ;1944;1964;1999;SC;Administrative Genius;High;M35087;X
165065;Minister of Armament;엘피디오 곤살레스 ;1933;1964;1999;SL;Resource Industrialist;High;M35088;X
165066;Minister of Armament;호세 탐보르니 ;1938;1964;1999;SL;Administrative Genius;High;M35089;X
165067;Minister of Armament;오르텐시오 키하노 ;1939;1964;1999;SL;Strategic Air Proponent;Very Low;M35015;X
165068;Minister of Armament;엔리케 마르티네스 ;1941;1964;1999;SL;Military Entrepreneur;High;M35091;X
165069;Minister of Armament;호르헤 데 라 토레 ;1940;1964;1999;SL;Submarine Proponent;Medium;M35006;X
165070;Minister of Armament;마누엘 A. 로드리게스 ;1943;1964;1999;SL;Infantry Proponent;Very High;M35007;X
165071;Minister of Armament;후안 도밍고 페론 ;1944;1964;1999;SL;Tank Proponent;High;M35021;X
165072;Minister of Armament;바르톨로메오 데 콜리나 ;1946;1964;1999;SL;Air to Sea Proponent;Medium;M35095;X
165073;Minister of Armament;움베르토 데 세하스 ;1933;1964;1999;SD;Theoretical Scientist;High;M35096;X
165074;Minister of Armament;후안 오스테로 메디나 ;1940;1964;1999;SD;Resource Industrialist;High;M35097;X
165075;Minister of Armament;기예르모 로테 ;1938;1964;1999;PA;Corrupt Kleptocrat;Medium;M35074;X
165076;Minister of Armament;페데리코 피네도 ;1939;1964;1999;PA;laissez-faire capitalist;High;M35099;X
165077;Minister of Armament;훌리오 A. 로카 ;1940;1964;1999;PA;Battle Fleet Proponent;High;M35040;X
165078;Minister of Armament;아우구스토 디아스 ;1939;1964;1999;PA;Military Entrepreneur;High;M35101;X
165079;Minister of Armament;안토니오 파로디 ;1940;1964;1999;PA;Air Superiority Proponent;Very High;M35010;X
165080;Minister of Armament;에델미로 파레요 ;1943;1964;1999;PA;Infantry Proponent;Low;M35041;X
