ARM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
455001;Head of State;안트라니크 오자니안 ;1933;1964;1999;FA;Popular Figurehead;High;M515001;X
455002;Head of Government;안트라니크 오자니안 ;1933;1964;1999;FA;Old General;High;M515001;X
455003;Foreign Minister;보가스 누바르 파샤 ;1933;1964;1999;FA;Ideological Crusader;High;M515003;X
455004;Minister of Armament;하고프 안도니안 ;1933;1964;1999;FA;Military Entrepreneur;Medium;M515004;X
455005;Minister of Security;카레크 파스테마잔 ;1933;1964;1999;FA;Prince of Terror;Medium;M515005;X
455006;Head of Military Intelligence;자크 아가자리안 ;1933;1964;1999;PA;Dismal Enigma;Medium;M515006;X
455007;Chief of Staff;풀 호프만 ;1933;1964;1999;FA;School of Mass Combat;Medium;M515007;X
455008;Chief of Army;안트라니크 오자니안 ;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;M515008;X
455009;Chief of Navy;빌헬름 베체 ;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M515009;X
455010;Chief of Air Force;한스 클라인 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M515010;X
455011;Foreign Minister;베르치 케레체치안 ;1933;1964;1999;PA;Great Compromiser;High;M515011;X
455012;Foreign Minister;지반 함파수미안 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M515012;X
455013;Foreign Minister;로마노스 ;1933;1964;1999;NS;Iron Fisted Brute;High;M515013;X
455014;Minister of Armament;베르치 케레체치안 ;1933;1964;1999;PA;Administrative Genius;Medium;M515011;X
455015;Minister of Armament;아르샤그 K. 슈마보니안 ;1933;1964;1999;NS;Resource Industrialist;Medium;M515015;X
455016;Minister of Armament;디르칸 아라피안 ;1933;1964;1999;FA;laissez-faire capitalist;Medium;M515016;X
455017;Minister of Security;가레긴 은즈데크 ;1933;1964;1999;NS;Efficient Sociopath;Medium;M515017;X
455018;Minister of Security;호반네스 아이바지안 ;1933;1964;1999;NS;Crime Fighter;Medium;M515018;X
455019;Minister of Security;아람 안도니안 ;1933;1964;1999;FA;Compassionate Gentleman;Medium;M515019;X
455020;Minister of Security;아람 랄라자르 ;1933;1964;1999;PA;Man of the People;Medium;M515020;X
455021;Head of Military Intelligence;킨트 오세비안 ;1933;1964;1999;NS;Industrial Specialist;Medium;M515021;X
455022;Head of Military Intelligence;바르탄 샤렌츠 ;1933;1964;1999;PA;Technical Specialist;Medium;M515022;X
455023;Head of Military Intelligence;크리스타포르 ;1933;1964;1999;FA;Logistics Specialist;Medium;M515023;X
455024;Chief of Army;미사크 바바자니안 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M515024;X
455025;Chief of Army;드라스타마트 칸안 ;1933;1964;1999;NS;Elastic Defence Doctrine;Medium;M515025;X
455026;Chief of Navy;베르지 이사하키안 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M515026;X
455027;Chief of Air Force;가라베드 아라피안 ;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M515027;X
455028;Chief of Air Force;사르키스 페트리키안 ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M515028;X
455029;Chief of Army;아람 마누기안 ;1914;1933;1999;PA;static defence doctrine;Medium;2174;X
455030;Chief of Staff;아람 마누기안 ;1914;1933;1999;PA;school of defence;Medium;2174;X
455031;Foreign Minister;예기셰 이시카니안 ;1914;1933;1999;PA;Great Compromiser;Medium;5941;X
455032;Head of Government;호판네스 카차추누니 ;1914;1933;1999;PA;Flamboyant Tough Guy;Medium;2175;X
455033;Head of Government;사르기스 함바추미안 ;1914;1933;1999;LE;flamboyant tough guy;Medium;5942;X
455034;Head of Government;알렉산드르 카티스안 ;1919;1933;1999;PA;Naive Optimist;Medium;2176;X
455035;Head of Government;하마자스프 오한자냔 ;1920;1933;1999;PA;Silent Workhorse;Medium;5943;X
455036;Head of Government;시메온 브라츠안 ;1920;1933;1999;PA;Backroom Backstabber;Medium;2177;X
455037;Head of Government;사르기스 함바추미안 ;1920;1933;1999;ST;flamboyant tough guy;Medium;5942;X
455038;Head of Government;사르키스 카스안 ;1920;1933;1999;ST;Silent Workhorse;Medium;5944;X
455039;Head of Government;알렉산드르 미아스니키안 ;1921;1933;1999;ST;Flamboyant Tough Guy;Medium;5945;X
455040;Head of Government;사르키스 암바추미안 ;1922;1933;1999;ST;Corporate Suit;Medium;unknownminister;X
455041;Head of Military Intelligence;모브세스 실리기안 ;1914;1933;1999;PA;Logistics Specialist;Medium;unknownminister;X
455042;Head of State;아베티크 사하키안 ;1914;1933;1999;PA;Popular Figurehead;Medium;5946;X
455043;Head of State;사르기스 함바추미안 ;1914;1933;1999;LE;Weary Stiffneck;Medium;5942;X
455044;Head of State;아베스티스 아하로니안 ;1918;1933;1999;PA;Resigned Generalissimo;Medium;2178;X
455045;Head of State;아베티크 사하키안 ;1920;1933;1999;PA;Benevolent Gentleman;Medium;5946;X
455046;Head of State;사르키스 카스안 ;1920;1933;1999;ST;Insignificant Layman;Medium;5944;X
455047;Head of State;알렉산드르 미아스니키안 ;1921;1933;1999;ST;Popular Figurehead;Medium;5945;X
455048;Head of State;사르키스 암바추미안 ;1922;1933;1999;ST;Powerhungry demagogue;Medium;unknownminister;X
455049;Minister of Armament;토마스 나자르페키안 ;1914;1933;1999;PA;Infantry Proponent;Medium;unknownminister;X
455050;Minister of Security;알렉산드르 카티스안 ;1914;1933;1999;PA;Man of the People;Medium;2176;X
455051;Minister of Security;아브라함 굴칸다니안 ;1919;1933;1999;PA;Silent Lawyer;Medium;unknownminister;X
455052;Minister of Security;루벤 테르미나시안 ;1920;1933;1999;PA;Crime Fighter;Medium;5947;X
455053;Minister of Security;사르기스 아라라티안 ;1920;1933;1999;PA;Crime Fighter;Medium;5948;X
455054;Minister of Security;시메온 브라츠안 ;1920;1933;1999;PA;Back Stabber;Medium;2177;X
455055;Chief of Air Force;Sergei A. Khudyakov;1938;1951;1999;PA;Carpet Bombing Doctrine;High;L10473;X
455056;Chief of Staff;Ivan K. Bagramyan;1941;1969;1999;PA;School of Manoeuvre;High;6084;X
455057;Chief of Army;Ivan K. Bagramyan;1941;1969;1999;PA;Elastic Defence Doctrine;High;6084;X
