AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
225001;Head of State;아이작 알프레드 아이작스 ;1933;1964;1999;SC;Stern Imperialist;High;M56001;X
225002;Head of Government;조셉 A. 라이온스 ;1933;1964;1999;SC;Flamboyant Tough Guy;High;M56002;X
225003;Foreign Minister;조지 F. 피어스 ;1933;1964;1999;SC;Great Compromiser;High;M56003;X
225004;Minister of Armament;로버트 A. 파크힐 ;1933;1964;1999;SC;Resource Industrialist;Medium;M56004;X
225005;Minister of Security;토마스 패터슨 ;1933;1964;1999;SC;Silent Lawyer;Medium;M56005;X
225006;Head of Military Intelligence;알렉산더 맥라클란 ;1933;1964;1999;SC;Technical Specialist;High;M56006;X
225007;Chief of Staff;조셉 A. 라이온스 ;1933;1964;1999;SC;School of Manoeuvre;Very High;M56002;X
225008;Chief of Army;존 래버랙 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;M56008;X
225009;Chief of Navy;랑나르 M. 콜빈 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M56009;X
225010;Chief of Air Force;리처드 월리엄스 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M56010;X
225011;Head of State;알렉산더 G. 아크라이트 ;1933;1964;1999;SC;Stern Imperialist;High;M56031;X
225012;Head of State;헨리 글로스터 공작 ;1945;1964;1999;SC;Autocratic Charmer;High;M56032;X
225013;Head of State;폴 로즈빌 ;1933;1964;1999;PA;Benevolent Gentleman;High;M56011;X
225014;Head of State;랜스 샤키 ;1933;1964;1999;LE;Barking Buffoon;High;M56021;X
225015;Head of Government;로버트 G. 멘지스 ;1937;1964;1999;SC;Backroom Backstabber;High;M56037;X
225016;Head of Government;존 J. 컬틴 ;1933;1964;1999;SD;Silent Workhorse;High;M56038;X
225017;Head of Government;벤 치플리 ;1945;1964;1999;SD;Political Protege;High;M56039;X
225018;Head of Government;J.H.A. 듀란트 ;1933;1964;1999;PA;Happy Amateur;High;M56012;X
225019;Head of Government;랜스 샤키 ;1933;1964;1999;ST;Ambitious Union Boss;High;M56021;X
225020;Foreign Minister;팔머 A. 맥브라이드 ;1933;1964;1999;SC;Iron Fisted Brute;High;M56042;X
225021;Foreign Minister;헨리 S. 굴렛 ;1937;1964;1999;SC;Great Compromiser;Medium;M56043;X
225022;Foreign Minister;월리엄 M. 휴즈 ;1937;1964;1999;SC;Biased Intellectual;Very High;M56044;X
225023;Foreign Minister;로버트 G. 멘지스 ;1938;1964;1999;SC;Apologetic Clerk;Very High;M56037;X
225024;Foreign Minister;프레드릭 스튜어트 ;1939;1964;1999;SC;Ideological Crusader;High;9907;X
225025;Foreign Minister;토마스 패터슨 ;1941;1964;1999;SC;Biased Intellectual;Medium;M56005;X
225026;Foreign Minister;얼 페이지 ;1944;1964;1999;SC;Apologetic Clerk;Medium;M56048;X
225027;Foreign Minister;버논 스터디 ;1933;1964;1999;SD;General Staffer;Medium;M56049;X
225028;Foreign Minister;허버트 V. 에벗 ;1941;1964;1999;SD;Biased Intellectual;High;M56050;X
225029;Foreign Minister;피터 스피어릿 ;1933;1964;1999;PA;General Staffer;Low;M56013;X
225030;Foreign Minister;프란시스코 피스텔리 ;1940;1964;1999;PA;The Cloak N Dagger Schemer;High;M56052;X
