AUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
115001;Head of State;빌헬름 미클라스 ;1933;1964;1999;FA;Weary Stiffneck;High;8141;X
115002;Head of Government;쿠르트 슈슈니크 ;1933;1964;1999;FA;Silent Workhorse;High;8594;X
115003;Foreign Minister;에곤 베르거 발데네크 ;1933;1964;1999;FA;Apologetic Clerk;High;8596;X
115004;Minister of Armament;율리우스 라프 ;1933;1964;1999;FA;Resource Industrialist;Medium;8597;X
115005;Minister of Security;에두아르트 바 바렌펠스 ;1933;1964;1999;FA;Man of the People;High;8623;X
115006;Head of Military Intelligence;빌헬름 게바우어 ;1933;1964;1999;FA;Logistics Specialist;Medium;8626;X
115007;Chief of Staff;알프레드 폰 얀사 ;1933;1964;1999;FA;School of Defence;Medium;M23007;X
115008;Chief of Army;빌헬름 제너 ;1933;1964;1999;FA;Elastic Defence Doctrine;High;8627;X
115009;Chief of Navy;파울 폰 헤게두스 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;High;M23009;X
115010;Chief of Air Force;알렉산더 뢰어 ;1933;1964;1999;NS;Army Aviation Doctrine;Medium;8628;X
115011;Head of State;오토 1세 ;1933;1964;1999;PA;Autocratic Charmer;High;M23041;X
115012;Head of State;요제프 뷔르켈 ;1938;1964;1999;FA;Insignificant Layman;High;M23042;X
115013;Head of State;아르투르 자이스 잉크바르트 ;1938;1964;1999;NS;Die-hard Reformer;High;M23011;X
115014;Head of State;카를 레너 ;1938;1964;1999;SD;Benevolent Gentleman;High;M23021;X
115015;Head of State;레오폴트 휘글 ;1945;1964;1999;SC;Pig-headed Isolationist;High;M23045;X
115016;Head of State;오토 바우어 ;1938;1964;1999;LE;Insignificant Layman;High;M23031;X
115017;Head of State;요제프 토이플 ;1945;1964;1999;ST;Barking Buffoon;High;M23047;X
115018;Head of Government;오토 뢰벤펠스 아렌가우 ;1945;1964;1999;PA;Smiling Oilman;High;M23048;X
115019;Head of Government;알베르트 멘스도르프 ;1938;1964;1999;FA;Happy Amateur;High;M23049;X
115020;Head of Government;에드문트 글라이제 ;1938;1964;1999;NS;Old General;High;M23050;X
115021;Head of Government;빌헬름 볼프 ;1942;1964;1999;NS;Flamboyant Tough Guy;High;M23013;X
115022;Head of Government;루드비히 휠게르트 ;1938;1964;1999;SC;Corporate Suit;High;M23052;X
115023;Head of Government;아돌프 샤프 ;1945;1964;1999;SD;Naive Optimist;High;M23022;X
115024;Head of Government;빌리 프랑크 ;1938;1964;1999;LE;Happy Amateur;High;M23035;X
115025;Head of Government;요제프 토이플 ;1945;1964;1999;ST;Backroom Backstabber;High;M23047;X
115026;Foreign Minister;오토 뢰벤펠스 아렌가우 ;1945;1964;1999;PA;General Staffer;High;M23048;X
115027;Foreign Minister;귀도 슈미트 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M23057;X
115028;Foreign Minister;에두아르트 바 바렌펠스 ;1938;1964;1999;FA;Iron Fisted Brute;High;8623;X
115029;Foreign Minister;알베르트 멘스도르프 ;1939;1964;1999;FA;Apologetic Clerk;Medium;M23049;X
115030;Foreign Minister;빌헬름 볼프 ;1938;1964;1999;NS;Ideological Crusader;High;M23013;X
115031;Foreign Minister;에드문트 글라이제 ;1942;1964;1999;NS;General Staffer;Medium;M23061;X
115032;Foreign Minister;카를 그루버 ;1938;1964;1999;SC;Biased Intellectual;Low;M23023;X
115033;Foreign Minister;레오폴트 휘글 ;1945;1964;1999;ML;Great Compromiser;Medium;M23045;X
115034;Foreign Minister;아돌프 쉐프 ;1945;1964;1999;ML;Biased Intellectual;Medium;M23022;X
115035;Foreign Minister;알프레드 클라 ;1938;1964;1999;LE;Ideological Crusader;High;M23033;X
115036;Foreign Minister;빌리 프랑크 ;1945;1964;1999;ST;Iron Fisted Brute;Medium;M23035;X
115037;Minister of Armament;T. 빙클러 크로이스 마우트너 ;1945;1964;1999;PA;laissez-faire capitalist;High;M23067;X
115038;Minister of Armament;알베르트 멘스도르프 ;1946;1964;1999;PA;Administrative Genius;Medium;M23049;X
115039;Minister of Armament;요제프 도브레츠베르거 ;1933;1964;1999;FA;laissez-faire capitalist;High;M23069;X
115040;Minister of Armament;파울 폰 헤게두스 ;1938;1964;1999;FA;Battle Fleet Proponent;High;M23009;X
115041;Minister of Armament;루돌프 노이마이어 ;1938;1964;1999;NS;Resource Industrialist;Medium;M23014;X
115042;Minister of Armament;한스 피쉬뵈크 ;1942;1964;1999;NS;Military Entrepreneur;High;M23072;X
115043;Minister of Armament;알프레드 말레타 ;1944;1964;1999;NS;Tank Proponent;Medium;M23073;X
115044;Minister of Armament;에두아르트 하이늘 ;1938;1964;1999;ML;Theoretical Scientist;Medium;M23024;X
115045;Minister of Armament;카를 그루버 ;1942;1964;1999;ML;Air Superiority Proponent;Low;M23023;X
115046;Minister of Armament;카를 레너 ;1945;1964;1999;SC;Strategic Air Proponent;Low;M23021;X
115047;Minister of Armament;카를 투피 ;1945;1964;1999;SD;Corrupt Kleptocrat;Low;M23077;X
115048;Minister of Armament;프리츠 슈퇴킹어 ;1946;1964;1999;SD;Air to Ground Proponent;High;M23078;X
115049;Minister of Armament;루드비히 휠게르트 ;1946;1964;1999;SD;Air to Sea Proponent;Medium;M23052;X
115050;Minister of Armament;로베르트 빈터슈타인 ;1938;1964;1999;LE;Submarine Proponent;Medium;M23025;X
115051;Minister of Armament;에르빈 푸쉬만 ;1945;1964;1999;ST;Infantry Proponent;Medium;M23034;X
115052;Minister of Security;W. 에렌부르크 폰 뤼티츠 ;1945;1964;1999;PA;Efficient Sociopath;High;M23082;X
115053;Minister of Security;쿠르트 슈슈니크 ;1937;1964;1999;FA;Compassionate Gentleman;High;8594;X
115054;Minister of Security;콘스탄틴 둠바 ;1938;1964;1999;FA;Man of the People;Medium;M23084;X
115055;Minister of Security;아르투르 자이스 잉크바르트 ;1938;1964;1999;NS;Silent Lawyer;High;M23011;X
115056;Minister of Security;한스 라우터 ;1942;1964;1999;NS;Man of the People;High;M23086;X
115057;Minister of Security;에드문트 글라이제 ;1944;1964;1999;NS;Prince of Terror;Medium;M23050;X
115058;Minister of Security;로베르트 빈터슈타인 ;1938;1964;1999;SC;Crooked Kleptocrat;Medium;M23025;X
