BEL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
70001;Head of State;·¹¿ÀÆúµå 3¼¼ ;1933;1964;1999;ML;Benevolent Gentleman;Medium;M15001;X
70002;Head of Government;ÆÄ¿ï ¹Ý Á©¶õÆ® ;1933;1964;1999;ML;Silent Workhorse;Medium;M15002;X
70003;Foreign Minister;ÆÄ¿ï ¹Ý Á©¶õÆ® ;1933;1964;1999;ML;Biased Intellectual;Very High;M15002;X
70004;Minister of Armament;¾Ëº£¸£ µåº£Áî ;1933;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15004;X
70005;Minister of Security;¿ÜÁ¨ ¼ö´Ü ;1933;1964;1999;SL;Silent Lawyer;Very High;M15005;X
70006;Head of Military Intelligence;¾Ëº£¸£ µåº£Áî ;1933;1964;1999;ML;Political Specialist;Very High;M15004;X
70007;Chief of Staff;¾Æµ¹ÇÁ Äû¸ù ;1933;1964;1999;SC;School of Defence;Very High;121;X
70008;Chief of Army;ºòÅä¸£ ¹Ý ½ºÆ®¸°µ·Å© ;1933;1964;1999;SC;Static Defence Doctrine;Very High;M15008;X
70009;Chief of Navy;G. ÆÀ¸Þ¸£¸¸½º ;1933;1964;1999;SC;Indirect Approach Doctrine;Very High;M15009;X
70010;Chief of Air Force;L.F.E. ¹Ù¿ìÅ×¸£½º;1933;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M15010;X
70011;Head of State;·¹¿ÀÆúµå 3¼¼ ;1933;1964;1999;NS;Benevolent Gentleman;Medium;M15001;X
70012;Head of State;»þ¸¦ ;1944;1964;1999;ML;Benevolent Gentleman;Medium;M15031;X
70013;Head of State;ÁÙ¸®¾Ó ¶ó¾Æ¿ì ;1945;1964;1999;ST;Ruthless Powermonger;Medium;M15024;X
70014;Head of Government;Æú ¾Ó¸® ½ºÆÄÅ© ;1933;1964;1999;SD;Ambitious Union Boss;Medium;M15034;X
