BHU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
330001;Head of State;지그메 왕추크 ;1926;1964;1999;PA;Ruthless Powermonger;High;M74001;X
330002;Head of Government;소남 토브게이 도르지 ;1933;1964;1999;PA;Backroom Backstabber;High;M74002;X
330003;Foreign Minister;소남 토브게이 도르지 ;1933;1964;1999;PA;Biased Intellectual;High;M74002;X
330004;Minister of Armament;아메드 아크하즈 ;1933;1964;1999;PA;Infantry Proponent;Medium;M74004;X
330005;Minister of Security;망포스 부르바이 랼포 ;1933;1964;1999;PA;Man of the People;Medium;M74005;X
330006;Head of Military Intelligence;레기날드 B.스티븐스 ;1933;1964;1999;PA;Dismal Enigma;Medium;M74006;X
330007;Chief of Staff;남걀 바하두르 ;1933;1964;1999;PA;School of Manoeuvre;Medium;M74007;X
330008;Chief of Army;필립 토제이 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M74008;X
330009;Chief of Navy;토미 굴드 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M74009;X
330010;Chief of Air Force;니키 바르 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M74010;X
330011;Foreign Minister;바실 굴드 경 ;1937;1964;1999;PA;Iron Fisted Brute;High;M74011;X
330012;Foreign Minister;남걀 바하두르 ;1938;1964;1999;PA;General Staffer;Medium;M74007;X
330013;Foreign Minister;망포스 부르바이 랼포 ;1939;1964;1999;PA;Ideological Crusader;Medium;M74005;X
330014;Foreign Minister;아메드 아크하즈 ;1940;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M74004;X
330015;Foreign Minister;윌리엄 스티븐슨 메이어 ;1941;1964;1999;PA;Apologetic Clerk;Medium;M74015;X
330016;Foreign Minister;아서 존 홉킨슨 ;1945;1964;1999;PA;Great Compromiser;High;M74016;X
330017;Foreign Minister;에드워드 쿡 ;1945;1964;1999;PA;Biased Intellectual;High;M74017;X
330018;Minister of Armament;윌리엄 스티븐슨 메이어 ;1937;1964;1999;PA;Resource Industrialist;Medium;M74015;X
330019;Minister of Armament;카르마 S.바하두르 ;1938;1964;1999;PA;Military Entrepreneur;Medium;M74019;X
330020;Minister of Armament;소남 토브게이 도르지 ;1939;1964;1999;PA;laissez-faire capitalist;Medium;M74002;X
330021;Minister of Armament;에드워드 쿡 ;1939;1964;1999;PA;Administrative Genius;High;M74017;X
330022;Minister of Armament;니키 바르 ;1940;1964;1999;PA;Air Superiority Proponent;Medium;M74010;X
330023;Minister of Armament;토미 굴드 ;1941;1964;1999;PA;Submarine Proponent;Medium;M74009;X
330024;Minister of Armament;지그메 왕추크 ;1942;1964;1999;PA;Infantry Proponent;Medium;M74001;X
330025;Minister of Armament;빌 콜렛 ;1944;1964;1999;PA;Air to Ground Proponent;Medium;M74026;X
330026;Minister of Armament;남걀 바하두르 ;1944;1964;1999;PA;Strategic Air Proponent;Medium;M74007;X
330027;Minister of Armament;아서 존 홉킨슨 ;1944;1964;1999;PA;Theoretical Scientist;High;M74016;X
330028;Minister of Armament;소남 프라두카 ;1945;1964;1999;PA;Tank Proponent;Medium;M74029;X
330029;Minister of Security;아메드 아크하즈 ;1939;1964;1999;PA;Prince of Terror;Medium;M74004;X
330030;Minister of Security;바실 굴드 경 ;1940;1964;1999;PA;Silent Lawyer;High;M74011;X
330031;Minister of Security;소남 토브게이 도르지 ;1940;1964;1999;PA;Man of the People;Medium;M74002;X
330032;Minister of Security;남걀 바하두르 ;1942;1964;1999;PA;Compassionate Gentleman;Medium;M74007;X
330033;Minister of Security;카르마 S.바하두르 ;1944;1964;1999;PA;Back Stabber;Medium;M74019;X
330034;Minister of Security;에드워드 쿡 ;1944;1964;1999;PA;Efficient Sociopath;High;M74017;X
330035;Minister of Security;윌리엄 스티븐슨 메이어 ;1945;1964;1999;PA;Crime Fighter;Medium;M74015;X
330036;Head of Military Intelligence;아서 존 홉킨슨 ;1933;1964;1999;PA;Technical Specialist;High;M74016;X
330037;Head of Military Intelligence;에드워드 쿡 ;1938;1964;1999;PA;Political Specialist;High;M74017;X
330038;Head of Military Intelligence;남걀 바하두르 ;1941;1964;1999;PA;Industrial Specialist;Medium;M74007;X
330039;Head of Military Intelligence;헨리 위든 굴드 ;1943;1964;1999;PA;Logistics Specialist;Medium;M74040;X
330040;Head of Military Intelligence;카르마 S.바하두르 ;1943;1964;1999;PA;Dismal Enigma;Medium;M74019;X
330041;Head of Military Intelligence;토미 굴드 ;1943;1964;1999;PA;Naval Intelligence Specialist;Medium;M74009;X
330042;Chief of Staff;필립 토제이 ;1939;1964;1999;PA;School of Defence;Medium;M74008;X
330043;Chief of Staff;토미 굴드 ;1943;1964;1999;PA;School of Psychology;Medium;M74009;X
330044;Chief of Staff;레기날드 B.스티븐스 ;1941;1964;1999;PA;School of Manoeuvre;Medium;M74006;X
330045;Chief of Staff;헨리 위든 굴드 ;1942;1964;1999;PA;School of Mass Combat;Medium;M74040;X
330046;Chief of Staff;소남 프라두카 ;1944;1964;1999;PA;School of Fire Support;Medium;M74029;X
330047;Chief of Army;지그메 왕추크 ;1940;1964;1999;PA;Static Defence Doctrine;Medium;M74001;X
330048;Chief of Army;레기날드 B.스티븐스 ;1943;1964;1999;PA;Decisive Battle Doctrine;Medium;M74006;X
330049;Chief of Army;소남 프라두카 ;1945;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M74029;X
330050;Chief of Army;헨리 위든 굴드 ;1945;1964;1999;PA;Guns and Butter Doctrine;Medium;M74040;X
330051;Chief of Navy;아메드 아크하즈 ;1944;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M74004;X
330052;Chief of Air Force;빌 콜렛 ;1943;1964;1999;PA;Army Aviation Doctrine;Medium;M74026;X
330053;Chief of Air Force;남걀 바하두르 ;1945;1964;1999;PA;Carpet Bombing Doctrine;Medium;M74007;X
330054;Head of State;지그메 왕추크 ;1952;1964;1999;PA;Weary Stiffneck;High;M74056;X
330055;Head of Government;지그메 팔든 도르지 ;1952;1964;1999;PA;Corporate Suit;High;M74057;X
330056;Chief of Army;우겐 왕추크 ;1914;1933;1999;PA;Decisive Battle Doctrine;Very High;5957;X
330057;Chief of Staff;우겐 왕추크 ;1914;1933;1999;PA;School of Mass Combat;Very High;5957;X
330058;Foreign Minister;찰스 A.벨 ;1914;1933;1999;PA;Great Compromiser;Very High;5958;X
330059;Foreign Minister;존 바틀리 ;1920;1933;1999;PA;Biased Intellectual;Very High;unknownminister;X
330060;Foreign Minister;프레데릭 베일리 ;1921;1933;1999;PA;Great Compromiser;Very High;5959;X
330061;Head of Government;라자 우겐 도르지 ;1914;1933;1999;PA;Happy Amateur;High;9852;X
330062;Head of Government;라자 소남 토브게이 도르지 ;1917;1933;1999;PA;Naive Optimist;High;9851;X
330063;Head of State;우겐 왕추크 ;1914;1933;1999;PA;Insignificant Layman;High;5957;X
330064;Minister of Armament;라자 우겐 도르지 ;1914;1933;1999;PA;Administrative Genius;Very High;9852;X
330065;Minister of Security;라자 우겐 도르지 ;1914;1933;1999;PA;Crime Fighter;Very High;9852;X
