BOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
205001;Head of State;호세 테하다 소르사노 ;1933;1964;1999;SL;Weary Stiffneck;High;M43001;X
205002;Head of Government;호세 테하다 소르사노 ;1933;1964;1999;SL;Smiling Oilman;High;M43001;X
205003;Foreign Minister;호세 마리아 구티에레스 ;1933;1964;1999;SL;Iron Fisted Brute;High;M43003;X
205004;Minister of Armament;모르티스 옥스실드 ;1933;1964;1999;SL;laissez-faire capitalist;Medium;M43004;X
205005;Minister of Security;호세 산토스 킨테로스 ;1933;1964;1999;SL;Compassionate Gentleman;High;M43005;X
205006;Head of Military Intelligence;카를로스 알타미라노 ;1933;1964;1999;SL;Dismal Enigma;Medium;M43006;X
205007;Chief of Staff;갈베르토 비야로엘 ;1933;1964;1999;SL;School of Fire Support;Very Low;M43007;X
205008;Chief of Army;한스 쿤트 ;1933;1964;1999;SL;Decisive Battle Doctrine;Medium;M43008;X
205009;Chief of Navy;힐 이바라 후아레스 ;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M43009;X
205010;Chief of Air Force;엑토르 빌바오 로하 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M43010;X
205011;Head of State;엔리케 피노트 ;1933;1964;1999;SD;Pig-headed Isolationist;High;M43031;X
205012;Head of State;헤르만 부스크 벡세라 ;1937;1964;1999;SD;Popular Figurehead;High;M43032;X
205013;Head of State;라파엘 프랑코 라펠 ;1933;1964;1999;SL;Benevolent Gentleman;High;M43033;X
205014;Head of State;왈도 벨몬테 풀 ;1938;1964;1999;SL;Insignificant Layman;High;M43034;X
205015;Head of State;네스토르 기옌 올모스 ;1944;1964;1999;SL;Autocratic Charmer;High;M43035;X
205016;Head of State;아바돈 사베드라 마예아 ;1933;1964;1999;SC;Stern Imperialist;High;M43036;X
205017;Head of State;카를로스 킨타니야 키로가 ;1938;1964;1999;SC;Resigned Generalissimo;High;M43037;X
205018;Head of State;시몬 I. 파티뇨 ;1940;1964;1999;SC;Powerhungry Demagogue;High;M43038;X
205019;Head of State;토마스 몽헤 구티에레스 ;1945;1964;1999;SC;Ruthless Powermonger;High;M43039;X
205020;Head of State;에우세비오 아얄라 ;1943;1964;1999;LWR;Barking Buffoon;High;M43040;X
