BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
160001;Head of State;Á¦Åø¸®¿ì ¹Ù¸£°¡½º ;1933;1964;1999;PA;Autocratic Charmer;High;M34001;X
160002;Head of Government;Á¦Åø¸®¿ì ¹Ù¸£°¡½º ;1933;1964;1999;PA;Naive Optimist;High;M34001;X
160003;Foreign Minister;ÁÖÁ¦ Áö ¸¶¼¼µÎ ¼Ò¾Æ¸®½º ;1933;1964;1999;PA;Iron Fisted Brute;Medium;M34003;X
160004;Minister of Armament;ÁÖ¾Ó Ä«Æä ÇÊ·ù ;1933;1964;1999;SD;Military Entrepreneur;Low;M34004;X
160005;Minister of Security;¸¶¸£ÄÜµð½º ÇÊ·ù ;1933;1964;1999;SD;Crime Fighter;High;M34005;X
160006;Head of Military Intelligence;ÇÊ¸°Åõ ¹°·¹¸£ ;1933;1964;1999;SD;Political Specialist;Very High;9940;X
160007;Chief of Staff;ÀÌ¿ì¸®ÄÚ °¡½ºÆÄ¸£ µÎÆ®¶ó ;1933;1964;1999;PA;School of Defence;Medium;M34007;X
160008;Chief of Army;ÁÖ¾Ó ³×º£½º ´Ù ÆùÅä¶ó ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M34008;X
160009;Chief of Navy;¾Æ¸®½ºÆ¼Áö½º ±æ¸®¿¨ ;1933;1964;1999;SD;Open Seas Doctrine;Medium;M34009;X
160010;Chief of Air Force;»ì°¡µÎ ÇÊ·ù ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M34010;X
160011;Head of State;·çÀÌ½º ÇÁ·¹½ºÄ¡½º ;1933;1964;1999;ST;Die-hard Reformer;High;M34051;X
160012;Head of State;³×·ç ÇÇ¿ìÀÚ Áö Ä«½ºÆ®·ç ;1945;1964;1999;SD;Benevolent Gentleman;High;M34031;X
160013;Head of State;¿¡µÎ¾Æ¸£µÎ °í¸Þ½º ;1937;1964;1999;ML;Stern Imperialist;High;M34021;X
160014;Head of State;·çÀÌ½º Æä·¹ÀÌ¶ó ;1943;1964;1999;SC;Insignificant Layman;High;M34066;X
160015;Head of State;ÀÌ¿ì¸®ÄÚ °¡½ºÆÄ¸£ µÎÆ®¶ó ;1945;1964;1999;SC;Weary Stiffneck;High;M34011;X
160016;Head of State;ÇÃ¸®´Ï¿ì »ì°¡µÎ ;1933;1964;1999;FA;Powerhungry Demagogue;High;M34041;X
160017;Head of Government;·çÀÌ½º ÇÁ·¹½ºÄ¡½º ;1933;1964;1999;ST;Smiling Oilman;High;M34051;X
160018;Head of Government;³×·ç ÇÇ¿ìÀÚ Áö Ä«½ºÆ®·ç ;1945;1964;1999;SD;Naive Optimist;High;M34031;X
160019;Head of Government;¿¡µÎ¾Æ¸£µÎ °í¸Þ½º ;1937;1964;1999;ML;Flamboyant Tough Guy;High;M34021;X
160020;Head of Government;·çÀÌ½º Æä·¹ÀÌ¶ó ;1943;1964;1999;SC;Naive Optimist;High;M34066;X
160021;Head of Government;ÀÌ¿ì¸®ÄÚ °¡½ºÆÄ¸£ µÎÆ®¶ó ;1945;1964;1999;PA;Old General;High;M34011;X
