CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
220001;Head of State;존 버컨 ;1933;1964;1999;ML;Benevolent Gentleman;High;M45001;X
220002;Head of Government;윌리엄 라이언 매켄지 킹 ;1933;1964;1999;ML;Flamboyant Tough Guy;High;M45002;X
220003;Foreign Minister;윌리엄 라이언 매켄지 킹 ;1933;1964;1999;ML;Great Compromiser;Undying;M45002;X
220004;Minister of Armament;이안 A. 맥켄지 ;1933;1964;1999;ML;Administrative Genius;High;M45004;X
220005;Minister of Security;에르네스트 라푸앵트 ;1933;1964;1999;ML;Crime Fighter;Very High;M45005;X
220006;Head of Military Intelligence;헨리 크레라 ;1933;1964;1999;ML;Technical Specialist;High;M45006;X
220007;Chief of Staff;어니스트 애시튼 ;1933;1964;1999;ML;School of Fire Support;Very High;M45007;X
220008;Chief of Army;어니스트 애시튼 ;1933;1964;1999;ML;Guns and Butter Doctrine;Very High;M45007;X
220009;Chief of Navy;퍼시 넬레스 ;1933;1964;1999;ML;Open Seas Doctrine;Very High;M45009;X
220010;Chief of Air Force;조지 크로일 ;1933;1964;1999;ML;Carpet Bombing Doctrine;Very High;M45010;X
220011;Head of State;아드리앙 아르캉 ;1933;1964;1999;FA;Barking Buffoon;High;M45011;X
220012;Head of State;팀 벅 ;1933;1964;1999;ST;Insignificant Layman;High;M45021;X
220013;Head of Government;R.B. 베넷 ;1933;1964;1999;SC;Silent Workhorse;High;M45036;X
220014;Head of Government;로버트 매니언 ;1940;1964;1999;SC;Naive Optimist;High;M45037;X
220015;Head of Government;존 브랙큰 ;1944;1964;1999;SC;Smiling Oilman;High;M45038;X
220016;Head of Government;아드리앙 아르캉 ;1933;1964;1999;FA;Happy Amateur;High;M45011;X
220017;Head of Government;팀 벅 ;1933;1964;1999;ST;Ambitious Union Boss;High;M45021;X
220018;Foreign Minister;루이 생 로랑 ;1946;1964;1999;ML;General Staffer;High;M45042;X
220019;Foreign Minister;R.B. 베넷 ;1933;1964;1999;SC;Iron Fisted Brute;Undying;M45036;X
220020;Foreign Minister;뉴턴 웨슬리 로월 ;1938;1964;1999;SC;Ideological Crusader;High;M45044;X
220021;Foreign Minister;로버트 매니언 ;1940;1964;1999;SC;Apologetic Clerk;Undying;M45037;X
220022;Foreign Minister;존 브랙큰 ;1944;1964;1999;SC;Biased Intellectual;Undying;M45038;X
220023;Foreign Minister;아드리앙 아르캉 ;1933;1964;1999;FA;Ideological Crusader;Low;M45011;X
220024;Foreign Minister;앤드류 그린 카넬 ;1944;1964;1999;PA;Iron Fisted Brute;Medium;M45016;X
220025;Foreign Minister;팀 벅 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;Very Low;M45021;X
220026;Foreign Minister;아르망 라바시외 ;1942;1964;1999;LWR;Biased Intellectual;Medium;M45050;X
220027;Foreign Minister;존 레스브리지 ;1945;1964;1999;LE;Ideological Crusader;Medium;M45028;X
220028;Minister of Armament;재임스 랠스톤 ;1939;1964;1999;ML;Infantry Proponent;High;M45053;X
220029;Minister of Armament;더글러스 S. 애버트 ;1944;1964;1999;ML;Submarine Proponent;Very High;M45054;X
220030;Minister of Armament;라울 당 뒤랑 ;1933;1964;1999;ML;laissez-faire capitalist;Low;M45055;X
220031;Minister of Armament;아서 미언 ;1940;1964;1999;SC;Resource Industrialist;High;M45056;X
220032;Minister of Armament;C.D. 하우 ;1940;1964;1999;SC;Administrative Genius;Very High;M45057;X
220033;Minister of Armament;존 로스 테일러 ;1933;1964;1999;PA;Corrupt Kleptocrat;Very Low;M45014;X
220034;Minister of Armament;태스커 쿡 ;1939;1964;1999;PA;Air to Ground Proponent;Medium;M45059;X
220035;Minister of Armament;찰스 J. 하울렛 ;1942;1964;1999;PA;Infantry Proponent;Medium;M45060;X
220036;Minister of Armament;르네 생 피에르 ;1944;1964;1999;PA;Battle Fleet Proponent;Medium;M45061;X
220037;Minister of Armament;피에르 가뇽 ;1945;1964;1999;PA;Resource Industrialist;Medium;M45062;X
220038;Minister of Armament;매튜 포포비치 ;1933;1964;1999;LWR;Tank Proponent;Low;M45024;X
220039;Minister of Armament;윌리엄 카쉬탄 ;1938;1964;1999;LE;Resource Industrialist;Low;M45064;X
220040;Minister of Armament;로버트 M. 에드워즈 ;1941;1964;1999;LWR;Infantry Proponent;Medium;M45065;X
220041;Minister of Armament;밥 만 ;1943;1964;1999;LE;Air Superiority Proponent;Medium;M45030;X
220042;Minister of Security;조지 W. 스티븐슨 ;1944;1964;1999;ML;Compassionate Gentleman;Medium;M45069;X
220043;Minister of Security;토마스 A. 크레라 ;1933;1964;1999;ML;Man of the People;Very High;M45070;X
220044;Minister of Security;고든 그레이든 ;1940;1964;1999;SC;Silent Lawyer;High;M45071;X
220045;Minister of Security;루이 St. 로랑 ;1941;1964;1999;ML;Crime Fighter;High;M45042;X
220046;Minister of Security;존 디펜베이커 ;1944;1964;1999;SC;Man of the People;High;M45073;X
220047;Minister of Security;척 크레이트 ;1933;1964;1999;PA;Prince of Terror;Medium;M45015;X
220048;Minister of Security;피에르 St. 피에르 ;1937;1964;1999;PA;Man of the People;Medium;M45075;X
220049;Minister of Security;토마스 아담스 ;1941;1964;1999;PA;Compassionate Gentleman;Medium;M45076;X
220050;Minister of Security;피에르 가뇽 ;1942;1964;1999;PA;Crime Fighter;Medium;M45062;X
220051;Minister of Security;장 쿠일라드 ;1943;1964;1999;PA;Silent Lawyer;Medium;M45078;X
220052;Minister of Security;월리엄 G. 아담스 ;1945;1964;1999;PA;Back Stabber;Medium;M45079;X
220053;Minister of Security;톰 맥완 ;1933;1964;1999;LE;Crime Fighter;Medium;M45025;X
220054;Minister of Security;로베르 블랙호크 ;1940;1964;1999;LWR;Man of the People;Medium;M45081;X
220055;Minister of Security;지노 베르기엘라 ;1941;1964;1999;LE;Efficient Sociopath;Medium;M45082;X
220056;Minister of Security;켕탱 피곳 ;1943;1964;1999;LE;Compassionate Gentleman;Medium;M45083;X
220057;Head of Military Intelligence;허버트 브라운 아메스 ;1937;1964;1999;ML;Dismal Enigma;Very High;M45085;X
220058;Head of Military Intelligence;케네스 스튜어트 ;1940;1964;1999;ML;Technical Specialist;Very High;M45086;X
220059;Head of Military Intelligence;랄프 깁슨 ;1944;1964;1999;ML;Industrial Specialist;High;M45087;X
220060;Head of Military Intelligence;모리스 포프 ;1933;1964;1999;SC;Political Specialist;High;9758;X
220061;Head of Military Intelligence;월리엄 G. 아담스 ;1944;1964;1999;SC;Naval Intelligence Specialist;Medium;M45079;X
220062;Head of Military Intelligence;앤드류 그린 카넬 ;1933;1964;1999;PA;Political Specialist;Medium;M45016;X
220063;Head of Military Intelligence;피에르 버튼 ;1938;1964;1999;PA;Dismal Enigma;Medium;M45091;X
220064;Head of Military Intelligence;르네 St. 피에르 ;1941;1964;1999;PA;Industrial Specialist;Medium;M45061;X
220065;Head of Military Intelligence;장 쿠일라드 ;1943;1964;1999;PA;Naval Intelligence Specialist;Medium;M45078;X
220066;Head of Military Intelligence;자크 로베르 ;1933;1964;1999;LE;Political Specialist;Medium;M45094;X
220067;Head of Military Intelligence;존 레스브리지 ;1942;1964;1999;LE;Logistics Specialist;Medium;M45028;X
220068;Head of Military Intelligence;자크 리카르도 ;1943;1964;1999;LE;Naval Intelligence Specialist;Medium;M45096;X
220069;Head of Military Intelligence;윌리엄 디즈 ;1945;1964;1999;LE;Technical Specialist;Medium;M45026;X
220070;Chief of Staff;토마스 앤더슨 ;1938;1944;1973;ML;School of Defence;High;M45099;X
220071;Chief of Staff;헨리 크레라 ;1940;1964;1999;ML;School of Psychology;High;M45006;X
220072;Chief of Staff;케네스 스튜어트 ;1933;1964;1999;SC;School of Mass Combat;Very High;M45086;X
220073;Chief of Staff;존 머치 ;1940;1964;1999;SC;School of Fire Support;High;M45102;X
220074;Chief of Staff;찰스 풀크스 ;1944;1964;1999;SC;School of Manoeuvre;Very High;M45103;X
220075;Chief of Staff;프레드릭 M.W. 하비 ;1933;1964;1999;PA;School of Mass Combat;Medium;M45017;X
220076;Chief of Staff;로베르 M. 에드워즈 ;1933;1964;1999;LWR;School of Defence;Medium;M45065;X
220077;Chief of Staff;새뮤얼 치노 ;1943;1964;1999;LE;School of Fire Support;Medium;M45027;X
220078;Chief of Army;토마스 앤더슨 ;1938;1944;1973;ML;Static Defence Doctrine;High;M45099;X
220079;Chief of Army;헨리 크레라 ;1940;1964;1999;ML;Armoured Spearhead Doctrine;High;M45006;X
220080;Chief of Army;케네스 스튜어트 ;1933;1964;1999;SC;Decisive Battle Doctrine;Very High;M45086;X
220081;Chief of Army;존 머치 ;1940;1964;1999;SC;Armoured Spearhead Doctrine;High;M45102;X
220082;Chief of Army;찰스 풀크스 ;1944;1964;1999;SC;Elastic Defence Doctrine;Very High;M45103;X
220083;Chief of Army;프레드릭 M.W. 하비 ;1944;1964;1999;PA;Guns and Butter Doctrine;Medium;M45017;X
220084;Chief of Army;자크 로베르 ;1933;1964;1999;LE;Static Defence Doctrine;Medium;M45094;X
220085;Chief of Army;존 레스브리지 ;1942;1964;1999;LE;Elastic Defence Doctrine;Medium;M45028;X
220086;Chief of Navy;앨러스데어 머레이 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M45019;X
220087;Chief of Navy;장 쿠일라드 ;1938;1964;1999;PA;Indirect Approach Doctrine;Medium;M45078;X
220088;Chief of Navy;존 F. 킹 ;1933;1964;1999;LWR;Indirect Approach Doctrine;Medium;M45029;X
220089;Chief of Navy;자크 리카르도 ;1939;1964;1999;LE;Power Projection Doctrine;Medium;M45096;X
220090;Chief of Air Force;조셉 로메오 바숑 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M45123;X
220091;Chief of Air Force;P.W. 올란드 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M45020;X
220092;Chief of Air Force;지노 베르기엘라 ;1933;1964;1999;LE;Air Superiority Doctrine;Medium;M45082;X
220093;Chief of Air Force;밥 만 ;1943;1964;1999;LE;Army Aviation Doctrine;Medium;M45030;X
220094;Head of State;존 버컨 ;1933;1964;1999;SC;Benevolent Gentleman;High;M45001;X
220095;Head of State;리만 푸어 더프 ;1940;1964;1999;SC;Popular Figurehead;High;M45129;X
