CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
260800;Head of State;ÃµµÎ½´ ;1911;1933;1943;LWR;Die-hard Reformer;High;8618;X
260801;Head of Government;ÃµµÎ½´ ;1911;1933;1943;LWR;Ambitious Union Boss;High;8618;X
260802;Foreign Minister;¸®´ÙÀÚ¿À ;1918;1924;1927;LWR;Ideological Crusader;High;3043;X
260803;Minister of Security;¸®´ÙÀÚ¿À ;1918;1924;1927;LWR;Man of the People;Medium;3043;X
260804;Minister of Armament;¿ÕÁø¸ÞÀÌ ;1920;1925;1925;LWR;Resource Industrialist;Medium;8619;X
260805;Chief of Staff;Çã·î ;1926;1961;1961;LWR;School of Manoeuvre;Medium;9219;X
260806;Chief of Navy;Çã·î ;1926;1961;1961;LWR;Open Seas Doctrine;Medium;9219;X
260807;Chief of Army;¿¹ÆÃ ;1927;1938;1947;LWR;Decisive Battle Doctrine;Medium;9220;X
260808;Chief of Air Force;¿¹ÆÃ ;1927;1938;1947;LWR;Carpet Bombing Doctrine;Medium;9220;X
260809;Head of Military Intelligence;µ¢»þ¿ÀÇÎ ;1924;1989;1994;LWR;Industrial Specialist;High;2338;X
260810;Head of State;µ¢»þ¿ÀÇÎ ;1924;1993;1994;LWR;Deng_Xiaoping;High;2338;X
260811;Minister of Armament;µ¢»þ¿ÀÇÎ ;1924;1989;1994;LWR;Mixed economy;High;2338;X
260812;Chief of Staff;µ¢»þ¿ÀÇÎ ;1924;1969;1970;LWR;school of manoeuvre;High;2338;X
260813;Chief of Army;µ¢»þ¿ÀÇÎ ;1924;1969;1970;LWR;Doctrine of autonomy;High;2338;X
260814;Minister of Armament;¸°º¸Ãë ;1907;1960;1961;LWR;Military Entrepreneur;High;9226;X
260815;Head of State;¸°º¸Ãë ;1907;1960;1961;LWR;Die-hard Reformer;High;9226;X
260816;Head of Government;¸°º¸Ãë ;1907;1960;1961;LWR;Flamboyant Tough Guy;High;9226;X
260817;Minister of Security;¸°º¸Ãë ;1907;1960;1961;LWR;Compassionate Gentleman;High;9226;X
260818;Minister of Security;¼ÎÁâÂ¥ÀÌ ;1925;1959;1960;LWR;Man of the People;Medium;9227;X
260819;Head of Military Intelligence;¼ÎÁâÂ¥ÀÌ ;1925;1959;1960;LWR;Political Specialist;Medium;9227;X
260820;Chief of Staff;¼ö¼§Ã¾ ;1927;1981;1982;LWR;School of Manoeuvre;Medium;M51044;X
260821;Minister of Armament;¼ö¼§Ã¾ ;1927;1981;1982;LWR;Reformer;Medium;M51044;X
260822;Head of Military Intelligence;ÆãÀü ;1923;1977;1977;LE;Industrial Specialist;High;M51055;X
260823;Minister of Security;½º·® ;1942;1975;1976;SD;Crime Fighter;Medium;M51058;X
260824;Head of State;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Ruthless Powermonger;Medium;2337;X
260825;Head of Government;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Ambitious Union Boss;Medium;2337;X
260826;Foreign Minister;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Biased Intellectual;Medium;2337;X
260827;Head of Military Intelligence;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Political Specialist;Medium;2337;X
260828;Chief of Staff;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;School of Mass Combat;Medium;2337;X
