CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picture ID;X
55200;Head of State;ÅÁÁö¾Æ¿À ;1913;1927;1927;PA;Autocratic Charmer;High;9457;X
55201;Head of Government;·±Ä¿Ã» ;1914;1933;1933;PA;Silent Workhorse;High;9458;X
55202;Foreign Minister;·îÂ¡¿Õ ;1913;1930;1930;PA;General Staffer;High;9459;X
55203;Minister of Armament;·±Ä¿Ã» ;1913;1933;1933;PA;Military Entrepreneur;Medium;9458;X
55204;Minister of Security;ÅÁÁö¾Æ¿À ;1913;1927;1927;PA;Man of the People;Medium;9457;X
55205;Head of Military Intelligence;ÅÁÁö¾Æ¿À ;1913;1927;1927;PA;Political Specialist;Medium;9457;X
55206;Chief of Staff;ÅÁÁö¾Æ¿À ;1913;1927;1927;PA;School of Psychology;High;9457;X
55207;Chief of Army;·îÂ¡¿Õ ;1913;1930;1930;PA;Decisive Battle Doctrine;Medium;9459;X
55208;Chief of Navy;·±Ä¿Ã» ;1914;1933;1933;PA;Open Seas Doctrine;Medium;9458;X
55209;Chief of Air Force;ÅÁÁö¾Æ¿À ;1913;1927;1927;PA;Army Aviation Doctrine;Medium;9457;X
55210;Head of State;Â÷ÀÌ¾î ;1900;1917;1917;SC;Cai E;High;9460;X
55211;Head of Government;Àú¿ìÁß¿ş ;1915;1930;1930;SC;Naive Optimist;High;9461;X
55212;Foreign Minister;Â÷ÀÌ¾î ;1900;1917;1917;SC;Ideological Crusader;Medium;9460;X
55213;Minister of Armament;Àú¿ìÁß¿ş ;1915;1930;1930;SC;Laissez-faire Capitalist;Medium;9461;X
55214;Minister of Security;·®Ä¡Â÷¿À ;1895;1918;1918;ML;Compassionate Gentleman;Medium;9462;X
55215;Head of Military Intelligence;¸®·ÊÁØ ;1908;1946;1946;PA;Dismal Enigma;Medium;9463;X
55216;Chief of Staff;Â÷ÀÌ¾î ;1900;1917;1917;SC;School of Mass Combat;Medium;9460;X
55217;Chief of Army;¸®·ÊÁØ ;1915;1945;1945;PA;Decisive Battle Doctrine;Medium;9463;X
