CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
210001;Head of State;아르투로 알레산드리 팔마 ;1933;1964;1999;SL;Stern Imperialist;High;M44001;X
210002;Head of Government;구스타보 로스 ;1933;1964;1999;SL;Naive Optimist;High;M44002;X
210003;Foreign Minister;미겔 크루차가 타코말 ;1933;1964;1999;SL;Iron Fisted Brute;Medium;M44003;X
210004;Minister of Armament;에두아르도 힐만 ;1933;1964;1999;SL;Resource Industrialist;High;M44004;X
210005;Minister of Security;아르투로 알레산드리 팔마 ;1933;1964;1999;SL;Compassionate Gentleman;Medium;M44001;X
210006;Head of Military Intelligence;훌리오 아야르드 핀토 ;1933;1964;1999;SL;Naval Intelligence Specialist;Medium;M44006;X
210007;Chief of Staff;카를로스 데 라 모테 ;1927;1946;1946;SL;School of Fire Support;Medium;M44007;X
210008;Chief of Army;E. 노보아 푸엔테스 ;1933;1964;1999;SL;Static Defence Doctrine;Medium;M44008;X
210009;Chief of Navy;카를로스 데 라 모테 ;1927;1946;1946;SL;Open Seas Doctrine;Medium;M44007;X
210010;Chief of Air Force;다리오 무히카 감보아 ;1933;1964;1999;SL;Air Superiority Doctrine;Medium;M44010;X
210011;Head of State;페드로 아기레 세르다 ;1938;1964;1999;SD;Benevolent Gentleman;High;M44031;X
210012;Head of State;안토니오 J. 리오스 ;1942;1964;1999;SD;Weary Stiffneck;High;M44032;X
210013;Head of State;가브리엘 곤살레스 ;1946;1964;1999;SD;Popular Figurehead;High;M44033;X
210014;Head of State;카를로스 이바네스 ;1946;1964;1999;SC;Resigned Generalissimo;High;M44035;X
210015;Head of State;카를로스 이바네스 ;1942;1964;1999;PA;Resigned Generalissimo;High;M44035;X
210016;Head of State;J.G. 본 마레스 ;1938;1964;1999;FA;Autocratic Charmer;High;M44011;X
210017;Head of State;마르마두케 그로베 ;1938;1964;1999;LE;Barking Buffoon;High;M44021;X
210018;Head of State;살바도르 아옌데 ;1945;1964;1999;LWR;Die-hard Reformer;High;M44039;X
210019;Head of Government;페드로 아기레 세르다 ;1938;1964;1999;SD;Political Protege;High;M44031;X
210020;Head of Government;안토니오 J. 리오스 ;1942;1964;1999;SD;Flamboyant Tough Guy;High;M44032;X
210021;Head of Government;가브리엘 곤살레스 ;1946;1964;1999;SD;Backroom Backstabber;High;M44033;X
210022;Head of Government;아르투로 알레산드리 팔마 ;1937;1964;1999;SL;Smiling Oilman;High;M44001;X
210023;Head of Government;구스타보 로스 ;1938;1964;1999;SC;Naive Optimist;High;M44002;X
210024;Head of Government;마누엘 모라 미란다 ;1942;1964;1999;SC;Happy Amateur;High;M44045;X
210025;Head of Government;카를로스 이바네스 ;1942;1964;1999;PA;Old General;High;M44035;X
210026;Head of Government;미사엘 가예기요스 ;1938;1964;1999;FA;Ambitious Union Boss;High;M44012;X
210027;Head of Government;C.L. 블레스트 리포 ;1938;1964;1999;LE;Old Admiral;High;M44022;X
210028;Head of Government;마르마두케 그로베 ;1942;1964;1999;LE;old airmarshal;High;M44021;X
210029;Head of Government;살바도르 아옌데 ;1945;1964;1999;LWR;Naive Optimist;High;M44039;X
210030;Foreign Minister;아브라함 오르테가 ;1938;1964;1999;SD;Iron Fisted Brute;Medium;M44051;X
210031;Foreign Minister;크리스토발 사엔스 ;1940;1964;1999;SD;Apologetic Clerk;Medium;M44052;X
210032;Foreign Minister;마누엘 모라 미란다 ;1940;1964;1999;SD;Great Compromiser;Medium;M44045;X
210033;Foreign Minister;마누엘 비안치 군디안 ;1940;1964;1999;SD;Iron Fisted Brute;Medium;M44054;X
210034;Foreign Minister;루이스 알라모스 바로스 ;1941;1964;1999;SD;Ideological Crusader;High;M44055;X
210035;Foreign Minister;에르네스토 하르파 ;1942;1964;1999;SD;General Staffer;Medium;M44056;X
210036;Foreign Minister;J. 페르난데스 ;1942;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M44057;X
210037;Foreign Minister;라울 훌리에트 고메스 ;1945;1964;1999;SD;Apologetic Clerk;Medium;M44058;X
210038;Foreign Minister;J.R. 구티에레스 아옌데 ;1938;1964;1999;SL;Biased Intellectual;High;M44059;X
210039;Foreign Minister;루이스 아르테아가 ;1938;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M44023;X
210040;Foreign Minister;미겔 크루차가 타코말 ;1942;1964;1999;PA;Iron Fisted Brute;Medium;M44003;X
210041;Foreign Minister;프란시스코 오레고 ;1942;1964;1999;SC;General Staffer;Medium;M44062;X
210042;Foreign Minister;카를로스 D. 소토 ;1943;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M44063;X
210043;Foreign Minister;루이스 레나르드 ;1946;1964;1999;SC;Apologetic Clerk;High;M44064;X
210044;Foreign Minister;J.G. 본 마레스 ;1938;1964;1999;FA;Ideological Crusader;Very Low;M44011;X
210045;Foreign Minister;루이스 아르테아가 ;1938;1964;1999;LE;The Cloak N Dagger Schemer;Medium;M44023;X
210046;Foreign Minister;페르난도 모랄레스 ;1946;1964;1999;LWR;Apologetic Clerk;Medium;M44067;X
210047;Minister of Armament;카를로스 가르시아 ;1938;1964;1999;SD;Theoretical Scientist;High;M44068;X
210048;Minister of Armament;후안 리오스 모랄레스 ;1938;1964;1999;SD;Resource Industrialist;High;M44069;X
210049;Minister of Armament;루이스 알라모스 바로스 ;1939;1964;1999;SD;Infantry Proponent;High;M44055;X
210050;Minister of Armament;페드로 아기레 세르다 ;1940;1964;1999;SD;laissez-faire capitalist;Medium;M44031;X
210051;Minister of Armament;카를로스 푸엔테스 라베 ;1941;1964;1999;SD;Military Entrepreneur;High;M44072;X
210052;Minister of Armament;프란시스코 리나레스 ;1942;1964;1999;SD;Tank Proponent;Very High;M44073;X
210053;Minister of Armament;다리오 무히카 감보아 ;1944;1964;1999;SD;Air Superiority Proponent;Medium;M44010;X
210054;Minister of Armament;마누엘 C. 페레이라 ;1946;1964;1999;SD;Resource Industrialist;High;M44075;X
210055;Minister of Armament;호세 루이스 베사 ;1937;1964;1999;SL;Air to Ground Proponent;High;M44076;X
210056;Minister of Armament;크리스토발 사엔스 ;1938;1964;1999;SL;Administrative Genius;Medium;M44052;X
210057;Minister of Armament;엔리케 비예가스 ;1938;1964;1999;SC;laissez-faire capitalist;High;M44078;X
210058;Minister of Armament;빅토르 라렌스 키하다 ;1939;1964;1999;SC;Submarine Proponent;High;M44079;X
210059;Minister of Armament;프란시스코 오레고 ;1943;1964;1999;SC;Battle Fleet Proponent;Medium;M44062;X
210060;Minister of Armament;미사엘 가예기요스 ;1946;1964;1999;SC;Corrupt Kleptocrat;Low;M44012;X
210061;Minister of Armament;구스타보 로스 ;1946;1964;1999;SC;Administrative Genius;Medium;M44002;X
210062;Minister of Armament;에르네스토 하르파 ;1942;1964;1999;PA;Corrupt Kleptocrat;Medium;M44056;X
210063;Minister of Armament;마누엘 비안치 군디안 ;1942;1964;1999;PA;Infantry Proponent;Medium;M44054;X
210064;Minister of Armament;라몬 카이스 ;1938;1964;1999;FA;Infantry Proponent;Low;M44014;X
210065;Minister of Armament;카를로스 몬살베 ;1944;1964;1999;FA;Air to Sea Proponent;High;M44087;X
210066;Minister of Armament;C.L. 블레스트 리포 ;1938;1964;1999;LE;Theoretical Scientist;Very Low;M44022;X
210067;Minister of Armament;아우구스틴 에드와르드스 ;1942;1964;1999;LE;Air Superiority Proponent;Medium;M44089;X
210068;Minister of Armament;아우렐리오 팔마 ;1946;1964;1999;LWR;Strategic Air Proponent;High;M44090;X
210069;Minister of Security;마누엘 살리나스 ;1938;1964;1999;SD;Silent Lawyer;High;M44091;X
210070;Minister of Security;마누엘 모라 미란다 ;1941;1964;1999;SD;Back Stabber;Medium;M44045;X
210071;Minister of Security;다리오 무히카 감보아 ;1942;1964;1999;SD;Efficient Sociopath;Medium;M44010;X
210072;Minister of Security;안토니오 J. 리오스 ;1945;1964;1999;SD;Prince of Terror;High;M44032;X
210073;Minister of Security;안토니오 우네우스 ;1937;1964;1999;SL;Man of the People;High;M44095;X
210074;Minister of Security;미겔 곤살레스 리오스 ;1938;1964;1999;SL;Crooked Kleptocrat;Medium;M44096;X
210075;Minister of Security;아브라함 오르테가 ;1938;1964;1999;SL;Crime Fighter;Medium;M44051;X
210076;Minister of Security;J.R. 구티에레스 아옌데 ;1942;1964;1999;SC;Crime Fighter;High;M44059;X
210077;Minister of Security;마누엘 리바스 비쿠냐 ;1943;1964;1999;SC;Prince of Terror;High;M44099;X
210078;Minister of Security;에르네스토 하르파 ;1946;1964;1999;SC;Crooked Kleptocrat;Medium;M44056;X
210079;Minister of Security;카를로스 이바네스 ;1939;1964;1999;PA;Man of the People;Medium;M44035;X
210080;Minister of Security;비센테 메리노 비엘릭 ;1942;1964;1999;PA;Prince of Terror;Medium;M44102;X
210081;Minister of Security;카를로스 케예르 ;1938;1964;1999;FA;Back Stabber;Low;M44015;X
210082;Minister of Security;마르마두케 그로베 ;1938;1964;1999;LE;Man of the People;Medium;M44021;X
