CMB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
590001;Head of State;시소와트 모니봉 ;1933;1964;1999;SL;Benevolent Gentleman;High;M541001;X
590002;Head of Government;레옹 E. 티보도 ;1933;1964;1999;SL;Old Admiral;High;M541002;X
590003;Foreign Minister;시소와트 모니퐁 ;1933;1964;1999;SL;Great Compromiser;High;M541003;X
590004;Minister of Armament;시소와트 모니레드 ;1933;1964;1999;SL;Infantry Proponent;Medium;M541004;X
590005;Minister of Security;시소와트 유테봉 ;1933;1964;1999;SL;Silent Lawyer;Medium;M541005;X
590006;Head of Military Intelligence;손 응오트 랑 ;1933;1964;1999;SL;Industrial Specialist;Medium;M541006;X
590007;Chief of Staff;조르주 A.L. 고티에 ;1933;1964;1999;SL;School of Defence;Medium;M541007;X
590008;Chief of Army;모리스 드 루사크 살시앙 ;1933;1964;1999;SL;Static Defence Doctrine;Medium;M541008;X
590009;Chief of Navy;레옹 E. 티보도 ;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M541002;X
590010;Chief of Air Force;조르주 A.L. 고티에 ;1933;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M541007;X
590011;Head of State;노로돔 시아누크 ;1941;1964;1999;SL;Ruthless Powermonger;High;M541011;X
590012;Head of State;노로돔 수라마리트 ;1933;1964;1999;SC;Barking Buffoon;High;M541012;X
590013;Head of State;시소와트 모니퐁 ;1933;1964;1999;PA;Popular Figurehead;High;M541003;X
590014;Head of State;폴 포트 ;1933;1964;1999;ST;Powerhungry Demagogue;High;M541014;X
590015;Head of Government;조르주 A.L. 고티에 ;1943;1964;1999;SL;old airmarshal;High;M541007;X
590016;Head of Government;손 응오트 랑 ;1945;1964;1999;SL;Ambitious Union Boss;High;M541006;X
590017;Head of Government;시소와트 모니레드 ;1945;1964;1999;SL;Political Protege;High;M541004;X
590018;Head of Government;시소와트 유테봉 ;1946;1964;1999;SL;Naive Optimist;High;M541005;X
590019;Head of Government;시소와트 와차야봉 ;1947;1964;1999;SL;Corporate Suit;High;M541019;X
590020;Head of Government;손 산 ;1933;1964;1999;SC;Silent Workhorse;High;M541020;X
590021;Head of Government;시소와트 시리크 마타크 ;1933;1964;1999;PA;Happy Amateur;High;M541021;X
590022;Head of Government;키에우 삼판 ;1933;1964;1999;ST;Smiling Oilman;High;M541022;X
590023;Foreign Minister;시소와트 모니라크 ;1942;1964;1999;SL;Iron Fisted Brute;High;M541023;X
590024;Foreign Minister;레오넬 드 무스티에 ;1933;1964;1999;SC;Apologetic Clerk;High;M541024;X
590025;Foreign Minister;판 시나 ;1944;1964;1999;SC;Ideological Crusader;High;M541025;X
590026;Foreign Minister;크리산 체다 ;1933;1964;1999;PA;General Staffer;High;M541026;X
590027;Foreign Minister;렝 사리 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;High;M541027;X
590028;Minister of Armament;피에르 프네 ;1942;1964;1999;SL;Military Entrepreneur;Medium;M541028;X
590029;Minister of Armament;차이 사잉 윤 ;1945;1964;1999;SL;Submarine Proponent;Medium;M541029;X
590030;Minister of Armament;아메디 두아양 ;1933;1964;1999;SC;Air Superiority Proponent;Medium;M541030;X
590031;Minister of Armament;삼 안 ;1943;1964;1999;SC;Battle Fleet Proponent;Medium;M541031;X
590032;Minister of Armament;노로돔 파누봉 ;1933;1964;1999;PA;Tank Proponent;Medium;M541032;X
590033;Minister of Armament;누온 체아 ;1933;1964;1999;ST;Corrupt Kleptocrat;Medium;M541033;X
590034;Minister of Security;르네 라콤브 ;1940;1964;1999;SL;Man of the People;Medium;M541034;X
590035;Minister of Security;론 놀 ;1944;1964;1999;SL;Prince of Terror;Medium;M541035;X
590036;Minister of Security;폴 졸리 ;1933;1964;1999;SC;Back Stabber;Medium;M541036;X
590037;Minister of Security;사키와트 피룬 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M541037;X
590038;Minister of Security;프랑수아 포레 ;1943;1964;1999;PA;Compassionate Gentleman;Medium;M541038;X
590039;Minister of Security;폴 포트 ;1933;1964;1999;ST;Efficient Sociopath;Medium;M541014;X
590040;Head of Military Intelligence;시소와트 와차야봉 ;1942;1964;1999;SL;Logistics Specialist;Medium;M541019;X
590041;Head of Military Intelligence;히 웽 ;1933;1964;1999;SC;Naval Intelligence Specialist;Medium;M541041;X
590042;Head of Military Intelligence;시소와트 유테봉 ;1933;1964;1999;PA;Technical Specialist;Medium;M541005;X
590043;Head of Military Intelligence;티 반흐 ;1933;1964;1999;ST;Dismal Enigma;Medium;M541043;X
590044;Chief of Staff;노로돔 시아누크 ;1941;1964;1999;SL;School of Psychology;Medium;M541044;X
590045;Chief of Staff;츠훈 림 ;1933;1964;1999;SC;School of Fire Support;Medium;M541045;X
590046;Chief of Staff;시소와트 모니레드 ;1933;1964;1999;PA;School of Manoeuvre;Medium;M541046;X
590047;Chief of Staff;키엥 방 ;1933;1964;1999;ST;School of Mass Combat;Medium;M541047;X
590048;Chief of Army;에밀 라퐁 ;1941;1964;1999;SL;Elastic Defence Doctrine;Medium;M541048;X
590049;Chief of Army;시소와트 와차야봉 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M541049;X
590050;Chief of Army;론 놀 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M541035;X
590051;Chief of Army;손 센 ;1933;1964;1999;ST;Guns and Butter Doctrine;Medium;M541051;X
590052;Chief of Navy;자크 트로이 드 프레보 ;1943;1964;1999;SL;Open Seas Doctrine;Medium;M541052;X
590053;Chief of Navy;앙드레 파투 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M541053;X
590054;Chief of Navy;노로돔 시아누크 ;1933;1964;1999;PA;Power Projection Doctrine;Medium;M541054;X
590055;Chief of Navy;유 호크 크리 ;1933;1964;1999;ST;Base Control Doctrine;Medium;M541055;X
590056;Chief of Air Force;조제프 트리고 ;1942;1964;1999;SL;Army Aviation Doctrine;Medium;M541056;X
590057;Chief of Air Force;자크 수플레 ;1933;1964;1999;SC;Naval Aviation Doctrine;Medium;M541057;X
590058;Chief of Air Force;노로돔 시아누크 ;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M541058;X
590059;Chief of Air Force;프롬 소카 ;1933;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M541059;X
590060;Head of Government;체히안 밤 ;1948;1964;1999;SL;Naive Optimist;High;M541060;X
590061;Head of Government;삼데크 펜 노트 ;1948;1964;1999;SL;Silent Workhorse;High;M541061;X
590062;Head of Government;옘 삼바우르 ;1949;1964;1999;SL;Political Protege;High;M541062;X
590063;Head of Government;시소와트 모니퐁 ;1950;1964;1999;SL;Old General;High;M541003;X
590064;Head of Government;오움 체항 순 ;1951;1964;1999;SL;Happy Amateur;High;M541064;X
590065;Head of Government;후이 칸토울 ;1951;1964;1999;SL;Ambitious Union Boss;High;M541065;X
590066;Head of Government;노로돔 시아누크 ;1952;1964;1999;SL;Backroom Backstabber;High;M541011;X
590067;Foreign Minister;손 응오트 랑 ;1945;1964;1999;SL;Great Compromiser;High;M541067;X
