COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
175001;Head of State;알폰소 로페스 푸마레호 ;1933;1964;1999;SD;Weary Stiffneck;High;M37001;X
175002;Head of Government;알폰소 로페스 푸마레호 ;1933;1964;1999;SD;Silent Workhorse;High;M37001;X
175003;Foreign Minister;에르네스토 곤살레스 ;1933;1964;1999;SD;Ideological Crusader;Medium;M37003;X
175004;Minister of Armament;베니토 에르난데스 ;1933;1964;1999;SD;Corrupt Kleptocrat;Medium;M37004;X
175005;Minister of Security;호르헤 로아 마르티네스 ;1933;1964;1999;SD;Compassionate Gentleman;Medium;M37005;X
175006;Head of Military Intelligence;페르난도 론도노 ;1933;1964;1999;SD;Industrial Specialist;Medium;M37006;X
175007;Chief of Staff;호르헤 메르카도 산체스 ;1933;1964;1999;SD;School of Defence;Medium;M37007;X
175008;Chief of Army;에두아르도 에스코바르 ;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M37008;X
175009;Chief of Navy;루이스 아세베도 ;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M37009;X
175010;Chief of Air Force;헤르만 올라노 ;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M37010;X
175011;Head of State;에두아르도 몬테호 ;1938;1964;1999;SL;Autocratic Charmer;High;M37032;X
175012;Head of State;알베르토 예라스 카마르고 ;1942;1964;1999;SL;Insignificant Layman;High;M37033;X
175013;Head of State;가브리엘 투르바이 아얄라 ;1946;1964;1999;SL;Benevolent Gentleman;High;M37034;X
175014;Head of State;호아킨 페르난데스 ;1938;1964;1999;SC;Popular Figurehead;High;M37035;X
175015;Head of State;카를로스 아란고 벨레스 ;1942;1964;1999;SC;Stern Imperialist;High;M37036;X
175016;Head of State;호르헤 엘리에세르 가이탄 ;1945;1964;1999;SC;Popular Figurehead;High;M37037;X
175017;Head of State;마리아노 오스피나 페레스 ;1946;1964;1999;ML;Barking Buffoon;High;M37038;X
175018;Head of State;훌리오 발데스 ;1938;1964;1999;FA;Resigned Generalissimo;High;M37011;X
175019;Head of State;구스타보 로하스 피니야 ;1945;1964;1999;PA;Resigned Generalissimo;High;M37040;X
175020;Head of State;케리스타 세요르 ;1938;1964;1999;LE;Pig-headed Isolationist;High;M37021;X
175021;Head of State;호르헤 엘리에세르 가이탄 ;1946;1964;1999;LWR;Popular Figurehead;High;M37037;X
175022;Head of Government;카를로스 로사노 ;1938;1964;1999;SD;Smiling Oilman;High;M37044;X
175023;Head of Government;다리오 에찬디아 ;1943;1964;1999;SD;Happy Amateur;High;M37045;X
175024;Head of Government;에두아르도 몬테호 ;1938;1964;1999;SL;Flamboyant Tough Guy;High;M37032;X
175025;Head of Government;알베르토 예라스 카마르고 ;1942;1964;1999;SL;Political Protege;High;M37033;X
175026;Head of Government;가브리엘 투르바이 아얄라 ;1946;1964;1999;SL;Ambitious Union Boss;High;M37034;X
175027;Head of Government;호아킨 페르난데스 ;1938;1964;1999;SC;Corporate Suit;High;M37035;X
175028;Head of Government;카를로스 아란고 벨레스 ;1942;1964;1999;SC;Silent Workhorse;High;M37036;X
175029;Head of Government;호르헤 엘리에세르 가이탄 ;1945;1964;1999;SC;Naive Optimist;High;M37037;X
175030;Head of Government;마리아노 오스피나 페레스 ;1946;1964;1999;SC;Happy Amateur;High;M37038;X
175031;Head of Government;훌리오 발데스 ;1938;1964;1999;FA;Old General;High;M37011;X
175032;Head of Government;루벤 피에드라이타 아랑고 ;1945;1964;1999;PA;Old General;High;M37017;X
175033;Head of Government;케리스타 세요르 ;1938;1964;1999;LE;Backroom Backstabber;High;M37021;X
175034;Head of Government;호르헤 엘리에세르 가이탄 ;1946;1964;1999;LWR;Naive Optimist;High;M37037;X
175035;Foreign Minister;호르헤 소토 델 코랄 ;1933;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M37057;X
175036;Foreign Minister;가브리엘 투르바이 아얄라 ;1937;1964;1999;SD;Iron Fisted Brute;Medium;M37034;X
175037;Foreign Minister;카를로스 로사노 ;1942;1964;1999;SD;Great Compromiser;High;M37044;X
175038;Foreign Minister;알베르토 예라스 카마르고 ;1944;1964;1999;SD;Biased Intellectual;Medium;M37033;X
175039;Foreign Minister;루이스 로페스 데 메사 ;1938;1964;1999;SL;Ideological Crusader;Medium;M37061;X
175040;Foreign Minister;엔리케 올라야 에레라 ;1940;1964;1999;SL;Apologetic Clerk;Medium;M37062;X
175041;Foreign Minister;페르난도 론도노 ;1943;1964;1999;SL;General Staffer;Medium;M37006;X
175042;Foreign Minister;에두아르도 술레타 카스티요 ;1946;1964;1999;SL;Great Compromiser;Medium;M37064;X
175043;Foreign Minister;안토니오 호세 레스트레포 ;1938;1964;1999;SC;General Staffer;Medium;M37065;X
175044;Foreign Minister;로베르토 우르다네타 ;1933;1964;1999;SC;Apologetic Clerk;High;M37066;X
175045;Foreign Minister;라우레아노 고메스 ;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M37067;X
175046;Foreign Minister;프란시스코 우마나 베르날 ;1946;1964;1999;SC;Biased Intellectual;High;M37068;X
175047;Foreign Minister;멜리톤 로드리게스 롤단 ;1938;1964;1999;FA;Biased Intellectual;Medium;M37013;X
175048;Foreign Minister;에두아르도 포리에르 ;1939;1964;1999;PA;General Staffer;Medium;M37008;X
175049;Foreign Minister;발도메로 사닌 카뇨 ;1945;1964;1999;PA;Iron Fisted Brute;Medium;M37071;X
175050;Minister of Armament;그레고리오 오브레곤 ;1937;1964;1999;SD;Tank Proponent;Medium;M37073;X
175051;Minister of Armament;알라인 아다이르 아리아가 ;1942;1964;1999;SD;Resource Industrialist;High;M37074;X
175052;Minister of Armament;알폰소 로페스 푸마레호 ;1937;1964;1999;SD;Infantry Proponent;Medium;M37001;X
