CON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
595001;Head of State;무타라 3세 ;1933;1964;1999;ML;Autocratic Charmer;High;M574001;X
595002;Head of Government;피에르 리크망 ;1933;1964;1999;ML;Silent Workhorse;High;M574002;X
595003;Foreign Minister;외젠 용어르스 ;1933;1964;1999;ML;Apologetic Clerk;High;M574003;X
595004;Minister of Armament;제라르 실베르크뤼 ;1933;1964;1999;ML;Administrative Genius;Medium;M574004;X
595005;Minister of Security;빌럼 데라위커 ;1933;1964;1999;ML;Crime Fighter;Medium;M574005;X
595006;Head of Military Intelligence;티에리 드 블라맹쥐 ;1933;1964;1999;ML;Logistics Specialist;Medium;M574006;X
595007;Chief of Staff;티에리 드 블라맹쥐 ;1933;1964;1999;ML;School of Psychology;Medium;M574006;X
595008;Chief of Army;파울 판 레인던 ;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;M574008;X
595009;Chief of Navy;파울 판 레인던 ;1933;1964;1999;ML;Base Control Doctrine;Medium;M574008;X
595010;Chief of Air Force;피에르 P. 파스칼 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M574010;X
595011;Head of State;음왐부차 4세 ;1933;1964;1999;PA;Benevolent Gentleman;High;M574011;X
595012;Head of State;조제프 카사부부 ;1933;1964;1999;LWR;Ruthless Powermonger;High;M574012;X
595013;Head of Government;헨드릭 J. 엘리아스 ;1933;1964;1999;PA;Naive Optimist;High;M15039;X
595014;Head of Government;파트리스 루뭄바 ;1933;1964;1999;LWR;Ambitious Union Boss;High;M574014;X
595015;Foreign Minister;파울 아우어르크스 ;1933;1964;1999;PA;Biased Intellectual;High;M15075;X
595016;Foreign Minister;무아쉬 촘베 ;1933;1964;1999;LWR;The Cloak N Dagger Schemer;High;M574016;X
595017;Foreign Minister;앙투안 지젱가 ;1942;1964;1999;LWR;Ideological Crusader;High;M574017;X
595018;Minister of Armament;앙리 M. 플라글레르 ;1933;1964;1999;PA;laissez-faire capitalist;Medium;M574018;X
595019;Minister of Armament;고레고리 카이반다 ;1933;1964;1999;LWR;Corrupt Kleptocrat;Medium;M574019;X
595020;Minister of Armament;조제프 바미나 ;1943;1964;1999;LWR;Air to Ground Proponent;Medium;M574020;X
595021;Minister of Security;알뱅 냐모야 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M574021;X
595022;Minister of Security;미셸 미콤베로 ;1944;1964;1999;PA;Back Stabber;Medium;M574022;X
595023;Minister of Security;샤를 은디제예 ;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M574023;X
595024;Head of Military Intelligence;앙투안 라피에르 ;1933;1964;1999;PA;Dismal Enigma;Medium;M574024;X
595025;Head of Military Intelligence;앙드레 무히르와 ;1933;1964;1999;LWR;Industrial Specialist;Medium;M574025;X
595026;Chief of Staff;가스통 르농되 ;1933;1964;1999;PA;School of Defence;Medium;M574026;X
595027;Chief of Staff;조제프 카사부부 ;1933;1964;1999;LWR;School of Manoeuvre;Medium;M574027;X
595028;Chief of Army;라울 드프라이퇴르 ;1942;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M574028;X
595029;Chief of Army;마티유 르마냥 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M574029;X
595030;Chief of Army;조제프 D. 모부투 ;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M574030;X
595031;Chief of Navy;헤릿 베르헌 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M574031;X
595032;Chief of Navy;도미니크 음보뉴무차 ;1943;1964;1999;PA;Power Projection Doctrine;Medium;M574032;X
595033;Chief of Navy;장 피에르 라파쥐 ;1933;1964;1999;LWR;Open Seas Doctrine;Medium;M574033;X
595034;Chief of Air Force;헤릿 베르헌 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M574031;X
595035;Chief of Air Force;루이 르와가소레 ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M574035;X
