COS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
310001;Head of State;로무알도 히메네스 ;1933;1964;1999;SL;Ruthless Powermonger;High;M47001;X
310002;Head of Government;레온 코르테스 카스트로 ;1933;1964;1999;SL;Political Protege;High;M47002;X
310003;Foreign Minister;라울 군디안 ;1933;1964;1999;SL;General Staffer;Medium;M47003;X
310004;Minister of Armament;훌리오 아코스타 가르시아 ;1933;1964;1999;SL;Military Entrepreneur;Medium;M47004;X
310005;Minister of Security;빅토르 사나브리아 ;1933;1964;1999;SL;Efficient Sociopath;Very High;M47005;X
310006;Head of Military Intelligence;페데리코 티노코 ;1933;1964;1999;SL;Industrial Specialist;Medium;M47006;X
310007;Chief of Staff;페데리코 티노코 ;1933;1964;1999;SL;School of Defence;Medium;M47006;X
310008;Chief of Army;페데리코 티노코 ;1933;1964;1999;SL;Static Defence Doctrine;Medium;M47006;X
310009;Chief of Navy;로베르토 후아레스 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M47009;X
310010;Chief of Air Force;아르날도 사모라 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M47010;X
310011;Chief of Air Force;오스카르 파디야 ;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;X
310012;Head of State;오틀리오 울라테 ;1944;1964;1999;SD;Benevolent Gentleman;High;M47031;X
310013;Head of State;레온 코르테스 카스트로 ;1933;1964;1999;SL;Autocratic Charmer;High;M47002;X
310014;Head of State;토비아스 수니아가 ;1940;1964;1999;SL;Stern Imperialist;High;M47033;X
310015;Head of State;알레한드로 데 카스트로 ;1944;1964;1999;SL;Barking Buffoon;High;M47034;X
310016;Head of State;오토 코르테스 ;1933;1964;1999;SC;Insignificant Layman;High;M47035;X
310017;Head of State;라파엘 칼데론 ;1940;1964;1999;SC;Barking Buffoon;High;M47036;X
310018;Head of State;테오도로 피카도 ;1944;1964;1999;SC;Resigned Generalissimo;High;M47037;X
310019;Head of State;로무알도 피노 로하 ;1933;1964;1999;FA;Resigned Generalissimo;High;M47011;X
310020;Head of State;마누엘 모라 발베르데 ;1940;1964;1999;LE;Insignificant Layman;High;M47021;X
310021;Head of State;이살리노 데 실바 ;1947;1964;1999;LWR;Autocratic Charmer;High;M47040;X
310022;Head of Government;호세 피게레스 페레르 ;1944;1964;1999;SD;Political Protege;High;M47041;X
310023;Head of Government;토비아스 수니아가 ;1933;1964;1999;SL;Ambitious Union Boss;High;M47033;X
310024;Head of Government;알레한드로 데 카스트로 ;1944;1964;1999;SL;Happy Amateur;High;M47034;X
310025;Head of Government;아돌포 우리베 카스트로 ;1933;1964;1999;SC;Smiling Oilman;High;M47044;X
310026;Head of Government;테오도로 피카도 ;1940;1964;1999;SC;Old General;High;M47037;X
310027;Head of Government;라파엘 칼데론 ;1944;1964;1999;SC;Flamboyant Tough Guy;High;M47046;X
310028;Head of Government;오토 코르테스 ;1944;1964;1999;SC;Silent Workhorse;High;M47035;X
310029;Head of Government;로무알도 피노 로하 ;1933;1964;1999;PA;Old General;High;M47011;X
310030;Head of Government;마누엘 모라 발베르데 ;1940;1964;1999;LE;Happy Amateur;High;M47021;X
310031;Head of Government;이살리노 데 실바 ;1947;1964;1999;LWR;Political Protege;High;M47040;X
310032;Foreign Minister;오틀리오 울라테 ;1944;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M47031;X
310033;Foreign Minister;루이스 페르난데스 ;1947;1964;1999;SD;Ideological Crusader;Medium;M47024;X
310034;Foreign Minister;레온 코르테스 카스트로 ;1933;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M47002;X
310035;Foreign Minister;마누엘 F. 히메네스 ;1938;1964;1999;SL;General Staffer;Medium;M47054;X
310036;Foreign Minister;알베르트 에찬디 ;1939;1964;1999;SL;Iron Fisted Brute;Medium;M47055;X
310037;Foreign Minister;로베르토 브레네스 ;1940;1964;1999;SL;Apologetic Clerk;Medium;M47056;X
310038;Foreign Minister;토비아스 수니아가 ;1942;1964;1999;SL;Biased Intellectual;High;M47033;X
