CSA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
600001;Head of State;얼 켐프스 롱 ;1933;1964;1999;SC;Popular Figurehead;High;M573001;X
600002;Head of Government;리처드 웹스터 레치 ;1933;1964;1999;SC;Naive Optimist;High;M573002;X
600003;Foreign Minister;랜섬 주드 윌리엄스 ;1933;1964;1999;SC;Apologetic Clerk;High;M573003;X
600004;Minister of Armament;스페서드 린제이 홀랜드 ;1933;1964;1999;SC;Air Superiority Proponent;Medium;M573004;X
600005;Minister of Security;폴 버니 존슨 ;1933;1964;1999;SC;Silent Lawyer;Medium;M573005;X
600006;Head of Military Intelligence;로버트 G. 체리 ;1933;1964;1999;SC;Industrial Specialist;Medium;M573006;X
600007;Chief of Staff;윌리엄 S. 그레이브스 ;1933;1964;1999;SC;School of Mass Combat;Medium;M573007;X
600008;Chief of Army;헨리 조엣 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M573008;X
600009;Chief of Navy;에드워드 I. 본 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M573009;X
600010;Chief of Air Force;케네스 워커 ;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M573010;X
600011;Foreign Minister;샘 휴스턴 존스 ;1941;1964;1999;SC;The Cloak N Dagger Schemer;High;M573011;X
600012;Foreign Minister;클라이드 로아크 호이 ;1942;1964;1999;SC;Biased Intellectual;High;M573012;X
600013;Foreign Minister;유진 탤매지 ;1942;1964;1999;SC;Iron Fisted Brute;High;M573013;X
600014;Foreign Minister;존 C. B. 에링하우스 ;1943;1964;1999;SC;General Staffer;High;M573014;X
600015;Foreign Minister;제임스 휴스턴 데이비스 ;1945;1964;1999;SC;Ideological Crusader;High;M573015;X
600016;Foreign Minister;천시 스파크스 ;1945;1964;1999;SC;Great Compromiser;High;M573016;X
600017;Minister of Armament;해리 힐 매캘리스터 ;1937;1964;1999;SC;Infantry Proponent;Medium;M573017;X
600018;Minister of Armament;데이비드 비브 그레이브스 ;1937;1964;1999;SC;laissez-faire capitalist;Medium;M573018;X
600019;Minister of Armament;칼 베일리 ;1938;1964;1999;SC;Strategic Air Proponent;Medium;M573019;X
600020;Minister of Armament;주니어스 M. 푸트렐 ;1939;1964;1999;SC;Resource Industrialist;Medium;M573020;X
600021;Minister of Armament;콜게이트 W. 다든 2세 ;1940;1964;1999;SC;Administrative Genius;Medium;M573021;X
600022;Minister of Armament;버넷 레트 메이뱅크 ;1940;1964;1999;SC;Air to Ground Proponent;Medium;M573022;X
600023;Minister of Armament;프레더릭 프레스턴 콘 ;1941;1964;1999;SC;Air to Sea Proponent;Medium;M573023;X
600024;Minister of Armament;짐 낸스 매코드 ;1942;1964;1999;SC;Military Entrepreneur;Medium;M573024;X
600025;Minister of Armament;올린 드위트 존스턴 ;1943;1964;1999;SC;Tank Proponent;Medium;M573025;X
600026;Minister of Armament;앨버트 B. 챈들러 ;1945;1964;1999;SC;Battle Fleet Proponent;Medium;M573026;X
600027;Minister of Armament;데이비드 숄츠 ;1946;1964;1999;SC;Submarine Proponent;Medium;M573027;X
600028;Minister of Security;프랭크 머레이 딕슨 ;1938;1964;1999;SC;Back Stabber;Medium;M573028;X
600029;Minister of Security;제임스 H. 프라이스 ;1939;1964;1999;SC;Prince of Terror;Medium;M573029;X
600030;Minister of Security;프렌티스 쿠퍼 ;1941;1964;1999;SC;Crime Fighter;Medium;M573030;X
600031;Minister of Security;밀러드 필모어 컬드웰 2세 ;1943;1964;1999;SC;Man of the People;Medium;M573031;X
600032;Minister of Security;로이드 크로 스타크 ;1943;1964;1999;SC;Efficient Sociopath;Medium;M573032;X
600033;Minister of Security;조지프 멜빌 브러튼 ;1944;1964;1999;SC;Compassionate Gentleman;Medium;M573033;X
600034;Minister of Security;포레스터 C. 더넬 ;1945;1964;1999;SC;Crooked Kleptocrat;Medium;M573034;X
600035;Head of Military Intelligence;유리스 디킨슨 리버스 ;1938;1964;1999;SC;Political Specialist;Medium;M573035;X
600036;Head of Military Intelligence;가이 브래스필드 파크 ;1940;1964;1999;SC;Dismal Enigma;Medium;M573036;X
600037;Head of Military Intelligence;고든 위버 브라우닝 ;1942;1964;1999;SC;Logistics Specialist;Medium;M573037;X
600038;Head of Military Intelligence;벤저민 트래비스 래니 ;1944;1964;1999;SC;Naval Intelligence Specialist;Medium;M573038;X
600039;Head of Military Intelligence;호머 M. 애드킨스 ;1945;1964;1999;SC;Technical Specialist;Medium;M573039;X
600040;Chief of Staff;데니스 J. 머프리 ;1938;1964;1999;SC;School of Psychology;Medium;M573040;X
600041;Chief of Staff;로스코 머레이 ;1940;1964;1999;SC;School of Fire Support;Medium;M573041;X
600042;Chief of Staff;윌리엄 W. 오스틴 ;1944;1964;1999;SC;School of Manoeuvre;Medium;M573042;X
600043;Chief of Army;존 폴린 ;1940;1964;1999;SC;Decisive Battle Doctrine;Medium;M573043;X
