CSX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
605001;Head of State;¿º½Ã»ê ;1933;1964;1999;LWR;Yan_Xishan;Undying;948;X
605002;Head of Government;¿º½Ã»ê ;1933;1964;1999;LWR;old general;Undying;948;X
605003;Foreign Minister;¿Õ¦p¼ö ;1933;1964;1999;PA;Iron Fisted Brute;High;L50323;X
605004;Minister of Armament;ÇªÂåÀÌ ;1933;1964;1999;PA;Air to Ground Proponent;Medium;L50085;X
605005;Minister of Security;Ãß¾çÄ¿ ;1933;1964;1999;PA;Prince of Terror;Medium;M503005;X
605006;Head of Military Intelligence;»óÀü ;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M503006;X
605007;Chief of Staff;¿º½Ã»ê ;1933;1964;1999;LWR;School of Defence;Medium;948;X
605008;Chief of Army;¿º½Ã»ê ;1933;1964;1999;LWR;Doctrine of autonomy;Medium;948;X
605009;Chief of Navy;µå¹ÌÆ®¸® ÄÝÃ¼ÇÁ ;1933;1964;1999;PA;Base Control Doctrine;Medium;M503009;X
605010;Chief of Air Force;¿º½Ã»ê ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;948;X
605011;Minister of Armament;¿º½Ã»ê ;1933;1964;1999;LWR;Keynesian economy;Medium;948;X
