CUB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
85001;Head of State;호세 바르네트 ;1933;1964;1999;ML;Insignificant Layman;High;M33001;X
85002;Head of Government;미겔 고메스 ;1933;1964;1999;ML;Naive Optimist;High;M33002;X
85003;Foreign Minister;호세 바르네트 ;1933;1964;1999;ML;Iron Fisted Brute;Medium;M33001;X
85004;Minister of Armament;카를로스 프리오 ;1933;1964;1999;ML;Administrative Genius;Low;M33004;X
85005;Minister of Security;세르히오 카르보 ;1933;1964;1999;ML;Compassionate Gentleman;Medium;M33005;X
85006;Head of Military Intelligence;마누엘 페라라 ;1933;1964;1999;ML;Dismal Enigma;Medium;M33006;X
85007;Chief of Staff;훌리오 상길리 ;1933;1964;1999;ML;School of Defence;Medium;M33007;X
85008;Chief of Army;살바도르 카스트로 ;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;M33008;X
85009;Chief of Navy;로드리고 A. 푸엔테스 ;1933;1964;1999;ML;Open Seas Doctrine;Medium;M33009;X
85010;Chief of Air Force;도밍고 R. 델 토로 ;1933;1964;1999;ML;Army Aviation Doctrine;High;M33010;X
85011;Head of State;미겔 고메스 ;1933;1964;1999;ML;Benevolent Gentleman;High;M33002;X
85012;Head of State;헤라르도 마차도 ;1925;1939;1999;ML;Die-hard Reformer;High;M33032;X
85013;Head of State;페데리코 라레도 브루 ;1933;1964;1999;SD;Insignificant Layman;High;M33014;X
85014;Head of State;풀헨시오 바티스타 ;1940;1964;1999;SC;Resigned Generalissimo;High;M33034;X
85015;Head of State;라몬 그라우 산 마르틴 ;1944;1964;1999;PA;Popular Figurehead;High;M33011;X
85016;Head of State;후안 마르티네스 비예이라 ;1933;1964;1999;LWR;Powerhungry Demagogue;High;M33021;X
85017;Head of State;카를로스 프리오 ;1944;1964;1999;LWR;Popular Figurehead;High;M33004;X
85018;Head of Government;헤라르도 마차도 ;1925;1939;1999;ML;Silent Workhorse;High;M33032;X
85019;Head of Government;에두아르도 치바스 ;1940;1964;1999;ML;Political Protege;High;M33013;X
85020;Head of Government;에우헤니오 카스트로 ;1944;1964;1999;ML;Corporate Suit;High;M33040;X
85021;Head of Government;풀헨시오 바티스타 ;1933;1964;1999;SD;Old General;High;M33034;X
85022;Head of Government;카를로스 멘디에타 ;1933;1960;1999;SC;Flamboyant Tough Guy;High;M33042;X
85023;Head of Government;풀헨시오 바티스타 ;1944;1964;1999;PA;Old General;High;M33034;X
85024;Head of Government;안토니오 G. 올메스 ;1933;1964;1999;LWR;Naive Optimist;High;M33022;X
85025;Head of Government;호세 이리사리 ;1941;1964;1999;LWR;Political Protege;High;M33023;X
85026;Foreign Minister;호르헤 루이스 에차르테 ;1933;1964;1999;ML;The Cloak N Dagger Schemer;High;M33046;X
85027;Foreign Minister;에두아르도 치바스 ;1940;1964;1999;ML;Biased Intellectual;High;M33013;X
85028;Foreign Minister;카를로스 멘디에타 ;1944;1964;1999;ML;Iron Fisted Brute;Medium;M33042;X
85029;Foreign Minister;호세 마누엘 코르티나 ;1933;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M33049;X
85030;Foreign Minister;후안 레모스 이 루비오 ;1937;1964;1999;SD;General Staffer;Medium;M33050;X
85031;Foreign Minister;미겔 캄파 ;1939;1964;1999;SD;Ideological Crusader;Medium;M33051;X
85032;Foreign Minister;호세 마누엘 코르티나 ;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M33049;X
