CZE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
120001;Head of State;¿¡µå¹Ù¸£Æ® º£³×½Ã ;1933;1964;1999;ML;Pig-headed Isolationist;High;2379;X
120002;Head of Government;¹Ð¶õ È£ÀÚ ;1933;1964;1999;ML;Naive Optimist;High;2380;X
120003;Foreign Minister;¿¡µå¹Ù¸£Æ® º£³×½Ã ;1933;1964;1999;ML;Biased Intellectual;High;2379;X
120004;Minister of Armament;¿ä¼Á Ä®Çª½º ;1933;1964;1999;ML;Resource Industrialist;High;M24004;X
120005;Minister of Security;ÀÌ¹Ý µ¨¿¡¸£ ;1933;1964;1999;ML;Man of the People;Medium;M24005;X
120006;Head of Military Intelligence;ÇÁ¶ûÆ¼¼½ ¸·Èå´ÏÅ© ;1933;1964;1999;ML;Logistics Specialist;Very High;M24006;X
120007;Chief of Staff;ÇÁ¶ûÆ¼¼½ ¸·Èå´ÏÅ© ;1933;1964;1999;ML;School of Defence;Very High;M24006;X
120008;Chief of Army;·çµåºñÈ÷Å© Å©·¹Áö ;1933;1964;1999;ML;static defence doctrine;Medium;M24008;X
120009;Chief of Navy;¾ÈÅä´Ñ ÇÏ»ì ;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;M24009;X
120010;Chief of Air Force;¿¡¹Ð ¾ß³ë½ºÄ« ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M24010;X
120011;Head of State;¿¡¹Ð ÇÏÇÏ ;1938;1964;1999;ML;Insignificant Layman;High;2381;X
120012;Head of State;¿¡µå¹Ù¸£Æ® º£³×½Ã ;1945;1964;1999;ST;Pig-headed Isolationist;High;2379;X
120013;Head of State;¾á ½Ã·ÎºêÁö;1933;1964;1999;PA;Resigned Generalissimo;High;2382;X
120014;Head of State;½ºÅ×ÆÇ ¿À¼ö½ºÅ° ;1945;1964;1999;SC;Weary Stiffneck;High;M24035;X
120015;Head of State;ÄÜ¶óÆ® Çî¶óÀÎ ;1933;1964;1999;NS;Insignificant Layman;High;M24013;X
120016;Head of State;¿äÇÑ ½´º£¸° Æù Å©·ÎÁöÅ© ;1939;1964;1999;NS;Benevolent Gentleman;High;M24037;X
120017;Head of State;Äí¸£Æ® ´Þ·ò°Ô ;1941;1964;1999;NS;Ruthless Powermonger;High;M24038;X
120018;Head of State;Ä® Çì¸£¸¸ ÇÁ¶ûÅ© ;1943;1964;1999;NS;Powerhungry Demagogue;High;M24011;X
120019;Head of State;¾Ë·ÎÀÌ½º ¿¤¸®³Ä½º ;1945;1964;1999;NS;Resigned Generalissimo;High;M24040;X
120020;Head of State;¿¤¸®³Ä½º ÄÜ ;1933;1964;1999;ST;Die-hard Reformer;High;M24041;X
120021;Head of State;Å¬·¹¸àÆ® °íÆ®¹ßÆ® ;1941;1964;1999;ST;Barking Buffoon;High;M24021;X
120022;Head of Government;¾á ½¬¶ó¸ß ;1939;1964;1999;ML;Ambitious Union Boss;High;M24044;X
120023;Head of Government;¾á ½Ã·ÎºêÁö ;1933;1964;1999;SC;Old General;High;2382;X
120024;Head of Government;·çµ¹ÇÁ º£¶õ ;1938;1964;1999;PA;Political Protege;High;M24012;X
120025;Head of Government;º£µå¸®Èå È£¸ô¶ó ;1945;1964;1999;SC;Happy Amateur;High;M24047;X
120026;Head of Government;Ä«·¼ Ä«·½¼½ ;1933;1964;1999;NS;Happy Amateur;High;M24048;X
120027;Head of Government;¾Ë·ÎÀÌ½º ¿¤¸®³Ä½º ;1939;1964;1999;NS;Old General;High;M24040;X
120028;Head of Government;¿ä¼Á ¿¹Á§ ;1945;1964;1999;NS;Flamboyant Tough Guy;High;M24016;X
120029;Head of Government;Å×¾îµµ¾î ¿¡½¦¸®Èå ;1933;1964;1999;ST;Naive Optimist;High;M24051;X
120030;Head of Government;±¸½ºÅ¸ÇÁ ÈÄ¼¡ ;1943;1964;1999;ST;Political Protege;High;M24022;X
120031;Foreign Minister;Ä«¹Ð Å©·ÎÇÁÅ¸ ;1933;1964;1999;ML;Great Compromiser;High;M24053;X
120032;Foreign Minister;ÇÁ¶ûÆ¼¼½ Èå¹ßÄÚÇÁ½ºÅ° ;1938;1964;1999;ML;Iron Fisted Brute;Very High;M24054;X
120033;Foreign Minister;¾á ¸¶»ç·º ;1940;1964;1999;ML;Ideological Crusader;Very High;M24055;X
120034;Foreign Minister;½ºÅ×ÆÇ ¿À¼ö½ºÅ° ;1933;1964;1999;SC;Great Compromiser;Very High;M24035;X
120035;Foreign Minister;À¯¶ó ½½¶óºñÅ© ;1940;1964;1999;SC;Biased Intellectual;Medium;M24057;X
120036;Foreign Minister;¿Ãµå¸®È÷ ¿ÀÅ¸¹Ì¸£ ;1933;1964;1999;PA;Apologetic Clerk;Medium;M24058;X
120037;Foreign Minister;º£µå¸®Èå ³ëÀÌ¸¸ ;1945;1964;1999;PA;General Staffer;Medium;M24059;X
120038;Foreign Minister;ÄÜ½ºÅºÆ¾ Æù ¿¡ÃÊ³ëº¤ ;1933;1964;1999;NS;The Cloak N Dagger Schemer;High;M24060;X
120039;Foreign Minister;ÄÜ¶óÆ® Çî¶óÀÎ ;1939;1964;1999;NS;Ideological Crusader;High;M24013;X
120040;Foreign Minister;¾ßÄÚ¹Ì¸£ Å©¶óÀÌ ;1945;1964;1999;NS;Apologetic Clerk;High;M24062;X
120041;Foreign Minister;ºí¶óµð¹Ì¸£ Å¬·¹¸àÆ¼½º ;1933;1964;1999;ST;Great Compromiser;Medium;M24023;X
120042;Foreign Minister;±¸½ºÅ¸ºê ÈÄ¼¡ ;1941;1964;1999;ST;Iron Fisted Brute;High;M24022;X
120043;Foreign Minister;·çµ¹ÇÁ ½½¶õ½ºÅ° ;1943;1964;1999;ST;the cloak n dagger schemer;High;M24024;X
120044;Minister of Armament;¿¡¹Ð ÇÁ¶ûÄÉ ;1933;1964;1999;ML;Theoretical Scientist;High;M24066;X
120045;Minister of Armament;Ä«·¼ ¹Ù½Ç·º ;1939;1964;1999;ML;Military Entrepreneur;High;M24068;X
120046;Minister of Armament;Æä¸£µð³­Æ® º£º£¸£Ä« ;1943;1964;1999;ML;Administrative Genius;Medium;M24069;X
