DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
625001;Head of State;요하네스 디크만 ;1936;1964;1999;ST;Pig-headed Isolationist;High;M507001;X
625002;Head of Government;발터 울브리히트 ;1936;1964;1999;ST;Ambitious Union Boss;High;M53;X
625003;Foreign Minister;게오르크 데를링거 ;1936;1964;1999;ST;Ideological Crusader;High;M507003;X
625004;Minister of Armament;빌리 슈토프 ;1932;1964;1999;ST;laissez-faire capitalist;High;M507004;X
625005;Minister of Security;카를 슈타인호프 ;1932;1964;1999;ST;Crooked Kleptocrat;Low;M507005;X
625006;Head of Military Intelligence;빌헬름 자이서 ;1932;1964;1999;ST;Political Specialist;Very High;M507006;X
625007;Chief of Staff;에른스트 볼베버 ;1932;1964;1999;ST;School of Mass Combat;Very High;M27;X
625008;Chief of Army;한스 칼레 ;1932;1964;1999;ST;Decisive Battle Doctrine;Very High;3579;X
625009;Chief of Navy;프리츠 쉴렌 ;1932;1964;1999;ST;Base Control Doctrine;Very High;M29;X
625010;Chief of Air Force;빌리 브레델 ;1932;1964;1999;ST;Carpet Bombing Doctrine;Very High;M30;X
625011;Foreign Minister;발터 울브리히트 ;1932;1964;1999;ST;The Cloak N Dagger Schemer;High;M53;X
625012;Foreign Minister;안톤 아커만 ;1936;1964;1999;LE;Great Compromiser;High;M507012;X
625013;Minister of Armament;알베르트 쿤츠 ;1932;1964;1999;ST;Resource Industrialist;High;M105;X
625014;Minister of Armament;야콥 카이저 ;1932;1964;1999;LE;Military Entrepreneur;High;M507014;X
625015;Minister of Armament;안드레스 헤르메스 ;1932;1964;1999;LE;Administrative Genius;High;M507015;X
625016;Minister of Armament;빌헬름 피크 ;1932;1964;1999;ST;Theoretical Scientist;High;M507016;X
625017;Minister of Security;율리우스 레버 ;1932;1964;1999;ST;Compassionate Gentleman;High;M133;X
625018;Minister of Security;발터 울브리히트 ;1932;1964;1999;ST;Prince of Terror;High;M53;X
625019;Minister of Security;빌헬름 퀼츠 ;1932;1964;1999;LE;Crime Fighter;High;M507019;X
625020;Minister of Security;오토 누쉬케 ;1932;1964;1999;LE;Silent Lawyer;High;M507020;X
625021;Minister of Security;오토 그로테볼 ;1932;1964;1999;ST;Efficient Sociopath;High;M507021;X
625022;Head of Military Intelligence;하인리히 뮐러 ;1932;1964;1999;ST;Dismal Enigma;Very High;M26;X
625023;Head of Military Intelligence;에른스트 볼베버 ;1932;1964;1999;ST;Industrial Specialist;Very High;M27;X
625024;Head of Military Intelligence;에리히 밀케 ;1932;1964;1999;ST;Logistics Specialist;Very High;M507024;X
625025;Head of Military Intelligence;프리츠 쉴렌 ;1932;1964;1999;ST;Naval Intelligence Specialist;Very High;M29;X
625026;Chief of Staff;에리히 바이네르트 ;1932;1964;1999;ST;School of Psychology;High;M152;X
625027;Chief of Staff;에르빈 욜라세 ;1932;1964;1999;ST;School of Manoeuvre;High;L507120;X
