DEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
75001;Head of State;Å©¸®½ºÆ¼¾È 10¼¼ ;1933;1964;1999;SD;Weary Stiffneck;High;M16001;X
75002;Head of Government;Åä¸£¹ßÆ® ½ºÅ¸¿ì´× ;1929;1964;1999;SD;Ambitious Union Boss;High;M16002;X
75003;Foreign Minister;ÆäÅ×¸£ ¹®Å© ;1929;1949;1999;SL;Apologetic Clerk;Medium;M16003;X
75004;Minister of Armament;¾Ë½Ì ¾Èµ¥¸£¼¾ ;1933;1964;1999;SD;laissez-faire capitalist;High;M16004;X
75005;Minister of Security;Ä«¸¦ Å©¸®½ºÆ¼¾È ½ºÅ¸ÀÎÄÉ ;1933;1964;1999;SD;Silent Lawyer;High;M16005;X
75006;Head of Military Intelligence;¿¡¸®Å© ¸Þ¸£Ã÷ ;1933;1964;1999;SL;Logistics Specialist;High;M16006;X
75007;Chief of Staff;ºôÇï¸§ W. ÇÁ¸®¿À¸£ ;1933;1964;1999;SL;School of Defence;Medium;M16007;X
75008;Chief of Army;¿¡¸¯ ºñÆ® ;1931;1960;1999;SD;Static Defence Doctrine;High;M16008;X
75009;Chief of Navy;¾â¸¶¸£ ·¹Å©´ÏÃ³¸£ ;1933;1964;1999;SD;Indirect Approach Doctrine;High;M16009;X
75163;Chief of Air Force;Asger E. V. Grandjean;1925;1941;1949;SL;naval aviation doctrine;High;9866;X
75011;Head of State;Å©¸®½ºÆ¼¾È 10¼¼ ;1943;1964;1999;PA;Weary Stiffneck;High;M16001;X
75012;Head of State;ÇÁ¸®Ã÷ Å¬¶ó¿ì¼¾ ;1938;1964;1999;FA;Insignificant Layman;High;M16011;X
75013;Head of State;¾Ç¼¿ ¶ó¸£¼¾ ;1938;1964;1999;ST;Powerhungry Demagogue;High;M16021;X
75014;Head of Government;ºôÇï¸§ ºÒ ;1942;1964;1999;SD;Flamboyant Tough Guy;High;M16039;X
75015;Head of Government;¿¡¸®Å© ¼ö¿¡´Ï¿ì½º ;1942;1964;1999;SL;Silent Workhorse;High;M16040;X
75016;Head of Government;Å©¸®½º¸¶½º ¹¢·¯ ;1933;1964;1999;SC;Happy Amateur;High;M16041;X
75017;Head of Government;¿Ã·¹ ºñ¿Ü¸¥ Å©¶óÇÁÆ® ;1942;1964;1999;SC;Smiling Oilman;High;M16042;X
75018;Head of Government;Å©´©Æ® Å©¸®½ºÅÙ¼¾ ;1945;1964;1999;ML;Political Protege;High;M16043;X
75019;Head of Government;ÇÁ¸®Ã÷ Å¬¶ó¿ì¼¾ ;1938;1964;1999;NS;Naive Optimist;High;M16011;X
75020;Head of Government;¿ÀÅä º¸º¥½Ã¿¡Ææ ;1943;1964;1999;PA;Old General;High;M16045;X
75021;Head of Government;¾Ç¼¿ ¶ó¸£¼¾ ;1938;1964;1999;ST;Backroom Backstabber;High;M16021;X
75022;Foreign Minister;¿¡¸®Å© ¼ö¿¡´Ï¿ì½º ;1940;1964;1999;SL;Biased Intellectual;Very High;M16040;X
75023;Foreign Minister;ÇÑ½º ÇìµåÅäÇÁÆ® ;1945;1964;1999;SD;Great Compromiser;Very High;M16049;X
75024;Foreign Minister;¿Ã·¹ ºñ¿Ü¸¥ Å©¶óÇÁÆ® ;1938;1964;1999;SC;Great Compromiser;Medium;M16042;X
75025;Foreign Minister;¿ÀÅä Ä«¸¦ ¸ð¾î ;1942;1964;1999;ML;Ideological Crusader;High;M16051;X
75026;Foreign Minister;Å©¸®½º¸¶½º ¹¢·¯ ;1945;1964;1999;SC;Biased Intellectual;Medium;M16041;X
75027;Foreign Minister;±¸½ºÅ¸ºê ¶ó½º¹«¼¾ ;1945;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M16053;X
75028;Foreign Minister;¾Ç¼¿ Å©¸®½ºÆ¼¾È ÇÏ¸£ÅÚ ;1938;1964;1999;NS;Ideological Crusader;Low;M16013;X
75029;Foreign Minister;¾Ëº£¸£Æ® ¿Ã¼¾ ;1938;1964;1999;LWR;General Staffer;High;M16023;X
75030;Foreign Minister;ÀÌºê ³ú¸¦·éµå ;1945;1964;1999;ST;Iron Fisted Brute;High;M16056;X
75031;Foreign Minister;Çî¸®Å© ÇÏ¿ìÅ© ;1943;1964;1999;PA;Apologetic Clerk;Low;M16057;X
75032;Minister of Armament;ºôÇï¸§ ºÒ ;1940;1964;1999;SD;Battle Fleet Proponent;High;M16039;X
75033;Minister of Armament;ÇÑ½º ÇìµåÅäÇÁÆ® ;1942;1964;1999;SD;Resource Industrialist;Very High;M16049;X
75034;Minister of Armament;±º³ª¸£ ¶ó¸£¼¾ ;1942;1964;1999;SL;Administrative Genius;Very High;M16061;X
75035;Minister of Armament;ºñ°í Ä¯ÇÁ¸¸ ;1953;1964;1999;SD;Administrative Genius;Very High;M16062;X
75036;Minister of Armament;¼è·» ºê·Î¸£¼¾ ;1938;1964;1999;SC;Theoretical Scientist;High;M16063;X
75037;Minister of Armament;Å©´©Æ® Å©¸®½ºÅÙ¼¾ ;1941;1964;1999;ML;Infantry Proponent;High;M16043;X
75038;Minister of Armament;ÇÒÇÁ´Ü Çî¸®Å©¼¾ ;1942;1964;1999;ML;Air to Ground Proponent;High;M16065;X
75039;Minister of Armament;¿Ã·¹ ºñ¿Ü¸¥ Å©¶óÇÁÆ® ;1945;1964;1999;SC;Resource Industrialist;Medium;M16042;X
75040;Minister of Armament;Å©¸®½ºÅÙ ´Ò¼¾ ÇÏ¿ì°Ô ;1945;1964;1999;ML;laissez-faire capitalist;Medium;M16067;X
75041;Minister of Armament;¿Ü¸£°Õ ¼¼Çì½ºÅ×µå ;1938;1964;1999;NS;Infantry Proponent;High;M16014;X
75042;Minister of Armament;C.V. ºê¶÷½º³×½º ;1943;1964;1999;PA;laissez-faire capitalist;High;M16069;X
75043;Minister of Armament;¾ËÇÁ·¹µå ¿º¼¾ ;1938;1964;1999;ST;Tank Proponent;High;M16024;X
75044;Minister of Armament;´Ò½º º¸¾î ;1945;1964;1999;LWR;Theoretical Scientist;Very High;M16071;X
