DFR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
630001;Head of State;테오도르 호이스 ;1933;1964;1999;SC;Insignificant Layman;High;M38;X
630002;Head of Government;콘라드 아데나워 ;1933;1964;1999;SC;Corporate Suit;High;M50;X
630003;Foreign Minister;콘라드 아데나워 ;1933;1964;1999;SC;Great Compromiser;Very High;M50;X
630004;Minister of Armament;프란츠 에첼 ;1933;1964;1999;SC;Infantry Proponent;Medium;M506004;X
630005;Minister of Security;로베르트 레어 ;1933;1964;1999;SC;Man of the People;Medium;M506005;X
630006;Head of Military Intelligence;테오도르 블랑크 ;1933;1964;1999;SC;Political Specialist;Medium;M506006;X
630007;Chief of Staff;오스카 한센 ;1933;1964;1999;SC;School of Manoeuvre;Medium;L118;X
630008;Chief of Army;한스 슈파이델 ;1933;1964;1999;SC;Armoured Spearhead Doctrine;Medium;L506191;X
630009;Chief of Navy;헤르만 무츠 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;L506297;X
630010;Chief of Air Force;알프레드 뷜로비우스 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;L431;X
630011;Head of Government;쿠르트 슈마허 ;1933;1964;1999;SD;Ambitious Union Boss;High;M506011;X
630012;Head of Government;프란츠 블뤼허 ;1933;1964;1999;ML;Political Protege;High;M506012;X
630013;Foreign Minister;하인리히 폰 브렌타노 ;1933;1964;1999;SC;Ideological Crusader;Very High;M506013;X
630014;Foreign Minister;에리히 올렌하우어 ;1933;1964;1999;SD;Iron Fisted Brute;Very High;M506014;X
630015;Foreign Minister;토마스 델러 ;1933;1964;1999;ML;Apologetic Clerk;Very High;M506015;X
630016;Minister of Armament;프리츠 쉐퍼 ;1933;1964;1999;SC;laissez-faire capitalist;Very High;M103;X
630017;Minister of Armament;루드비히 에르하르트 ;1933;1964;1999;SC;Mixed economy;Very High;M104;X
630018;Minister of Armament;하인리히 빌헬름 코프 ;1933;1964;1999;SD;Resource Industrialist;Very High;M506018;X
630019;Minister of Armament;하인츠 슈타크 ;1933;1964;1999;ML;Theoretical Scientist;Very High;M506019;X
630020;Minister of Security;카를 아르놀트 ;1933;1964;1999;SC;Crime Fighter;High;M129;X
630021;Minister of Security;구스타프 하이네만 ;1933;1964;1999;SC;Silent Lawyer;High;M130;X
630022;Minister of Security;게르하르트 슈뢰더 ;1933;1964;1999;SC;Back Stabber;High;M506022;X
630023;Minister of Security;게오르크 아우구스트 진 ;1933;1964;1999;SD;Prince of Terror;High;M506023;X
630024;Minister of Security;라인홀트 마이어 ;1933;1964;1999;ML;Compassionate Gentleman;High;M506024;X
630025;Head of Military Intelligence;한스 에하르트 ;1933;1964;1999;SC;Logistics Specialist;High;M149;X
630026;Head of Military Intelligence;라인하르트 겔렌 ;1933;1964;1999;ML;Dismal Enigma;High;M506026;X
630027;Head of Military Intelligence;프란츠 요제프 슈트라우스 ;1933;1964;1999;SC;Industrial Specialist;High;M506027;X
630028;Head of Military Intelligence;오이겐 게르슈텐마이어 ;1933;1964;1999;SD;Technical Specialist;High;M506028;X
