ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10001;Head of State;조지 5세 ;1933;1937;1937;ML;Stern Imperialist;High;3748;X
10002;Head of Government;스텐리 볼드윈 ;1933;1938;1948;SC;Guilty Man;High;3751;X
10003;Foreign Minister;앤소니 이든 ;1933;1958;1958;SC;Ideological Crusader;Medium;3807;X
10004;Minister of Armament;네빌 체임벌린 ;1931;1941;1941;SC;laissez-faire capitalist;High;3808;X
10005;Minister of Security;존 사이먼 ;1933;1955;1955;SC;Crime Fighter;High;3809;X
10006;Head of Military Intelligence;휴 싱클레어 ;1923;1940;1940;SC;Quex;Very High;3810;X
10007;Chief of Staff;아치발드 몽고메리 메싱버드 ;1933;1937;1937;ML;School of Fire Support;Very High;3811;X
10008;Chief of Army;아치발드 몽고메리 메싱버드 ;1933;1937;1937;ML;Static Defence Doctrine;Very High;3811;X
10009;Chief of Navy;어늘 채터필드 ;1933;1939;1939;ML;Decisive Naval Battle Doctrine;High;3812;X
10010;Chief of Air Force;오웬 보이드 ;1930;1945;1945;ML;Air Superiority Doctrine;High;3813;X
10011;Head of State;에드워드 8세 ;1933;1937;1973;SC;Autocratic Charmer;High;M1011;X
10012;Head of State;에드워드 8세 ;1933;1937;1973;SD;Autocratic Charmer;High;M1011;X
10013;Head of State;에드워드 8세 ;1933;1937;1973;FA;Autocratic Charmer;High;M1011;X
10014;Head of State;조지 6세 ;1933;1953;1953;SC;Benevolent Gentleman;High;M1033;X
10015;Head of State;조지 6세 ;1933;1953;1953;SD;Benevolent Gentleman;High;M1033;X
10016;Head of State;어나이린 베번 ;1933;1961;1961;LWR;Pig-headed Isolationist;High;M1021;X
10017;Head of Government;네빌 체임벌린 ;1933;1941;1941;SC;The Pacifier;High;3808;X
10018;Head of Government;윈스턴 처칠 ;1933;1966;1966;SC;Bulldog;High;2430;X
10019;Head of Government;클레멘트 애틀리 ;1935;1956;1956;SD;Silent Workhorse;High;3818;X
10020;Head of Government;오스왈드 모슬리 ;1931;1967;1967;FA;Flamboyant Tough Guy;High;M1012;X
10021;Head of Government;해리 폴릿 ;1933;1957;1957;LWR;Ambitious Union Boss;High;M1022;X
10022;Foreign Minister;E.F.L. 우드 ;1938;1947;1947;SC;The Appeaser;Very High;3819;X
10023;Foreign Minister;존 셀린 로이드 ;1944;1977;1977;SC;Biased Intellectual;High;M1046;X
10024;Foreign Minister;어니스트 베빈 ;1935;1952;1952;SD;The Cloak N Dagger Schemer;High;3820;X
10025;Foreign Minister;허버트 모리슨 ;1940;1966;1966;SD;Biased Intellectual;High;3821;X
10026;Foreign Minister;윌리엄 조이스 ;1933;1946;1992;FA;General Staffer;Low;M1013;X
10027;Foreign Minister;제럴드 웰즐리 ;1939;1942;1942;FA;Great Compromiser;Low;3822;X
10028;Foreign Minister;조슬린 빅터 헤이 ;1940;1942;1987;FA;The Cloak N Dagger Schemer;Medium;M1051;X
10029;Foreign Minister;헨리 윌리엄슨 ;1941;1946;1978;FA;Biased Intellectual;Medium;M1052;X
10030;Foreign Minister;제럴드 그로스베너 ;1942;1954;1954;FA;Apologetic Clerk;Medium;M1053;X
10031;Foreign Minister;아치볼드 렘지 ;1929;1956;1956;FA;Iron Fisted Brute;Medium;M1054;X
10032;Foreign Minister;라자니 팜 덧 ;1933;1975;1975;LWR;Biased Intellectual;Medium;M1023;X
10033;Foreign Minister;필 피러틴 ;1931;1957;1957;ST;The Cloak N Dagger Schemer;Medium;M1056;X
10034;Foreign Minister;D.N. 프릿 ;1929;1973;1973;ST;Apologetic Clerk;Medium;M1057;X
10035;Foreign Minister;데이브 스프링홀 ;1944;1954;1954;LWR;Iron Fisted Brute;Medium;M1058;X
10036;Foreign Minister;이안 메카도 ;1945;1988;1988;LWR;Ideological Crusader;Medium;M1059;X
10037;Minister of Armament;존 사이먼 ;1937;1955;1955;SC;Resource Industrialist;High;3809;X
10038;Minister of Armament;존 앤더슨 ;1939;1959;1959;SC;Balanced budget economy;High;M1061;X
10039;Minister of Armament;킹슬리 우드 ;1939;1944;1944;SC;Keynesian economy;High;M1062;X
10040;Minister of Armament;윌리엄 애익튼 ;1940;1965;1965;SC;Administrative Genius;Very High;M1063;X
10041;Minister of Armament;리처드 A. 버틀러 ;1945;1967;1967;SC;Theoretical Scientist;Very High;M1064;X
10042;Minister of Armament;휴 달톤 ;1931;1963;1963;SD;Resource Industrialist;Medium;M1065;X
