EUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
645001;Head of State;호세 안토니오 아기레 ;1936;1960;1999;SC;Benevolent Gentleman;Very High;8505;X
645002;Head of Government;호세 안토니오 아기레 ;1936;1960;1999;SC;Flamboyant Tough Guy;Very High;8505;X
645003;Foreign Minister;호세 마리아 라사르테 ;1936;1964;1999;SC;Ideological Crusader;High;8186;X
645004;Minister of Armament;엘리오도로 데 라 토레 ;1936;1964;1999;SC;laissez-faire capitalist;High;8185;X
645005;Minister of Security;헤수스 마리아 데 레이사올라 ;1936;1964;1999;SC;Silent Lawyer;High;8506;X
645006;Head of Military Intelligence;후안 아후리아게레라 ;1934;1964;1999;SC;Logistics Specialist;High;8187;X
645007;Chief of Staff;알베르토 데 몬타우드 ;1936;1937;1999;SC;School of Defence;Very High;8480;X
645008;Chief of Army;칸디도 사세타 에체바리아 ;1936;1964;1999;SD;Static Defence Doctrine;High;8504;X
645009;Chief of Navy;호아킨 데 에기아 ;1936;1956;1999;SC;Base Control Doctrine;High;8494;X
645010;Chief of Air Force;보리스 마란초프 ;1936;1938;1999;NS;Naval Aviation Doctrine;High;8507;X
645011;Head of State;헤수스 마리아 데 레이사올라 ;1936;1964;1999;SC;Popular Figurehead;High;8506;X
645012;Head of Government;헤수스 마리아 데 레이사올라 ;1936;1964;1999;SC;Naive Optimist;High;8506;X
645013;Foreign Minister;프란시스코 데 란다부루 ;1936;1964;1999;SC;Great Compromiser;High;6592;X
645014;Minister of Armament;페르민 사르사 ;1936;1963;1999;SD;Resource Industrialist;High;unknownminister;X
645015;Minister of Security;마누엘 데 이루호 ;1936;1964;1999;SC;Efficient Sociopath;Very High;8508;X
645016;Head of Military Intelligence;마누엘 데 이루호 ;1936;1964;1999;SC;Dismal Enigma;High;8508;X
645017;Chief of Staff;헤수스 마리아 데 레이사올라 ;1936;1964;1999;SC;School of Psychology;High;8506;X
645018;Chief of Army;안토니오 오르테가 ;1936;1964;1999;SC;Elastic Defence Doctrine;High;unknownminister;X
645019;Chief of Navy;호세 마리아 부르가냐 ;1936;1964;1999;SC;Open Seas Doctrine;High;8509;X
645020;Chief of Air Force;후안 안토니오 이바레체 ;1936;1964;1999;ML;Carpet Bombing Doctrine;High;unknownminister;X
645021;Head of State;아나클레도 오르투에타 ;1936;1964;1999;LWR;Die-Hard Reformer;High;6570;X
645022;Head of State;후스토 가라테 ;1936;1964;1999;LWR;Barking Buffoon;Very High;8510;X
