FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
145001;Head of State;페르 E. 스빈후부드 ;1933;1964;1999;SC;Pig-headed Isolationist;High;2501;X
145002;Head of Government;토이보 M. 키비매키 ;1933;1964;1999;SC;Silent Workhorse;High;2502;X
145003;Foreign Minister;안티 V. 하크젤 ;1933;1964;1999;SC;Biased Intellectual;Medium;2503;X
145004;Minister of Armament;아르비 A. 오크살라 ;1933;1964;1999;SC;Resource Industrialist;Medium;2504;X
145005;Minister of Security;위리왜 W. 푸하카 ;1933;1964;1999;SC;Silent Lawyer;Medium;2505;X
145006;Head of Military Intelligence;에스코 리에키 ;1933;1964;1999;SC;Dismal Enigma;High;2506;X
145007;Chief of Staff;K. 레나르트 오에슈 ;1933;1964;1999;SC;School of Manoeuvre;High;412;X
145008;Chief of Army;후고 V. 외스테르만 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;436;X
145009;Chief of Navy;배이뇌 L. R. 발베 ;1933;1964;1999;SC;Open Seas Doctrine;High;428;X
145010;Chief of Air Force;야를 F. 룬드크비스트 ;1933;1964;1999;SC;Naval Aviation Doctrine;Very High;2507;X
145011;Head of State;칼 구스타프 만네르헤임 ;1944;1964;1999;SC;Resigned Generalissimo;High;2508;X
145012;Head of State;유호 K. 파시키비 ;1945;1964;1999;SD;Autocratic Charmer;High;2509;X
145013;Head of State;페르 E. 스빈후부드 ;1933;1964;1999;ML;Pig-headed Isolationist;High;2501;X
145014;Head of State;리스토 H. 리티 ;1940;1964;1999;ML;Weary Stiffneck;High;2510;X
145015;Head of State;퀴외스티 칼리오 ;1937;1964;1999;SC;Stern Imperialist;High;2511;X
145016;Head of State;리스토 H. 리티 ;1939;1964;1999;SC;Weary Stiffneck;High;2510;X
145017;Head of State;리스토 H. 리티 ;1943;1964;1999;PA;Weary Stiffneck;High;2510;X
145018;Head of State;유호 K. 파시키비 ;1946;1964;1999;SC;Autocratic Charmer;High;2509;X
145019;Head of State;I. 비흐토리 I. 코솔라 ;1933;1964;1999;FA;Popular Figurehead;High;2512;X
145020;Head of State;오토 빌레 쿠시넨 ;1933;1964;1999;ST;Ruthless Powermonger;High;2513;X
145021;Head of Government;배이뇌 키비살로 ;1933;1964;1999;SD;Naive Optimist;High;2514;X
145022;Head of Government;우르호 K. 케코넨 ;1943;1964;1999;ML;Backroom Backstabber;High;2515;X
145023;Head of Government;마우노 페칼라 ;1945;1964;1999;SD;Political Protege;High;2516;X
145024;Head of Government;퀴외스티 칼리오 ;1933;1964;1999;ML;Corporate Suit;High;2511;X
145025;Head of Government;아이모 K. 카얀데르 ;1937;1964;1999;ML;Happy Amateur;High;2517;X
145026;Head of Government;야를 F. 룬드크비스트 ;1943;1964;1999;ML;Smiling Oilman;High;2507;X
145027;Head of Government;위리외 K. 레이노 ;1946;1964;1999;ML;Naive Optimist;High;M29025;X
145028;Head of Government;리스토 H. 리티 ;1939;1964;1999;SC;Backroom Backstabber;High;2510;X
145029;Head of Government;요한 W. 랑겔 ;1941;1964;1999;SC;Flamboyant Tough Guy;High;M29059;X
145030;Head of Government;안티 V. 하크젤 ;1944;1964;1999;SC;Silent Workhorse;High;2503;X
