FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
5001;Head of State;알베르 르브룅 ;1932;1964;1999;SL;Barking Buffoon;High;3871;X
5002;Head of Government;알베르 사로 ;1933;1964;1999;SL;Happy Amateur;High;5900;X
5003;Foreign Minister;피에르 에티엔 플랑댕 ;1933;1964;1999;SL;Ideological Crusader;Low;M2003;X
5004;Minister of Armament;뱅상 오리올 ;1933;1964;1999;SL;Supporter of Devaluation;High;5901;X
5005;Minister of Security;막스 도모이 ;1933;1964;1999;SL;Opposer of the far right;Medium;M2005;X
5006;Head of Military Intelligence;조제프 파가농 ;1933;1964;1999;SL;Political Specialist;Medium;M2006;X
5007;Chief of Staff;모리스 가믈랭 ;1935;1964;1999;SL;Fortifications Supporter;Very High;5902;X
5008;Chief of Army;모리스 가믈랭 ;1935;1964;1999;SL;Static Defense Supporter;Very High;5902;X
5009;Chief of Navy;장 프랑수아 다를랑 ;1924;1943;1967;PA;Decisive Naval Battle Doctrine;Low;M57002;X
5010;Chief of Air Force;빅토르 드냉 ;1933;1964;1999;SL;Carpet Bombing Doctrine;Medium;M2010;X
5011;Head of State;뱅상 오리올 ;1947;1964;1999;SL;Autocratic Charmer;High;5901;X
5012;Head of State;다니엘 마이에 ;1944;1964;1999;SD;Weary Stiffneck;High;M2023;X
5013;Head of State;모리스 토레즈 ;1932;1964;1999;ST;Powerhungry Demagogue;High;M2011;X
5014;Head of State;샤를 드 골 ;1940;1964;1999;SC;Resigned Generalissimo;High;2562;X
5188;Head of State;필리프 페탱 ;1933;1964;1999;PA;Resigned Generalissimo;High;2564;X
5016;Head of Government;레옹 블룸 ;1933;1964;1999;SD;Naive Optimist;High;M2033;X
5017;Head of Government;펠릭스 구앵 ;1940;1964;1999;SD;Smiling Oilman;High;M2034;X
5018;Head of Government;폴 라마디에 ;1947;1964;1999;SD;Ambitious Union Boss;High;M2035;X
5019;Head of Government;카미유 쇼탕 ;1930;1964;1999;SL;Silent Workhorse;High;M2036;X
5020;Head of Government;에두아르 달라디에 ;1933;1964;1999;SD;Naive Optimist;High;2563;X
5021;Head of Government;폴 레노 ;1940;1964;1999;SL;Political Protege;High;M2038;X
5022;Head of Government;조르주 비도 ;1946;1964;1999;ML;Old General;High;M2039;X
5023;Head of Government;피에르 라발 ;1932;1964;1999;SC;Flamboyant Tough Guy;High;M2040;X
5024;Head of Government;앙드레 마리 ;1938;1964;1999;SC;Happy Amateur;High;M2041;X
5025;Head of Government;에두아르 에리오 ;1932;1964;1999;SC;Naive Optimist;High;M2042;X
5026;Head of Government;앙투앙 앙리 쾨유 ;1941;1964;1999;SC;Corporate Suit;High;M2043;X
5027;Head of Government;자크 뒤클로스 ;1933;1964;1999;ST;Backroom Backstabber;High;M2012;X
5028;Head of Government;마르셀 카생 ;1924;1964;1999;ST;Silent Workhorse;High;M2017;X
5029;Head of Government;샤를 드 골 ;1940;1964;1999;SC;Old General;High;2562;X
5030;Head of Government;장 마리 드 타시니 ;1938;1964;1999;SC;Old General;High;5903;X
5031;Foreign Minister;조제프 폴 봉쿠흐 ;1932;1964;1999;SD;Ideological Crusader;Medium;M2049;X
5032;Foreign Minister;피에르 코메흐 ;1941;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M2050;X
5033;Foreign Minister;레옹 블룸 ;1947;1964;1999;SD;Apologetic Clerk;Very High;M2033;X
5034;Foreign Minister;이봉 델보스 ;1933;1964;1999;SL;Supporter of friendly relations;Medium;M2048;X
5035;Foreign Minister;조르주 보네 ;1938;1964;1999;SL;Iron Fisted Brute;Medium;M2053;X
5036;Foreign Minister;에두아르 달라디에 ;1939;1964;1999;SD;Great Compromiser;High;2563;X
5037;Foreign Minister;폴 레노 ;1940;1964;1999;SL;Ideological Crusader;Undying;M2038;X
5038;Foreign Minister;조르주 비도 ;1941;1964;1999;ML;General Staffer;High;M2039;X
5039;Foreign Minister;피에르 라발 ;1933;1964;1999;SC;Great Compromiser;Undying;M2040;X
5040;Foreign Minister;앙투앙 앙리 쾨유 ;1941;1964;1999;SC;Iron Fisted Brute;High;M2043;X
5041;Foreign Minister;르네 샤론 ;1944;1964;1999;SC;Apologetic Clerk;Medium;M2059;X
