GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1;Head of State;아돌프 히틀러 ;1933;1964;1999;NS;Paranoid megalomaniac;High;2634;X
2;Head of Government;루돌프 헤스 ;1933;1964;1999;NS;Silent Workhorse;High;2635;X
3;Foreign Minister;콘스탄틴 폰 노이라트 ;1933;1964;1999;FA;respectable compromiser;High;2636;X
4;Minister of Armament;베르너 폰 블롬베르크 ;1933;1964;1999;NS;Infantry Proponent;High;L607;X
5;Minister of Security;빌헬름 프리크 ;1933;1964;1999;NS;Ruthless Organizer;High;M5;X
6;Head of Military Intelligence;빌헬름 카나리스 ;1933;1946;1999;FA;Brilliant Spymaster;Medium;2639;X
7;Chief of Staff;루드비히 베크 ;1933;1945;1999;PA;School of Manoeuvre;High;2640;X
8;Chief of Army;베르너 폰 프리치 ;1933;1940;1999;PA;Armoured Spearhead Doctrine;High;L611;X
9;Chief of Navy;에리히 레더 ;1933;1964;1999;NS;Decisive Naval Battle Doctrine;High;L409;X
10;Chief of Air Force;헤르만 괴링 ;1933;1964;1999;NS;The Iron Knight;Very High;L440;X
11;Head of State;헤르만 괴링 ;1933;1964;1999;NS;Barking Buffoon;Very High;L440;X
12;Head of State;요제프 괴벨스 ;1942;1946;1999;NS;Powerhungry Demagogue;Very High;3587;X
13;Head of State;카를 되니츠 ;1945;1964;1999;NS;Resigned Generalissimo;High;M32;X
14;Head of State;오스카 폰 힌덴부르크 ;1933;1964;1999;FA;Insignificant Layman;High;3580;X
15;Head of State;루드비히 베크 ;1939;1945;1999;FA;Resigned Generalissimo;High;2640;X
16;Head of State;함마르 샤흐트 ;1945;1964;1999;FA;Pig-headed Isolationist;High;2644;X
17;Head of State;빌헬름 2세 ;1933;1964;1999;PA;Weary Stiffneck;High;3581;X
18;Head of State;빌헬름 3세 ;1942;1964;1999;PA;Benevolent Gentleman;High;3582;X
19;Head of State;테오도르 호이스 ;1946;1964;1999;SC;Die-hard Reformer;High;M38;X
20;Head of State;루드비히 렌 ;1933;1964;1999;ST;Insignificant Layman;High;3577;X
21;Head of Government;헤르만 괴링 ;1938;1964;1999;NS;Old Airmarshal;High;L440;X
22;Head of Government;아돌프 히틀러 ;1933;1964;1999;NS;Flamboyant Tough Guy;High;2634;X
23;Head of Government;마르틴 보어만 ;1941;1964;1999;NS;The Brown Eminence;High;3583;X
24;Head of Government;알베르트 슈페어 ;1945;1964;1999;NS;Corporate Suit;High;2645;X
25;Head of Government;오토 마이스너 ;1933;1964;1999;PA;Naive Optimist;High;3584;X
27;Head of Government;알베르트 뒤푸르 페론스 ;1938;1964;1999;PA;Flamboyant Tough Guy;High;M46;X
28;Head of Government;프란츠 폰 파펜 ;1939;1964;1999;PA;Happy Amateur;High;3585;X
29;Head of Government;카를 프리드리히 괴르델러 ;1941;1946;1999;PA;Happy Amateur;High;M12;X
30;Head of Government;요한 슈베린 폰 크로지크 ;1944;1964;1999;PA;Silent Workhorse;High;M49;X
