GLD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
660001;Head of State;아놀드 W. 하지슨 ;1933;1964;1999;ML;Stern Imperialist;High;M551001;X
660002;Head of Government;앨런 C.M. 번즈 ;1933;1964;1999;ML;Silent Workhorse;High;M551002;X
660003;Foreign Minister;조지 에드워즈 ;1933;1964;1999;ML;Great Compromiser;High;M551003;X
660004;Minister of Armament;어니스트 맥길버리 ;1933;1964;1999;ML;Submarine Proponent;Medium;M551004;X
660005;Minister of Security;윌리엄 로덴데일 ;1933;1964;1999;ML;Man of the People;Medium;M551005;X
660006;Head of Military Intelligence;클리브 O. 버틀러 ;1933;1964;1999;ML;Logistics Specialist;Medium;M551006;X
660007;Chief of Staff;클리브 O. 버틀러 ;1933;1964;1999;ML;School of Psychology;Medium;M551006;X
660008;Chief of Army;찰스 아덴 클라크 ;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;M551008;X
660009;Chief of Navy;더글라스 랜달 스콧 ;1933;1964;1999;ML;Power Projection Doctrine;Medium;M551009;X
660010;Chief of Air Force;찰스 아덴 클라크 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M551008;X
660011;Head of State;아웨도보 9세 ;1933;1964;1999;PA;Popular Figurehead;High;M551011;X
660012;Head of State;찰스 아덴 클라크 ;1933;1964;1999;SL;Resigned Generalissimo;High;M551012;X
660013;Head of State;콰메 은크루마 ;1933;1964;1999;LWR;Barking Buffoon;High;M551013;X
660014;Head of Government;헨릭 뮬러 ;1933;1964;1999;PA;Corporate Suit;High;M551014;X
660015;Head of Government;콰메 은크루마 ;1933;1964;1999;SL;Naive Optimist;High;M551015;X
660016;Head of Government;조사이어 아키바 ;1933;1964;1999;LWR;Happy Amateur;High;M551016;X
660017;Foreign Minister;프레더릭 아이작 돌핀 ;1933;1964;1999;PA;General Staffer;High;M551017;X
660018;Foreign Minister;해리 은키웨 ;1933;1964;1999;SL;Ideological Crusader;High;M551018;X
660019;Foreign Minister;모리시우스 오프로예 ;1933;1964;1999;LWR;Biased Intellectual;High;M551019;X
660020;Minister of Armament;패트릭 매킬해니 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M551020;X
660021;Minister of Armament;아이작 줄리언슨 ;1933;1964;1999;SL;Tank Proponent;Medium;M551021;X
660022;Minister of Armament;던컨 J. 오리어리 ;1933;1964;1999;LWR;Administrative Genius;Medium;M551022;X
660023;Minister of Security;주다 엡슨 ;1933;1964;1999;PA;Prince of Terror;Medium;M551023;X
660024;Minister of Security;네빌 런던 ;1941;1964;1999;PA;Compassionate Gentleman;Medium;M551024;X
660025;Minister of Security;주니어 W.K. 하틀리 ;1933;1964;1999;SL;Crime Fighter;Medium;M551025;X
660026;Minister of Security;대니얼 콰마 ;1933;1964;1999;LWR;Silent Lawyer;Medium;M551026;X
660027;Head of Military Intelligence;주다 엡슨 ;1933;1964;1999;PA;Dismal Enigma;Medium;M551023;X
660028;Head of Military Intelligence;T.R. 해튼 ;1933;1964;1999;SL;Industrial Specialist;Medium;M551028;X
660029;Head of Military Intelligence;모딤바 아완카 ;1933;1964;1999;LWR;Political Specialist;Medium;M551029;X
660030;Chief of Staff;프레더릭 아이작 돌핀 ;1933;1964;1999;PA;School of Manoeuvre;Medium;M551017;X
660031;Chief of Staff;아벨 오크란 ;1933;1964;1999;SL;School of Fire Support;Medium;M551031;X
660032;Chief of Staff;이그나티우스 아체암퐁 ;1933;1964;1999;LWR;School of Defence;Medium;M551032;X
660033;Chief of Army;클리브 O. 버틀러 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M551006;X
660034;Chief of Army;이그나티우스 아체암퐁 ;1933;1964;1999;SL;Static Defence Doctrine;Medium;M551032;X
660035;Chief of Army;아벨 오크란 ;1933;1964;1999;LWR;Static Defence Doctrine;Medium;M551031;X
660036;Chief of Navy;프레더릭 아이작 돌핀 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M551017;X
660037;Chief of Navy;오비조 아메두메 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M551037;X
660038;Chief of Navy;모제스 콰니콰 ;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M551038;X
660039;Chief of Air Force;클리브 O. 버틀러 ;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M551006;X
660040;Chief of Air Force;오비조 아메두메 ;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M551037;X
660041;Chief of Air Force;주니어 W.K. 하틀리 ;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M551025;X
