GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
90001;Head of State;요르요스 2세 ;1933;1964;1999;PA;Insignificant Layman;High;2646;X
90002;Head of Government;콘스탄디노스 데메르지스 ;1933;1964;1999;PA;Naive Optimist;High;M18002;X
90003;Foreign Minister;콘스탄디노스 데메르지스 ;1933;1964;1999;PA;Biased Intellectual;Very High;M18002;X
90004;Minister of Armament;예오르요스 만자비노스 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M18004;X
90005;Minister of Security;예오르요스 로고테티스 ;1933;1964;1999;PA;Crime Fighter;Medium;M18005;X
90006;Head of Military Intelligence;예오르요스 로고테티스 ;1933;1964;1999;PA;Dismal Enigma;Medium;M18005;X
90007;Chief of Staff;테오도르 팡갈로스 ;1933;1964;1999;PA;School of Defence;Low;M18007;X
90008;Chief of Army;알렉산드로스 파파고스 ;1933;1964;1999;PA;Elastic Defence Doctrine;Low;M18008;X
90009;Chief of Navy;알렉산드로스 사켈라리우 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;8145;X
90010;Chief of Air Force;엘레프테리오스 베니젤로스 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M18010;X
90011;Head of State;요르요스 2세 ;1933;1964;1999;SL;Insignificant Layman;High;2646;X
90012;Head of State;다마스키노스 파판드레우 ;1941;1964;1999;SL;Barking Buffoon;High;M18032;X
90013;Head of State;파블로스 1세 ;1947;1964;1999;SL;Die-hard Reformer;High;M18033;X
90014;Head of State;요르요스 2세 ;1933;1964;1999;SC;Insignificant Layman;High;2646;X
90015;Head of State;다마스키노스 파판드레우 ;1941;1964;1999;SC;Barking Buffoon;High;M18032;X
90016;Head of State;파블로스 1세 ;1947;1964;1999;SC;Die-hard Reformer;High;M18033;X
90017;Head of State;요르요스 2세 ;1933;1964;1999;FA;Insignificant Layman;High;2646;X
90018;Head of State;다마스키노스 파판드레우 ;1941;1964;1999;PA;Barking Buffoon;High;M18032;X
90019;Head of State;그리고리에프 무르노프 ;1941;1964;1999;NS;Weary Stiffneck;High;M18040;X
90020;Head of State;마리오 베르첼리노 ;1942;1964;1999;NS;Resigned Generalissimo;High;M18041;X
90021;Head of State;라인하르트 알텐부르크 ;1943;1964;1999;NS;Autocratic Charmer;High;M18042;X
90022;Head of State;파블로스 1세 ;1947;1964;1999;PA;Die-hard Reformer;High;M18033;X
90023;Head of State;요르이스 시안도스 ;1933;1964;1999;ST;Popular Figurehead;High;M18021;X
90024;Head of State;니코스 자하리아디스 ;1944;1964;1999;ST;Autocratic Charmer;High;M18022;X
90025;Head of Government;테미스토클레스 소풀리스 ;1933;1964;1999;SL;Flamboyant Tough Guy;High;M18014;X
90026;Head of Government;예오르요스 파판드레우 ;1944;1964;1999;SL;Silent Workhorse;High;M18015;X
90027;Head of Government;파나욜리스 풀리차스 ;1946;1964;1999;SL;Smiling Oilman;High;M18048;X
90028;Head of Government;이오아니스 메탁사스 ;1933;1964;1999;SC;Old General;High;M18049;X
90029;Head of Government;알렉산드로스 코리지스 ;1941;1964;1999;SC;Political Protege;High;M18050;X
90030;Head of Government;엠마누일 추데로스 ;1941;1964;1999;SC;Happy Amateur;High;M18051;X
90031;Head of Government;소포클리스 베니젤로스 ;1944;1964;1999;SC;Naive Optimist;High;M18012;X
90032;Head of Government;콘스탄디노스 찰다리스 ;1946;1964;1999;SC;Old General;High;M18053;X
90033;Head of Government;드미트리오스 막시모스 ;1947;1964;1999;SC;Political Protege;High;M18054;X
90034;Head of Government;파나이스 찰다리스 ;1933;1964;1999;FA;Flamboyant Tough Guy;High;M18055;X
90035;Head of Government;예오르이아스 촐라코울루 ;1941;1964;1999;NS;Old General;High;M18056;X
90036;Head of Government;콘스탄디노스 로고테토풀로스 ;1942;1964;1999;NS;Corporate Suit;High;M18057;X
90037;Head of Government;이오아니스 랄리스 ;1943;1964;1999;NS;Naive Optimist;High;M18058;X
90038;Head of Government;다마스키노스 파판드레우 ;1945;1964;1999;PA;Flamboyant Tough Guy;High;M18032;X
90039;Head of Government;니콜라오스 플라스티라스 ;1945;1964;1999;PA;Old General;High;M18060;X
90040;Head of Government;페트로스 불가리스 ;1945;1964;1999;PA;Naive Optimist;High;M18061;X
90041;Head of Government;파나요티스 카넬로풀로스 ;1945;1964;1999;PA;Smiling Oilman;High;M18062;X
90042;Head of Government;밀티아디스 포르피네로예니스 ;1933;1964;1999;ST;Ambitious Union Boss;High;M18029;X
90043;Head of Government;니코스 자하리아디스 ;1941;1964;1999;ST;Smiling Oilman;High;M18022;X
90044;Head of Government;에브리피디스 바키트리스 ;1944;1964;1999;ST;Happy Amateur;High;M18065;X
90045;Head of Government;마르코스 바피아디스 ;1946;1964;1999;ST;Backroom Backstabber;High;M18066;X
90046;Foreign Minister;예오르요스 파판드레우 ;1944;1964;1999;SL;Biased Intellectual;Very High;M18015;X
90047;Foreign Minister;이오아니스 사피아노풀로스 ;1945;1964;1999;SL;Great Compromiser;Medium;M18068;X
