GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
305001;Head of State;호르헤 우비코 카스타네다 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M46001;X
305002;Head of Government;호르헤 우비코 카스타네다 ;1933;1964;1999;PA;Silent Workhorse;High;M46001;X
305003;Foreign Minister;알프레도 스키네르 클레 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M46003;X
305004;Minister of Armament;기예르모 플로레스 ;1933;1964;1999;PA;Infantry Proponent;Medium;M46004;X
305005;Minister of Security;T. 카스트로 도밍게스 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M46005;X
305006;Head of Military Intelligence;에두아르도 비야그란 ;1933;1964;1999;PA;Logistics Specialist;Medium;M46006;X
305007;Chief of Staff;페데리코 폰세 바이데스 ;1933;1964;1999;PA;School of Manoeuvre;Medium;M46007;X
305008;Chief of Army;호르헤 우비코 카스타네다 ;1933;1964;1999;PA;Static Defence Doctrine;High;M46001;X
305009;Chief of Navy;토마스 멘도사 우리베 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M46009;X
305010;Chief of Air Force;R. 부에나벤투레 피네다 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M46010;X
305011;Head of State;하코포 아르벤스 구스만 ;1944;1964;1999;LWR;Popular Figurehead;High;M46021;X
305012;Head of State;후안 아르발로 베르메호 ;1945;1964;1999;SD;Die-hard Reformer;High;M46022;X
305013;Head of State;호르헤 토리에요 가리도 ;1945;1964;1999;SL;Resigned Generalissimo;High;M46011;X
305014;Head of State;R. 부에나벤투레 피네다 ;1945;1964;1999;SC;Resigned Generalissimo;High;M46010;X
305015;Head of State;페데리코 폰세 바이데스 ;1944;1964;1999;PA;Barking Buffoon;High;M46007;X
305016;Head of Government;프란시스코 하비에르 ;1944;1964;1999;LWR;Naive Optimist;High;M46027;X
305017;Head of Government;후안 아르발로 베르메호 ;1945;1964;1999;SD;Backroom Backstabber;High;M46022;X
305018;Head of Government;마누엘 오레야나 ;1945;1964;1999;SL;Smiling Oilman;High;M46012;X
305019;Head of Government;에두아르도 비야그란 ;1945;1964;1999;SC;Political Protege;High;M46006;X
305020;Head of Government;마누엘 아로요 ;1937;1964;1999;FA;Old Admiral;High;M46031;X
305021;Head of Government;R. 부에나벤투레 피네다 ;1944;1964;1999;PA;old airmarshal;High;M46010;X
305022;Head of Government;에두아르도 비야그란 ;1944;1964;1999;PA;Happy Amateur;High;M46006;X
305023;Foreign Minister;카를로스 아구멘도 ;1944;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M46035;X
305024;Foreign Minister;호르헤 토리에요 가리도 ;1945;1964;1999;SD;General Staffer;Medium;M46011;X
305025;Foreign Minister;엔리케 무뇨스 미아니 ;1946;1964;1999;SD;Biased Intellectual;Medium;M46037;X
