HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
350001;Head of State;스테니오 뱅상 ;1930;1964;1999;SC;Pig-headed Isolationist;High;M78001;X
350002;Head of Government;스테니오 뱅상 ;1930;1964;1999;SC;Corporate Suit;High;M78001;X
350003;Foreign Minister;알베르 블란셰 ;1933;1964;1999;SC;Apologetic Clerk;High;M78003;X
350004;Minister of Armament;에밀리에 레스코 ;1933;1964;1999;SC;Infantry Proponent;Medium;9803;X
350005;Minister of Security;루이 다브테 벨르가르드 ;1933;1964;1999;SC;Crooked Kleptocrat;Medium;M78005;X
350006;Head of Military Intelligence;세바스티앙 드 아롱데 ;1933;1964;1999;SC;Political Specialist;Medium;M78006;X
350007;Chief of Staff;에밀리에 레스코 ;1933;1964;1999;SC;School of Fire Support;Medium;9803;X
350008;Chief of Army;에밀리에 레스코 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;9803;X
350009;Chief of Navy;알프레드 네무르 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M78009;X
350010;Chief of Air Force;G. 에두아르 르와 ;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M78010;X
350011;Head of State;에밀리에 레스코 ;1941;1964;1999;SC;Resigned Generalissimo;High;9803;X
350012;Head of State;루이 드조이 ;1946;1964;1999;SC;Die-hard Reformer;High;M78033;X
350013;Head of State;뒤마르사이 에스티메 ;1937;1964;1999;SL;Popular Figurehead;High;M78034;X
350014;Head of State;프랑크 라보 ;1946;1964;1999;PA;Resigned Generalissimo;High;M78035;X
350015;Head of State;F. 도를랑스 쥐스트 ;1937;1964;1999;LWR;Insignificant Layman;High;M78021;X
350016;Head of State;데모스테네스 칼리스테 ;1946;1964;1999;LWR;Popular Figurehead;High;M78037;X
350017;Head of Government;에밀리에 레스코 ;1941;1964;1999;SC;Old General;High;9803;X
350018;Head of Government;루이 드조이 ;1946;1964;1999;SC;Backroom Backstabber;High;M78033;X
350019;Head of Government;알베르 블란셰 ;1937;1964;1999;SL;Happy Amateur;High;M78003;X
350020;Head of Government;뒤마르사이 에스티메 ;1941;1964;1999;SL;Flamboyant Tough Guy;High;M78034;X
