HOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
;Replacements;;;;;;;;;X
15001;Head of State;빌헬미나 ;1933;1964;1999;SC;Stern Imperialist;High;M8001;X
15002;Head of Government;헨드리퀴스 콜에인 ;1925;1964;1999;ML;Silent Workhorse;High;M8002;X
15003;Foreign Minister;프란스 B. 반 브로클란트 ;1933;1964;1999;SC;Ideological Crusader;Low;M8003;X
15004;Minister of Armament;피에터르 아우드 ;1933;1964;1999;ML;Submarine Proponent;Medium;M8004;X
15005;Minister of Security;요세퓌스 H.H. 반 샤히크 ;1933;1964;1999;ML;Silent Lawyer;High;M8005;X
15006;Head of Military Intelligence;요한 W. 반 오오르스호트 ;1933;1964;1999;SC;Dismal Enigma;Very High;M8006;X
15007;Chief of Staff;아드리안 데익후른 ;1933;1964;1999;SC;School of Defence;Very High;M8007;X
15008;Chief of Army;이자크 레인데르스 ;1933;1964;1999;SC;Static Defence Doctrine;Very High;M8008;X
15009;Chief of Navy;요하네스 퓌르스트너르 ;1933;1964;1999;ML;Indirect Approach Doctrine;High;M8009;X
15010;Chief of Air Force;마리우스 라에이마케르스 ;1933;1964;1999;ML;Air Superiority Doctrine;High;M8010;X
15011;Head of State;빌헬미나 ;1945;1964;1999;PA;Stern Imperialist;High;M8001;X
15012;Head of State;안톤 뮈세르트 ;1937;1964;1999;NS;Barking Buffoon;High;M8011;X
15013;Head of State;벤야민 부르스 ;1937;1964;1999;ST;Insignificant Layman;High;M8040;X
15014;Head of State;얀 디에테르스 ;1940;1964;1999;ST;Autocratic Charmer;High;M8041;X
15015;Head of State;사울 더 그루트 ;1943;1964;1999;ST;Ruthless Powermonger;High;M8021;X
15016;Head of Government;요한 알바르다 ;1939;1964;1999;SD;Happy Amateur;High;M8043;X
15017;Head of Government;라우이스 베어르 ;1946;1964;1999;ML;Smiling Oilman;High;M8044;X
15018;Head of Government;피에터르 게르브란디 ;1939;1964;1999;ML;Flamboyant Tough Guy;High;M8046;X
15019;Head of Government;빌렘 스헤르메르호른 ;1945;1964;1999;ML;Naive Optimist;High;M8047;X
15020;Head of Government;안드리스 디르크 더 그라프 ;1937;1964;1999;SC;Happy Amateur;High;M8048;X
15021;Head of Government;디르크 얀 더 헤르 ;1926;1964;1999;SC;Political Protege;High;M8049;X
15022;Head of Government;얀 더 크바이 ;1940;1964;1999;SC;Happy Amateur;High;M8050;X
15023;Head of Government;메인아우트 반 토닝헌 ;1937;1964;1999;NS;Backroom Backstabber;High;M8012;X
