HON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
355001;Head of State;티부르키오 카리아스 ;1933;1964;1999;PA;Popular Figurehead;High;M79001;X
355002;Head of Government;카를로스 우클레스 ;1933;1964;1999;PA;Silent Workhorse;High;M79002;X
355003;Foreign Minister;티부르키오 카리아스 ;1933;1964;1999;PA;Iron Fisted Brute;Very High;M79001;X
355004;Minister of Armament;로베르토 바인 ;1933;1964;1999;SC;laissez-faire capitalist;Medium;M79004;X
355005;Minister of Security;카를로스 우클레스 ;1933;1964;1999;PA;Silent Lawyer;Medium;M79002;X
355006;Head of Military Intelligence;라이문도 가르시아 ;1933;1964;1999;PA;Logistics Specialist;Medium;M79006;X
355007;Chief of Staff;티부르키오 카리아스 ;1933;1964;1999;PA;School of Psychology;Very High;M79001;X
355008;Chief of Army;라이문도 가르시아 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M79006;X
355009;Chief of Navy;카를로스 코메사 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M79009;X
355010;Chief of Air Force;구스타보 슈미트 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M79010;X
355011;Head of State;티부르키오 카리아스 ;1937;1964;1999;SC;Popular Figurehead;High;M79001;X
355012;Head of State;호세 주니가 우에테 ;1937;1964;1999;SL;Barking Buffoon;High;M79032;X
355013;Head of State;후안 B. 바야다레스 ;1939;1964;1999;SL;Insignificant Layman;High;M79011;X
355014;Head of State;라울 산체스 바나도스 ;1937;1964;1999;LWR;Autocratic Charmer;High;M79021;X
355015;Head of State;오를란도 히미노 ;1945;1964;1999;SD;Die-hard Reformer;High;M79036;X
355016;Head of Government;카를로스 우클레스 ;1937;1964;1999;SC;Silent Workhorse;High;M79002;X
355017;Head of Government;티부르키오 카리아스 ;1941;1964;1999;SC;Old General;High;M79001;X
355018;Head of Government;아브라암 칼데론 ;1943;1964;1999;SC;Political Protege;High;M79039;X
355019;Head of Government;후안 마누엘 갈베스 ;1945;1964;1999;SC;Old General;High;M79017;X
355020;Head of Government;후안 B. 바야다레스 ;1937;1964;1999;SL;Smiling Oilman;High;M79011;X
355021;Head of Government;훌리오 로사노 디아스 ;1945;1964;1999;SL;Ambitious Union Boss;High;M79042;X
355022;Head of Government;에르난 페르난데스 실바 ;1937;1964;1999;LWR;Silent Workhorse;High;M79043;X
355023;Head of Government;후안 코디고 라미레스 ;1941;1964;1999;LWR;Happy Amateur;High;M79022;X
355024;Head of Government;프란시스코 S. 타피오 ;1945;1964;1999;SD;Flamboyant Tough Guy;High;M79045;X
355025;Foreign Minister;라우레아노 라이네스 ;1937;1964;1999;SC;Great Compromiser;High;M79046;X
355026;Foreign Minister;훌리오 로사노 디아스 ;1937;1964;1999;SC;Ideological Crusader;High;M79042;X
355027;Foreign Minister;살바도르 아기레 ;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M79048;X
