HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
105001;Head of State;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1933;1964;1999;FA;Resigned Generalissimo;High;M21001;X
105002;Head of Government;±¯ºÆ½Ã ÁÙ·¯ ;1932;1937;1999;FA;Flamboyant Tough Guy;High;M21002;X
105003;Foreign Minister;Ä«´Ï¾î Ä®¸¸ ;1933;1964;1999;FA;Great Compromiser;Medium;M21003;X
105004;Minister of Armament;ÆÛºñ´Ï Æ¼Çã¸Þ¸£ ;1933;1964;1999;FA;Military Entrepreneur;Medium;9939;X
105005;Minister of Security;ÄÚÁî¸Ó ¹ÌÅ¬·Î½Ã ;1933;1964;1999;FA;Prince of Terror;Medium;M21005;X
105006;Head of Military Intelligence;±¯ºÆ½Ã ÁÙ·¯ ;1933;1964;1999;FA;Political Specialist;High;M21002;X
105007;Chief of Staff;Çî³×¿¹ÀÌ ±¸½´Å¸ºê ;1933;1964;1999;FA;School of Mass Combat;High;9893;X
105008;Chief of Army;½´Èåº¸ÀÌ ÀÌ½´Æ®¹Ý ;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;M21008;X
105009;Chief of Navy;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M21001;X
105010;Chief of Air Force;Åä¸ð¸£ ¶ó½½·Î ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M21010;X
105011;Head of State;»ì·¯½Ã Æä·»Ã÷ ;1944;1964;1999;NS;Powerhungry Demagogue;High;M21021;X
105012;Head of State;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1944;1964;1999;NS;Resigned Generalissimo;High;M21001;X
105013;Head of State;¿ÀÅä Æù ÇÕ½ººÎ¸£Å© ;1945;1964;1999;PA;Benevolent Gentleman;High;M21044;X
105014;Head of State;Æä¿¹¸£ Ä«·ÎÀÌ ;1945;1964;1999;SD;Insignificant Layman;High;M21045;X
105015;Head of State;Æ¿Áö Á¹Åº ;1945;1964;1999;SC;Autocratic Charmer;High;M21011;X
105016;Head of State;Æ¿Áö Á¹Åº ;1947;1964;1999;ST;Autocratic Charmer;High;M21011;X
105017;Head of State;Á¦µ¥´Ï º§·¯ ;1933;1964;1999;ST;Stern Imperialist;High;M21031;X
105018;Head of State;·¯ÀÌÅ© ¶ó½½·Î ;1939;1964;1999;ST;Autocratic Charmer;High;M21035;X
105019;Head of State;¶óÄÚ½Ã ¸¶Â÷½Ã ;1944;1964;1999;ST;Powerhungry Demagogue;High;M21032;X
105020;Head of Government;½ºÅä¿©ÀÌ µÇ¸Þ ;1939;1964;1999;NS;Happy Amateur;High;M21051;X
105021;Head of Government;¶óÃ÷ ¿¹³ú ;1944;1964;1999;NS;Political Protege;High;M21022;X
105022;Head of Government;´õ¶ó´Ï Ä®¸¸ ;1933;1964;1999;FA;Smiling Oilman;High;M21053;X
105023;Head of Government;ÀÓ·¹Áö º§·¯ ;1938;1964;1999;FA;Corporate Suit;High;M21024;X
105024;Head of Government;ÅÚ·¹Å° ÆÈ ;1939;1964;1999;FA;Naive Optimist;High;M21055;X
105025;Head of Government;¹Ù¸£µµ½Ã ¶ó½½·Î ;1941;1964;1999;FA;Silent Workhorse;High;M21056;X
105026;Head of Government;Ä®·¯ÀÌ ¹ÌÅ¬·Î½Ã ;1942;1964;1999;FA;Happy Amateur;High;M21057;X
105027;Head of Government;·¯Ä¿Åä½Ã °ÔÀú ;1944;1964;1999;FA;Old General;High;M21058;X
105028;Head of Government;¹ÌÅ¬·Î½º º§·¯ ;1944;1964;1999;PA;Corporate Suit;High;M21059;X
105029;Head of Government;¹ö¸£ÅÍ Ä¿·ÎÀÌ ;1945;1964;1999;PA;Old General;High;M21060;X
105030;Head of Government;¼­Ã³Å°Ä¡ ¾Æ¸£ÆÄµå ;1945;1964;1999;SD;Happy Amateur;High;M21061;X
105031;Head of Government;Æ¿Áö Á¹Åº ;1933;1964;1999;SC;Silent Workhorse;High;M21011;X
105032;Head of Government;³ÊÁö Æä·»Ã÷ ;1946;1964;1999;SC;Happy Amateur;High;M21012;X
105033;Head of Government;·¯ÀÌÅ© ¶ó½½·Î ;1933;1964;1999;ST;Flamboyant Tough Guy;High;M21035;X
105034;Head of Government;¶óÄÚ½Ã ¸¶Ã³½Ã ;1944;1964;1999;ST;Local tyrant;High;M21032;X
105035;Foreign Minister;½ºÅä¿©ÀÌ µÇ¸Þ ;1944;1964;1999;NS;Ideological Crusader;Medium;M21051;X
105036;Foreign Minister;ÄÉ¸Þ´Ï °¡º¸¸£ ;1944;1964;1999;NS;Great Compromiser;Medium;M21067;X
105037;Foreign Minister;ÀÓ·¹Áö º§·¯ ;1938;1964;1999;FA;Ideological Crusader;Medium;M21024;X
105038;Foreign Minister;Â÷Å° ÀÌ½´Æ®¹Ý ;1939;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M21070;X
105039;Foreign Minister;¹Ù¸£µµ½Ã ¶ó½½·Î ;1941;1964;1999;FA;Iron Fisted Brute;Medium;M21056;X
105040;Foreign Minister;Çî³×¿¹ÀÌ ±¸½´Å¸ºê ;1944;1964;1999;FA;General Staffer;High;9893;X
105041;Foreign Minister;ÄÊ½º ¿¡µå°Å¸£ ;1944;1964;1999;PA;Iron Fisted Brute;Medium;M21073;X
105042;Foreign Minister;¹öÀÌÄ¡ ¿£µå·¹ ;1945;1964;1999;PA;General Staffer;Medium;M21074;X
105043;Foreign Minister;¼­Ã³Å°Ä¡ ¾Æ¸£ÆÄµå ;1945;1964;1999;SD;Biased Intellectual;High;M21061;X
105044;Foreign Minister;µ¥¾îÅ© ÇÁ·±ÃÊÀÌ½Ã ;1933;1964;1999;SC;Apologetic Clerk;Medium;M21076;X
105045;Foreign Minister;³ÊÁö Æä·»Ã÷ ;1939;1964;1999;SC;Great Compromiser;High;M21012;X
105046;Foreign Minister;ÁÌÁË½Ã ¾ß³ë½Ã ;1944;1964;1999;SC;Great Compromiser;Medium;M21013;X
105047;Foreign Minister;¸ô³ª¸£ ¿¡¸®Å© ;1933;1964;1999;ST;Ideological Crusader;Medium;M21079;X
105048;Foreign Minister;ÀýÄ¿ ¸ÓÅÍ ;1944;1964;1999;ST;General Staffer;Medium;M21037;X
105049;Foreign Minister;·¯ÀÌÅ© ¶ó½½·Î ;1947;1964;1999;ST;Iron Fisted Brute;Medium;M21035;X
105050;Minister of Armament;¶óÃ÷ ¿¹³ú ;1939;1964;1999;NS;Planned economy proponent;Medium;M21022;X
105051;Minister of Armament;ÀÓ·¹Áö º§·¯ ;1933;1964;1999;FA;Infantry Proponent;Medium;M21024;X
105052;Minister of Armament;·¹¸Þ´Ï ·¯¿ä½Ã ;1938;1964;1999;FA;Keynesian economy;Medium;M21084;X
105053;Minister of Armament;¿£µå·¹ ¶ó½½·Î ;1944;1964;1999;FA;Strategic Air Proponent;Medium;M21085;X
105054;Minister of Armament;¿ÃÆ®¹Ù´Ï ÀÓ·¹ ;1944;1964;1999;PA;Balanced budget economy;Medium;M21086;X
105055;Minister of Armament;ÄÊ½º ¿¡µå°Å¸£ ;1945;1964;1999;PA;Corrupt Kleptocrat;Medium;M21073;X
105056;Minister of Armament;¿¡Æ¼¿£³× µ¥ ºóÄ¡Å¬·¹¸£ ;1946;1964;1999;PA;Resource Industrialist;Medium;M21088;X
105057;Minister of Armament;Ä¿½´Æ®³×¸£ ·¹¼è ;1945;1964;1999;SD;Administrative Genius;Medium;M21089;X
105058;Minister of Armament;¾îÆ÷´Ï ¾óº£¸£Æ® ;1933;1964;1999;SC;Strategic Air Proponent;Medium;M21090;X
105059;Minister of Armament;¿ÃÀúÀÌ ¹ÌÅ¬·Î½Ã ;1939;1964;1999;SC;Resource Industrialist;Medium;M21014;X
105060;Minister of Armament;Á¦µ¥´Ï º§·¯ ;1933;1964;1999;ST;Infantry Proponent;High;M21031;X
105061;Minister of Armament;°Ô·Ú ¿¡¸£³ú ;1939;1964;1999;ST;Planned economy proponent;Medium;M21093;X
105062;Minister of Armament;¹ö½Ã Á¹Åº ;1946;1964;1999;ST;Military Entrepreneur;Medium;M21034;X
105063;Minister of Security;¿©·Î½Ã ¾ðµµ¸£ ;1939;1964;1999;NS;Prince of Terror;Medium;M21025;X
105064;Minister of Security;¹öÀÌ³Ê °¡º¸¸£ ;1944;1964;1999;NS;Man of the People;Medium;M21096;X
105065;Minister of Security;´õ¶ó´Ï Ä®¸¸ ;1938;1964;1999;FA;Back Stabber;Medium;M21053;X
105066;Minister of Security;ÅÚ·¹Å° ÆÈ ;1939;1964;1999;FA;Compassionate Gentleman;Low;M21055;X
105067;Minister of Security;ÄÉ·¹½ºÅ×½´ Æä·»Ã÷ ;1933;1964;1999;FA;Secret police chief;High;M21100;X
105068;Minister of Security;Ä®·¯ÀÌ ¹ÌÅ¬·Î½Ã ;1942;1964;1999;FA;Man of the People;Medium;M21057;X
105069;Minister of Security;¼¿ Ä®¸¸ ;1944;1964;1999;FA;Crime Fighter;Medium;M21103;X
105070;Minister of Security;ÄÊ½º ¿¡µå°Å¸£ ;1944;1964;1999;PA;Crooked Kleptocrat;Medium;M21073;X
105071;Minister of Security;¹öÅ° ¶ó½½·Î ;1945;1964;1999;PA;Crime Fighter;Medium;M21105;X
105072;Minister of Security;·¹¹öÀÌ ¿äÁ¦ÇÁ ;1945;1964;1999;SD;Crime Fighter;Medium;M21107;X
105073;Minister of Security;¼¿ ¿äÁ¦ÇÁ ;1933;1964;1999;SC;Efficient Sociopath;Medium;M21108;X
105074;Minister of Security;º»ÃÊ½Ã ¹ÌÅ¬·Î½Ã ;1944;1964;1999;SC;Silent Lawyer;Medium;M21109;X
105075;Minister of Security;ÆÛ¸£Ä¿½Ã ¹ÌÇÏÀÌ ;1933;1964;1999;ST;Prince of Terror;Medium;M21110;X
105076;Minister of Security;·¯ÀÌÅ© ¶ó½½·Î ;1939;1964;1999;ST;Crime Fighter;Medium;M21035;X
105077;Minister of Security;¶óÄÚ½Ã ¸¶Â÷½Ã ;1944;1964;1999;ST;Secret police chief;Very High;M21032;X
105078;Minister of Security;³ªÁö ÀÓ·¹ ;1945;1964;1999;ST;Back Stabber;Medium;M21113;X
105079;Minister of Security;¿¡¸£µ¥ÀÌ Æä·»Ã÷ ;1947;1964;1999;ST;Compassionate Gentleman;Medium;M21114;X
105080;Head of Military Intelligence;·¯ÀÌ´Ï½Ã Æä·»Ã÷ ;1944;1964;1999;NS;Dismal Enigma;Medium;M21115;X
105081;Head of Military Intelligence;¿©·Î½Ã ¾ðµµ¸£ ;1944;1964;1999;NS;Political Specialist;Medium;M21025;X
105082;Head of Military Intelligence;·¹ÁË ¾ðµµ¸£Ä¿ ;1933;1964;1999;FA;Technical Specialist;Medium;M21117;X
105083;Head of Military Intelligence;¿ìÀÌ¹Ù¸® ¹ÌÇÏÀÌ ;1939;1964;1999;FA;Logistics Specialist;High;M21118;X
105084;Head of Military Intelligence;ÀÚÄÚ ¾ðµå¶ó½Ã ;1941;1964;1999;FA;Political Specialist;Medium;M21119;X
105085;Head of Military Intelligence;ÁÙ·¯ Ä«´Ù¸£ ;1943;1964;1999;FA;Dismal Enigma;Medium;M21120;X
105086;Head of Military Intelligence;ÄÊ½º ¿¡µå°Å¸£ ;1944;1964;1999;PA;Naval Intelligence Specialist;Medium;M21073;X
105087;Head of Military Intelligence;ÄÉ·¹½ºÅ×½´ Æä·»Ã÷ ;1945;1964;1999;PA;Industrial Specialist;Medium;M21100;X
105088;Head of Military Intelligence;Æä¿¹¸£ Ä«·ÎÀÌ ;1945;1964;1999;SD;Industrial Specialist;Low;M21045;X
105089;Head of Military Intelligence;Æ¿Áö Á¹Åº ;1933;1964;1999;SC;Dismal Enigma;Medium;M21011;X
105090;Head of Military Intelligence;¼¿ ¿äÁ¦ÇÁ ;1944;1964;1999;SC;Political Specialist;Medium;M21108;X
105091;Head of Military Intelligence;°Ô·Ú ¿¡¸£³ú ;1933;1964;1999;ST;Logistics Specialist;Medium;M21093;X
105092;Head of Military Intelligence;·¯ÀÌÅ© ¶ó½½·Î ;1946;1964;1999;ST;Political Specialist;Medium;M21035;X
105093;Chief of Staff;Ã³ÅÍÀÌ ·¯¿ä½Ã ;1939;1964;1999;NS;School of Manoeuvre;Medium;M21128;X
105094;Chief of Staff;º£·¹±×ÇÇ Ä«·ÎÀÌ ;1944;1964;1999;NS;School of Manoeuvre;Medium;M21129;X
105095;Chief of Staff;¹ö¸£Å¸ Ä«·ÎÀÌ ;1938;1964;1999;FA;School of Psychology;Medium;M21060;X
