ICL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
360001;Head of State;스베이든 비오에르든손 ;1933;1964;1999;SL;Stern Imperialist;High;M581001;X
360002;Head of Government;헤르만 요나손 ;1933;1964;1999;SL;Smiling Oilman;High;M581002;X
360003;Foreign Minister;올라뷔르 소르스 ;1933;1964;1999;ML;Ideological Crusader;High;M581003;X
360004;Minister of Armament;에이나르 소르다르손 ;1933;1964;1999;SL;Infantry Proponent;Medium;M581004;X
360005;Minister of Security;크뉘드 디비 ;1933;1964;1999;SL;Crime Fighter;Medium;M581005;X
360006;Head of Military Intelligence;스테반 J. 스테반손 ;1933;1964;1999;SL;Political Specialist;Medium;M581006;X
360007;Chief of Staff;소르킬 손네 ;1933;1964;1999;SL;School of Defence;Medium;M581007;X
360008;Chief of Army;발테르 윌리크 ;1933;1964;1999;SL;Guns and Butter Doctrine;Medium;M581008;X
360009;Chief of Navy;잉그바르 팔마손 ;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M581009;X
360010;Chief of Air Force;야코브 R.V. 뫼들레르 ;1933;1964;1999;SL;Air Superiority Doctrine;Medium;M581010;X
360011;Foreign Minister;스테반 J. 스테반손 ;1942;1964;1999;SD;Great Compromiser;High;M581006;X
360012;Minister of Armament;잉그바르 팔마손 ;1942;1964;1999;ML;Submarine Proponent;Medium;M581009;X
360013;Minister of Security;야코브 R.V. 뫼들레르 ;1942;1964;1999;SL;Man of the People;Medium;M581010;X
360014;Head of Military Intelligence;요에르겐 F.T. 로들레 ;1942;1964;1999;SL;Naval Intelligence Specialist;Medium;M581014;X
360015;Chief of Staff;외이귀스트 아렌드뤼프 ;1942;1964;1999;SL;School of Mass Combat;Medium;M581015;X
360016;Chief of Army;카이 함메리크 ;1942;1964;1999;SL;Decisive Battle Doctrine;Medium;M581016;X
360017;Chief of Navy;푀일 이프센 ;1942;1964;1999;SL;Open Seas Doctrine;Medium;M581017;X
360018;Chief of Air Force;아스게르 E.V. 그란디에안 ;1942;1964;1999;SL;Naval Aviation Doctrine;Medium;9866;X
360019;Head of State;아스게이르 아스게이르손 ;1952;1964;1999;SL;Pig-headed Isolationist;High;M581019;X
360020;Head of Government;올라뷔르 소르스 ;1942;1964;1999;ML;Flamboyant Tough Guy;High;M581003;X
360021;Foreign Minister;빌햘뮈르 소르 ;1942;1964;1999;SL;Apologetic Clerk;High;M581021;X
360022;Head of Government;스테반 J. 스테반손 ;1944;1964;1999;SD;Ambitious Union Boss;High;M581006;X
360023;Minister of Armament;페테르 마그뉘손 ;1944;1964;1999;ML;Submarine Proponent;Medium;M581023;X
360024;Minister of Security;핀뉘르 요엔손 ;1944;1964;1999;ML;Back Stabber;Medium;M581024;X
360025;Head of Military Intelligence;잉그바르 팔마손 ;1944;1964;1999;SL;Naval Intelligence Specialist;Medium;M581009;X
360026;Foreign Minister;비아르드니 베네딕츠손 ;1947;1964;1999;SD;Great Compromiser;High;M581026;X
360027;Minister of Armament;요한 T. 요세프손 ;1947;1964;1999;SD;Military Entrepreneur;Medium;M581027;X
360028;Minister of Security;비아르드니 베네딕츠손 ;1947;1964;1999;SD;Compassionate Gentleman;Medium;M581026;X
360029;Minister of Armament;비오에르든 올로프슨 ;1949;1964;1999;ML;Battle Fleet Proponent;Medium;M581029;X
360030;Head of Military Intelligence;스테잉그리뮈르 스테인트호르손 ;1949;1964;1999;SD;Industrial Specialist;Medium;M581030;X
360031;Head of Government;스테잉그리뮈르 스테인트호르손 ;1950;1964;1999;SD;Silent Workhorse;High;M581030;X
360032;Minister of Armament;에이스테이든 요엔손 ;1950;1964;1999;SD;Administrative Genius;Medium;M581032;X
360033;Foreign Minister;그뷔드뮌뒤르 그뷔드뮌손 ;1953;1964;1999;ML;The Cloak N Dagger Schemer;High;M581033;X
360034;Minister of Security;에이나르 아르드노르손 ;1953;1964;1999;ML;Crime Fighter;Medium;M581034;X
