IRQ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
365001;Head of State;가지 빈 파이살 ;1933;1940;1999;SC;Autocratic Charmer;High;M91001;X
365002;Head of Government;야신 파샤 알 하시미 ;1924;1937;1938;SC;Naive Optimist;High;M91002;X
365003;Foreign Minister;누리 앗 사이드 ;1930;1964;1999;SC;General Staffer;Medium;M91003;X
365004;Minister of Armament;가지 빈 파이살 ;1933;1940;1999;SC;laissez-faire capitalist;High;M91001;X
365005;Minister of Security;알리 아븐 후세인 ;1933;1964;1999;SC;Back Stabber;Medium;M91005;X
365006;Head of Military Intelligence;야신 파샤 알 하시미 ;1924;1937;1938;SC;Naval Intelligence Specialist;High;M91002;X
365007;Chief of Staff;바크르 시드키 ;1933;1964;1999;SC;School of Defence;Low;M91007;X
365008;Chief of Army;프레드릭 G. 피크 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M91008;X
365009;Chief of Navy;A.R.H. 나이 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M91009;X
365010;Chief of Air Force;알리 벤 자와드 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M91010;X
365011;Head of State;가지 빈 파이살 ;1933;1940;1999;LWR;Autocratic Charmer;High;M91001;X
365012;Head of State;가지 빈 파이살 ;1933;1940;1999;PA;Autocratic Charmer;High;M91001;X
365013;Head of State;가지 빈 파이살 ;1933;1940;1999;FA;Autocratic Charmer;High;M91001;X
365014;Head of State;압드 알 일라 ;1939;1964;1999;LWR;Stern Imperialist;High;M91035;X
365015;Head of State;압드 알 일라 ;1939;1964;1999;SC;Stern Imperialist;High;M91035;X
365016;Head of State;압드 알 일라 ;1939;1964;1999;PA;Stern Imperialist;High;M91035;X
365017;Head of State;압드 알 일라 ;1939;1964;1999;FA;Stern Imperialist;High;M91035;X
365018;Head of State;파이살 빈 가지 ;1939;1964;1999;LWR;Benevolent Gentleman;High;M91039;X
365019;Head of State;파이살 빈 가지 ;1939;1964;1999;PA;Benevolent Gentleman;High;M91039;X
365020;Head of State;파이살 빈 가지 ;1939;1964;1999;FA;Benevolent Gentleman;High;M91039;X
365021;Head of Government;무사 알 알라미 ;1933;1964;1999;SC;Silent Workhorse;High;M91043;X
365022;Head of Government;타하 파샤 알 하시미 ;1941;1964;1999;PA;Happy Amateur;High;M91044;X
365023;Head of Government;라그헤브 나샤시비 ;1946;1964;1999;SC;Flamboyant Tough Guy;High;M91045;X
365024;Head of Government;아잠 파샤 ;1933;1964;1999;PA;Old General;High;M91046;X
365025;Head of Government;자밀 알 미드파이 ;1933;1964;1999;PA;Smiling Oilman;High;M91047;X
365026;Head of Government;누리 앗 사이드 ;1930;1964;1999;PA;Old General;High;M91003;X
365027;Head of Government;하므디 알 파차치 ;1944;1964;1999;PA;Silent Workhorse;High;M91049;X
