ISR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
675001;Head of State;하임 바이츠만 ;1933;1964;1999;SL;Benevolent Gentleman;High;M559001;X
675002;Head of Government;다비드 벤 구리온 ;1933;1964;1999;SL;Ambitious Union Boss;High;M559002;X
675003;Foreign Minister;모셰 샤레트 ;1933;1964;1999;SL;Biased Intellectual;High;M559003;X
675004;Minister of Armament;레비 에슈콜 ;1933;1964;1999;SL;Resource Industrialist;Medium;M559004;X
675005;Minister of Security;골다 메이어 ;1933;1964;1999;SL;Man of the People;Medium;M559005;X
675006;Head of Military Intelligence;이갈 알론 ;1933;1964;1999;SL;Logistics Specialist;Medium;M559006;X
675007;Chief of Staff;이가엘 야딘 ;1933;1964;1999;SL;School of Fire Support;Medium;M559007;X
675008;Chief of Army;이갈 알론 ;1933;1964;1999;SL;Guns and Butter Doctrine;Medium;M559008;X
675009;Chief of Navy;예디디아 야리 ;1933;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M559009;X
675010;Chief of Air Force;하임 라스코프 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M559010;X
675011;Head of State;모셰 샤피라 ;1933;1964;1999;PA;Stern Imperialist;High;M559011;X
675012;Head of State;하임 아를로소로프 ;1933;1964;1999;LE;Barking Buffoon;High;M559012;X
675013;Head of Government;다니엘 오스테르 ;1933;1964;1999;PA;Backroom Backstabber;High;M559013;X
675014;Head of Government;아브라함 헤셸 ;1933;1964;1999;LE;Naive Optimist;High;M559014;X
675015;Foreign Minister;제라흐 와르나프티그 ;1933;1964;1999;PA;Ideological Crusader;High;M559015;X
675016;Foreign Minister;핀하스 레본 ;1943;1964;1999;SL;Great Compromiser;High;M559016;X
675017;Foreign Minister;이치하크 벤 즈비 ;1933;1964;1999;LE;Iron Fisted Brute;High;M559017;X
675018;Foreign Minister;이치하크 타벤킨 ;1939;1964;1999;LE;The Cloak N Dagger Schemer;High;M559018;X
675019;Minister of Armament;바디아 요세프 ;1933;1964;1999;PA;Infantry Proponent;Medium;M559019;X
675020;Minister of Armament;메나쳄 우시시킨 ;1937;1964;1999;PA;Strategic Air Proponent;Medium;M559020;X
675021;Minister of Armament;바차간 멜토니안 ;1940;1964;1999;PA;laissez-faire capitalist;Medium;M559021;X
675022;Minister of Armament;카디시 루즈 ;1940;1964;1999;SL;Battle Fleet Proponent;Medium;M559022;X
675023;Minister of Armament;요세프 스피린자크 ;1942;1964;1999;SL;Air Superiority Proponent;Medium;M559023;X
675024;Minister of Armament;엘리에제르 카플란 ;1945;1964;1999;SL;Military Entrepreneur;Medium;M559024;X
675025;Minister of Armament;파블로스 레반 ;1933;1964;1999;LE;Tank Proponent;Medium;M559025;X
675026;Minister of Security;나훔 니르 ;1933;1964;1999;PA;Back Stabber;Medium;M559026;X
675027;Minister of Security;메나헴 바시킨드 ;1939;1964;1999;PA;Compassionate Gentleman;Medium;M559027;X
675028;Minister of Security;메나헴 베긴 ;1940;1964;1999;PA;Efficient Sociopath;Medium;M559028;X
675029;Minister of Security;모셰 하임 샤피라 ;1949;1964;1999;SL;Silent Lawyer;Medium;M559029;X
675030;Minister of Security;이스라엘 로카치 ;1952;1964;1999;SD;Crime Fighter;Medium;M559030;X
675031;Minister of Security;모셰 카츠넬손 ;1941;1964;1999;LE;Prince of Terror;Medium;M559031;X
675032;Head of Military Intelligence;이스라엘 바르 예후다 ;1933;1964;1999;PA;Political Specialist;Medium;M559032;X
675033;Head of Military Intelligence;메나헴 멘델 리프슐츠 ;1937;1964;1999;PA;Dismal Enigma;Medium;M559033;X
675034;Head of Military Intelligence;핀하스 사피르 ;1942;1964;1999;SL;Technical Specialist;Medium;M559034;X
