ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
25001;Head of State;비토리오 에마누엘레 3세 ;1933;1964;1999;FA;Weary Stiffneck;High;6377;X
25002;Head of Government;베니토 무솔리니 ;1933;1964;1999;FA;Imperialist buffoon;High;2688;X
25003;Foreign Minister;잔 갈레아초 치아노 ;1933;1964;1999;FA;Fascist Crusader;Very High;6378;X
25004;Minister of Armament;베니토 무솔리니 ;1933;1964;1999;FA;Autarkic Fascist;Very High;2688;X
25005;Minister of Security;기도 부파리니 기디 ;1933;1964;1999;FA;Man of the People;Very High;6380;X
25006;Head of Military Intelligence;체자레 아모 우이디 ;1933;1964;1999;FA;Industrial Specialist;Very High;9938;X
25007;Chief of Staff;프란체스코 그라치올리 ;1933;1964;1999;FA;School of Mass Combat;Medium;6381;X
25008;Chief of Army;알베르토 파리아니 ;1933;1964;1999;FA;Undersecretary of War;Medium;M3008;X
25009;Chief of Navy;도메니코 카바나리 ;1933;1964;1999;FA;Old School Admiral;Medium;6382;X
25010;Chief of Air Force;주세페 발레 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M3010;X
25011;Minister of Armament;A. 데 마리니스 데 리치아 ;1933;1964;1999;SL;Administrative Genius;High;M3014;X
25012;Head of Military Intelligence;움베르토 리치 ;1933;1964;1999;SC;Industrial Specialist;High;M3015;X
25013;Chief of Army;엔리코 마테이 ;1943;1964;1999;SC;Decisive Battle Doctrine;High;M3018;X
25014;Head of State;비토리오 에마누엘레 3세 ;1933;1964;1999;PA;Weary Stiffneck;High;6377;X
25015;Head of State;비토리오 에마누엘레 3세 ;1933;1964;1999;SC;Weary Stiffneck;High;6377;X
25016;Head of State;베니토 무솔리니 ;1933;1964;1999;NS;Barking Buffoon;High;2688;X
25017;Head of State;파올로 타온 디 레벨 ;1933;1964;1999;NS;Resigned Generalissimo;High;M3035;X
25018;Head of State;움베르토 2세 ;1933;1964;1999;PA;Autocratic Charmer;High;7370;X
25019;Head of State;움베르토 2세 ;1933;1964;1999;SC;Autocratic Charmer;High;7370;X
25020;Head of State;알치데 데 가스페리 ;1933;1964;1999;SC;die-hard reformer;High;M3038;X
25021;Head of State;엔리코 데 니콜라 ;1933;1964;1999;SC;Benevolent Gentleman;High;M3039;X
25022;Head of State;엔리코 데 니콜라 ;1933;1964;1999;SL;Benevolent Gentleman;High;M3039;X
