JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
50001;Head of State;히로히토 ;1901;1990;1990;PA;Puppet Emperor;High;M5001;X
50002;Head of Government;오카다 게이스케 ;1912;1953;1953;PA;Happy Amateur;High;M5002;X
50003;Foreign Minister;히로타 고키 ;1913;1949;1949;PA;Great Compromiser;High;M5003;X
50004;Minister of Armament;마치다 주지 ;1898;1947;1947;SC;Laissez-Faire Capitalist;High;M5004;X
50005;Minister of Security;고토 후미오 ;1919;1981;1981;SC;Silent Lawyer;High;9935;X
50006;Head of Military Intelligence;오카무라 야스지 ;1919;1967;1967;PA;Political Specialist;Very Low;M5006;X
50007;Chief of Staff;간인노미야 고토히토 ;1931;1946;1946;PA;School of Defence;Very Low;M5007;X
50008;Chief of Army;간인노미야 고토히토 ;1931;1946;1946;PA;Static Defence Doctrine;Very Low;M5007;X
50009;Chief of Navy;오스미 미네오 ;1911;1942;1942;FA;Power Projection Doctrine;Very High;M5009;X
50010;Chief of Air Force;야마모토 이소로쿠 ;1919;1944;1944;FA;Naval Aviation Doctrine;Very High;M5010;X
50011;Head of State;야스히토 ;1902;1954;1954;PA;Ruthless Powermonger;Very High;M5207;X
50012;Head of State;노사카 산조 ;1892;1994;1994;SD;Barking Buffoon;High;M5011;X
50013;Head of Government;하야시 센주로 ;1920;1944;1944;PA;Smiling Oilman;High;M5033;X
50014;Head of Government;고노에 후미마로 ;1935;1946;1946;PA;Flamboyant Tough Guy;High;M5034;X
50015;Head of Government;아베 노부유키 ;1919;1954;1954;PA;Political Protege;High;M5035;X
50016;Head of Government;요나이 미쓰마사 ;1924;1949;1949;PA;Ambitious Union Boss;High;M5036;X
50017;Head of Government;스즈키 간타로 ;1912;1949;1949;PA;Corporate Suit;High;M5037;X
50018;Head of Government;히가시쿠니 나루히코 ;1931;1991;1991;PA;Silent Workhorse;High;M5038;X
50019;Head of Government;데라우치 히사이치 ;1923;1947;1947;PA;Naive Optimist;High;M5039;X
50020;Head of Government;히로타 고키 ;1922;1949;1949;FA;Happy Amateur;High;M5003;X
50021;Head of Government;히라누마 기치로 ;1911;1953;1953;FA;Old Admiral;High;M5041;X
50022;Head of Government;도조 히데키 ;1928;1949;1949;FA;Razor;High;M5042;X
50023;Head of Government;고이소 구니아키 ;1924;1951;1951;FA;Corporate Suit;High;M5043;X
50024;Head of Government;고토 후미오 ;1928;1981;1981;SD;Naive Optimist;High;9935;X
50025;Head of Government;가타야마 데쓰 ;1931;1979;1979;SD;Political Protege;High;M5027;X
50026;Head of Government;우가키 가즈시게 ;1940;1957;1957;SC;Silent Workhorse;High;M5028;X
50027;Head of Government;스즈키 기사부로 ;1911;1941;1941;SC;Happy Amateur;High;M5029;X
50028;Head of Government;시데하라 기주로 ;1916;1952;1952;SC;Naive Optimist;High;M5030;X
50029;Head of Government;요시다 시게루 ;1922;1968;1968;SC;Backroom Backstabber;High;M5031;X
50030;Head of Government;하토야마 이치로 ;1927;1960;1960;SC;Political Protege;High;M5032;X
50031;Head of Government;미야모토 겐지 ;1952;1999;1999;LE;Smiling Oilman;High;M5012;X
50032;Foreign Minister;노사카 산조 ;1927;1994;1994;SD;The Cloak N Dagger Schemer;Low;M5011;X
50033;Foreign Minister;아시다 히토시 ;1922;1960;1960;SL;Apologetic Clerk;High;M5046;X
50034;Foreign Minister;요시자와 겐키치 ;1909;1966;1966;SC;Ideological Crusader;High;M5047;X
50035;Foreign Minister;오카다 게이스케 ;1903;1953;1953;SC;Iron Fisted Brute;High;M5002;X
50036;Foreign Minister;스즈키 기사부로 ;1902;1941;1941;SC;The Cloak N Dagger Schemer;Medium;M5029;X
50037;Foreign Minister;시게미쓰 마모루 ;1922;1958;1958;SC;Great Compromiser;Medium;M5050;X
50038;Foreign Minister;요시다 시게루 ;1913;1968;1968;SC;Apologetic Clerk;Medium;M5031;X
50039;Foreign Minister;사토 나오타케 ;1917;1972;1972;PA;The Cloak N Dagger Schemer;Medium;M5053;X
50040;Foreign Minister;우가키 가즈시게 ;1931;1957;1957;PA;Biased Intellectual;Medium;M5028;X
