KOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
265001;Head of State;이승만 ;1933;1964;1999;SC;Stern Imperialist;Medium;M578001;X
265002;Head of Government;김구 ;1933;1964;1999;SC;Flamboyant Tough Guy;Medium;M578002;X
265003;Foreign Minister;김규식 ;1933;1964;1999;SC;Great Compromiser;Medium;M578003;X
265004;Minister of Armament;김창숙 ;1933;1964;1999;SC;Military Entrepreneur;Medium;M578004;X
265005;Minister of Security;조만식 ;1933;1964;1999;SC;Prince of Terror;Medium;M578005;X
265006;Head of Military Intelligence;조소앙 ;1933;1964;1999;SC;Logistics Specialist;Medium;M578006;X
265007;Chief of Staff;채병덕 ;1933;1964;1999;SC;School of Defence;Medium;M578007;X
265008;Chief of Army;지청천 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M578008;X
265009;Chief of Navy;손원일 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M578009;X
265010;Chief of Air Force;이범석 ;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M578010;X
265011;Head of State;여운형 ;1933;1964;1999;LWR;Weary Stiffneck;Medium;M578011;X
265012;Head of Government;박헌영 ;1933;1964;1999;LWR;Ambitious Union Boss;Medium;M578012;X
265013;Foreign Minister;김규준 ;1933;1964;1999;LWR;Apologetic Clerk;Medium;M578013;X
265014;Minister of Armament;이동휘 ;1933;1964;1999;LWR;Infantry Proponent;Medium;M578014;X
265015;Minister of Security;이남석 ;1933;1964;1999;LWR;Efficient Sociopath;Medium;M578015;X
265016;Head of Military Intelligence;김창금 ;1933;1964;1999;LWR;Technical Specialist;Medium;M578016;X
265017;Chief of Staff;지청천 ;1933;1964;1999;LWR;School of Psychology;Medium;M578017;X
265018;Chief of Army;김원봉 ;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M578018;X
265019;Chief of Navy;정동주 ;1933;1964;1999;LWR;Open Seas Doctrine;Medium;M578019;X
265020;Chief of Air Force;이재선 ;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M578020;X
265021;Minister of Armament;임은수 ;1933;1964;1999;SC;Military Entrepreneur;Medium;M578021;X
265022;Minister of Security;백차범 ;1933;1964;1999;SC;Silent Lawyer;Medium;M578022;X
265023;Head of Military Intelligence;박정희 ;1933;1964;1999;SC;Political Specialist;Medium;M578023;X
265024;Head of Government;이범석 ;1933;1964;1999;SC;old airmarshal;Medium;M578010;X
265025;Head of Government;신성모 ;1950;1964;1999;SC;Happy Amateur;Medium;M578025;X
