LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
380001;Head of State;에드윈 J. 바클레이 ;1930;1964;1999;SC;Barking Buffoon;High;M69001;X
380002;Head of Government;에드윈 J. 바클레이 ;1930;1964;1999;SC;Happy Amateur;High;M69001;X
380003;Foreign Minister;클레런스 L. 심슨 ;1933;1964;1999;SC;Ideological Crusader;Medium;M69003;X
380004;Minister of Armament;프레데릭 K. 닐슨 ;1933;1964;1999;SC;Infantry Proponent;Medium;M69004;X
380005;Minister of Security;헨리 R. 그라임스 ;1933;1964;1999;SC;Crooked Kleptocrat;Medium;M69005;X
380006;Head of Military Intelligence;헨리 M. 로빈슨 ;1933;1964;1999;SC;Industrial Specialist;Medium;M69006;X
380007;Chief of Staff;벤자민 O. 데이비스 ;1933;1964;1999;SC;School of Mass Combat;Medium;M69007;X
380008;Chief of Army;이베르 버진 ;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M69008;X
380009;Chief of Navy;레지널드 브랜든 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M69009;X
380010;Chief of Air Force;원 로이 찬 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M69010;X
380011;Head of State;윌리엄 S. 터브맨 ;1944;1964;1999;SC;Ruthless Powermonger;High;M69032;X
380012;Head of State;앨버트 포르테 ;1933;1964;1999;SL;Benevolent Gentleman;High;M69033;X
380013;Head of State;아서 스위처 ;1944;1964;1999;SL;Insignificant Layman;High;M69034;X
380014;Head of Government;윌리엄 S. 터브맨 ;1944;1964;1999;SC;Silent Workhorse;High;M69032;X
380015;Head of Government;앨버트 포르테 ;1933;1964;1999;SL;Ambitious Union Boss;High;M69033;X
380016;Head of Government;아서 스위처 ;1944;1964;1999;SL;Corporate Suit;High;M69034;X
380017;Foreign Minister;가브리엘 L. 데니스 ;1944;1964;1999;SC;Iron Fisted Brute;Medium;M69040;X
380018;Foreign Minister;앨버트 포르테 ;1933;1964;1999;SL;Great Compromiser;Medium;M69033;X
380019;Foreign Minister;맥 디실드 ;1944;1964;1999;SL;General Staffer;Medium;M69042;X
380020;Foreign Minister;헨리 R. 그라임스 ;1946;1964;1999;SL;Biased Intellectual;Medium;M69005;X
380021;Minister of Armament;윌리엄 S. 터브맨 ;1940;1964;1999;SC;Corrupt Kleptocrat;Medium;M69032;X
380022;Minister of Armament;코르넬리우스 반 오카스펠 ;1942;1964;1999;SC;Administrative Genius;Medium;M69046;X
380023;Minister of Armament;모몰로 두후티 ;1944;1964;1999;SC;laissez-faire capitalist;Medium;M69047;X
380024;Minister of Armament;맥 디실드 ;1933;1964;1999;SL;Corrupt Kleptocrat;Medium;M69042;X
380025;Minister of Armament;아서 스위처 ;1940;1964;1999;SL;Tank Proponent;Medium;M69034;X
380026;Minister of Armament;헨리 M. 로빈슨 ;1944;1964;1999;SL;Air to Sea Proponent;Medium;M69006;X
380027;Minister of Security;프레이터스 러셀 ;1937;1964;1999;SC;Efficient Sociopath;Medium;M69052;X
380028;Minister of Security;키 핏맨 ;1938;1964;1999;SC;Silent Lawyer;Medium;M69053;X
380029;Minister of Security;벤자민 B. 월레스 ;1940;1964;1999;SC;Man of the People;Medium;M69054;X
380030;Minister of Security;에드윈 J. 바클레이 ;1941;1964;1999;SC;Back Stabber;Medium;M69001;X
380031;Minister of Security;랄프 W. 모리슨 ;1944;1964;1999;SC;Crime Fighter;Medium;M69056;X
380032;Minister of Security;코르넬리우스 반 오카스펠 ;1946;1964;1999;SC;Compassionate Gentleman;Medium;M69046;X
380033;Minister of Security;키 핏맨 ;1933;1964;1999;SL;Silent Lawyer;Medium;M69053;X
380034;Minister of Security;엘리엇 서스턴 ;1940;1964;1999;SL;Man of the People;Medium;M69059;X
380035;Minister of Security;프레이터스 러셀 ;1944;1964;1999;SL;Efficient Sociopath;Medium;M69052;X
380036;Head of Military Intelligence;엘리엇 서스턴 ;1940;1964;1999;SC;Political Specialist;Medium;M69059;X
380037;Head of Military Intelligence;벤자민 O. 데이비스 ;1942;1964;1999;SC;Logistics Specialist;Medium;M69007;X
380038;Head of Military Intelligence;윌리엄 톨버트 ;1946;1964;1999;SC;Technical Specialist;Medium;M69064;X
380039;Head of Military Intelligence;코르넬리우스 반 오카스펠 ;1933;1964;1999;SL;Dismal Enigma;Medium;M69046;X
380040;Head of Military Intelligence;벤자민 O. 데이비스 ;1942;1964;1999;SL;Logistics Specialist;Medium;M69007;X
380041;Head of Military Intelligence;프레데릭 E. 머피 ;1946;1964;1999;SL;Technical Specialist;Medium;M69067;X
380042;Chief of Army;벤자민 O. 데이비스 ;1942;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M69007;X
380043;Chief of Army;존 R. 폭스 ;1933;1964;1999;SL;Elastic Defence Doctrine;Medium;M69072;X
380044;Head of Government;다니엘 호워드 ;1912;1933;1999;SL;Corporate Suit;Medium;9812;X
380045;Head of Government;찰스 킹 ;1920;1933;1999;SL;Silent Workhorse;Medium;9811;X
380046;Head of State;다니엘 호워드 ;1912;1933;1999;SL;Benevolent Gentleman;Medium;9812;X
380047;Head of State;찰스 킹 ;1920;1933;1999;SL;Weary Stiffneck;Medium;9811;X
