LIT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
140001;Head of State;안타나스 스메토나 ;1918;1944;1999;FA;Weary Stiffneck;High;M28001;X
140002;Head of Government;유오자스 투벨리스 ;1929;1964;1999;FA;Political Protege;High;M28002;X
140003;Foreign Minister;스타시스 로조라이티스 ;1933;1964;1999;FA;Ideological Crusader;Medium;M28003;X
140004;Minister of Armament;발데마라스 비타우타스 ;1933;1964;1999;FA;Military Entrepreneur;Medium;M28004;X
140005;Minister of Security;안타나스 스메토나 ;1933;1964;1999;FA;Compassionate Gentleman;Medium;M28001;X
140006;Head of Military Intelligence;도바스 자우니우스 ;1933;1964;1999;FA;Political Specialist;Medium;M28006;X
140007;Chief of Staff;요나스 갈비디스 ;1933;1964;1999;FA;School of Defence;Medium;M28007;X
140008;Chief of Army;스타시스 라스티키스 ;1933;1964;1999;FA;Elastic Defence Doctrine;Medium;M28008;X
140009;Chief of Navy;가르니스 디르만타스 ;1933;1964;1999;FA;Open Seas Doctrine;Medium;M28009;X
140010;Chief of Air Force;안타나스 구스타이티스 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M28010;X
140011;Head of State;아우구스티나스 볼데마라스 ;1933;1964;1999;NS;Powerhungry Demagogue;High;M28031;X
140012;Head of State;카지스 스키르파 ;1940;1964;1999;NS;Insignificant Layman;High;M28032;X
140013;Head of State;테오도르 폰 렌텔른 ;1941;1964;1999;NS;Resigned Generalissimo;High;M28033;X
140014;Head of State;안타나스 메르키스 ;1940;1964;1999;PA;Benevolent Gentleman;High;M28035;X
140015;Head of State;요나스 제마이티스 ;1945;1964;1999;PA;Autocratic Charmer;High;M28036;X
140016;Head of State;유표자스 마시우스나스 ;1933;1964;1999;SC;Benevolent Gentleman;High;M28011;X
140017;Head of State;유오자스 암브라제비치우스 ;1941;1964;1999;SC;Insignificant Layman;High;M28020;X
140018;Head of State;아나톨리유스 카이리스 ;1945;1964;1999;SC;Die-hard Reformer;High;M28019;X
