MLY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
500001;Head of State;스텐턴 토마스 ;1933;1964;1999;ML;Weary Stiffneck;High;M565001;X
500002;Head of Government;제럴드 W.R. 템플러 ;1933;1964;1999;ML;Old General;High;M565002;X
500003;Foreign Minister;헨리 골드워디 거니 ;1933;1964;1999;ML;General Staffer;High;M565003;X
500004;Minister of Armament;휴 스테인 프레이저 ;1933;1964;1999;ML;Tank Proponent;Medium;M565004;X
500005;Minister of Security;찰스 힉스 ;1933;1964;1999;ML;Back Stabber;Medium;M565005;X
500006;Head of Military Intelligence;제럴드 E.J. 겐트 ;1933;1964;1999;ML;Technical Specialist;Medium;M565006;X
500007;Chief of Staff;윌리엄 두비 ;1933;1964;1999;ML;School of Psychology;Medium;M565007;X
500008;Chief of Army;아서 퍼시벌 ;1933;1964;1999;ML;Static Defence Doctrine;Medium;M565008;X
500009;Chief of Navy;존 애철리 ;1933;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M565009;X
500010;Chief of Air Force;G.T. 자르만 ;1933;1964;1999;ML;Air Superiority Doctrine;Medium;M565010;X
500011;Head of State;툰쿠 압둘 라흐만 ;1933;1964;1999;SD;Popular Figurehead;High;M565011;X
500012;Head of State;이스칸데르 1세 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M565012;X
500013;Head of Government;데이비드 S. 마샬 l;1933;1964;1999;SD;Corporate Suit;High;M565013;X
500014;Head of Government;이브라힘 4세 ;1933;1964;1999;PA;Backroom Backstabber;High;M565014;X
500015;Foreign Minister;탄청로크 ;1933;1964;1999;SD;Great Compromiser;High;M565015;X
500016;Foreign Minister;함자 울 라일 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M565016;X
500017;Minister of Armament;압둘 라흐만 샤 ;1933;1964;1999;SD;Military Entrepreneur;Medium;M565017;X
500018;Minister of Armament;토마스 애시턴 ;1941;1964;1999;ML;Resource Industrialist;Medium;M565018;X
500019;Minister of Armament;야야 울 나임 ;1933;1964;1999;PA;laissez-faire capitalist;Medium;M565019;X
500020;Minister of Security;림유호크 ;1933;1964;1999;SD;Prince of Terror;Medium;M565020;X
500021;Minister of Security;아서 E. 영 ;1942;1964;1999;ML;Crime Fighter;Medium;M565021;X
500022;Minister of Security;투안쿠 무하메드 ;1933;1964;1999;PA;Efficient Sociopath;Medium;M565022;X
500023;Minister of Security;압둘 하미드 아흐마드 ;1942;1964;1999;PA;Silent Lawyer;Medium;M565023;X
500024;Head of Military Intelligence;무하메드 양 베사르 ;1933;1964;1999;SD;Dismal Enigma;Medium;M565024;X
500025;Head of Military Intelligence;리콴유 ;1943;1964;1999;SD;Industrial Specialist;Medium;M565025;X
500026;Head of Military Intelligence;제럴드 W.R. 템플러 ;1943;1964;1999;ML;Logistics Specialist;Medium;M565026;X
500027;Head of Military Intelligence;압둘 마나프 빈 톨로크 ;1933;1964;1999;PA;Political Specialist;Medium;M565027;X
500028;Head of Military Intelligence;이두르스 빈 툰카 ;1941;1964;1999;PA;Naval Intelligence Specialist;Medium;M565028;X
500029;Chief of Staff;압둘 하미드 샤 ;1933;1964;1999;SD;School of Defence;Medium;M565029;X
500030;Chief of Staff;툰 압둘 라흐만 ;1944;1964;1999;SD;School of Manoeuvre;Medium;M565030;X
500031;Chief of Staff;이브라힘 알 만수르 ;1933;1964;1999;PA;School of Mass Combat;Medium;M565031;X
500032;Chief of Army;무히브 술탄 바디샤 ;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M565032;X
500033;Chief of Army;로버트 브루크 팝햄 ;1942;1964;1999;ML;Elastic Defence Doctrine;Medium;L1051;X
500034;Chief of Army;제럴드 W.R. 템플러 ;1945;1964;1999;ML;Decisive Battle Doctrine;Medium;M565034;X
500035;Chief of Army;하룬 푸트라 ;1933;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M565035;X
500036;Chief of Navy;무하메드 라흐만 알리 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M565036;X
500037;Chief of Navy;사이드 울 라일 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M565037;X
500038;Chief of Air Force;완 술레이만 ;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M565038;X
500039;Chief of Air Force;히삼 2세 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M565039;X
