MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
300001;Head of State;아난딘 아마르 ;1933;1964;1999;LE;Weary Stiffneck;High;M94001;X
300002;Head of Government;도기자빙 루브산샤라 ;1933;1964;1999;LE;Happy Amateur;High;M94002;X
300003;Foreign Minister;펠지디인 겐덴 ;1933;1964;1999;LE;Great Compromiser;Very High;M94003;X
300004;Minister of Armament;잠빈 리훔베 ;1933;1964;1999;LE;Military Entrepreneur;Very High;M94004;X
300005;Minister of Security;잠트상그링 담딘수렌 ;1933;1964;1999;LE;Efficient Sociopath;Very High;M94005;X
300006;Head of Military Intelligence;허를러깅 처이발상 ;1933;1964;1999;LE;Logistics Specialist;Very High;M94006;X
300007;Chief of Staff;치미드 ;1933;1964;1999;LE;School of Psychology;Very High;M94007;X
300008;Chief of Army;치미드 ;1933;1964;1999;LE;Elastic Defence Doctrine;Very High;M94007;X
300009;Chief of Navy;V.G. 피르셀로프 ;1933;1964;1999;LE;Open Seas Doctrine;Medium;M94009;X
300010;Chief of Air Force;울란후 ;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M94010;X
300011;Head of State;윤둔왕쿠그 ;1937;1964;1999;PA;Resigned Generalissimo;High;M94011;X
300012;Head of State;바이윈티 ;1937;1964;1999;SD;Benevolent Gentleman;High;M94021;X
300013;Head of State;단스라빌레깅 도그삼 ;1937;1964;1999;LWR;Insignificant Layman;High;M94025;X
300014;Head of State;곰그치그링 붐트센드 ;1940;1964;1999;ST;Powerhungry Demagogue;High;M94034;X
300015;Head of State;부마 첸데 ;1946;1964;1999;ST;Ruthless Powermonger;High;M94035;X
300016;Head of Government;데므치그돈로브 ;1937;1964;1999;PA;Political Protege;High;M94012;X
300017;Head of Government;바이윈티 ;1937;1964;1999;SD;Happy Amateur;High;M94021;X
300018;Head of Government;다이시잉 담바 ;1937;1964;1999;LWR;Smiling Oilman;High;M94038;X
300019;Head of Government;허를러깅 처이발상 ;1938;1964;1999;LWR;Old General;High;M94006;X
300020;Head of Government;허를러깅 처이발상 ;1940;1964;1999;ST;Old General;High;M94006;X
300021;Head of Government;줌자깅 체덴발 ;1942;1964;1999;ST;Corporate Suit;High;M94041;X
300022;Foreign Minister;데므치그돈로브 ;1937;1964;1999;PA;General Staffer;Very Low;M94012;X
300023;Foreign Minister;쳉구발 바드라츠 ;1937;1964;1999;SD;Apologetic Clerk;Medium;M94023;X
300024;Foreign Minister;도기자빙 루브산샤라 ;1937;1964;1999;LE;Iron Fisted Brute;High;M94002;X
300025;Foreign Minister;반자르자빙 바산자브 ;1937;1964;1999;LWR;Biased Intellectual;High;M94045;X
300026;Foreign Minister;다이시잉 담바 ;1938;1964;1999;LWR;The Cloak N Dagger Schemer;High;M94038;X
300027;Foreign Minister;마르셀 로젠베르크 ;1940;1964;1999;ST;Biased Intellectual;Very High;M94047;X
300028;Foreign Minister;줌자깅 체덴발 ;1941;1964;1999;ST;Iron Fisted Brute;Very High;M94041;X
300029;Foreign Minister;허를러깅 처이발상 ;1944;1964;1999;ST;General Staffer;Very High;M94049;X
300030;Minister of Armament;체벨소드놈 ;1937;1964;1999;PA;Military Entrepreneur;Very High;M94014;X
300031;Minister of Armament;쳉구발 바드라츠 ;1937;1964;1999;LE;Air to Ground Proponent;Medium;M94023;X
300032;Minister of Armament;체벨소드놈 ;1937;1964;1999;LWR;Military Entrepreneur;Very High;M94014;X
300033;Minister of Armament;잘벵그링 세레테르 ;1938;1964;1999;LWR;Theoretical Scientist;Medium;M94024;X
300034;Minister of Armament;바투르 ;1940;1964;1999;ST;Air to Sea Proponent;Medium;M94055;X
300035;Minister of Armament;허를러깅 처이발상 ;1942;1964;1999;ST;Resource Industrialist;Very High;M94006;X
300036;Minister of Armament;잠스랑깅 삼부 ;1944;1964;1999;ST;laissez-faire capitalist;High;M94057;X
300037;Minister of Armament;곰그치그링 붐트센드 ;1946;1964;1999;ST;Military Entrepreneur;Very High;M94034;X
300038;Minister of Armament;수흐바타링 얀지마 ;1947;1964;1999;ST;Administrative Genius;Medium;M94020;X
300039;Minister of Security;부얀만두 ;1937;1964;1999;PA;Prince of Terror;Low;M94015;X
300040;Minister of Security;다그바 ;1937;1964;1999;LE;Prince of Terror;Low;M94028;X
