MTN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
390001;Head of State;세쿨라 드리예비치 ;1933;1964;1999;FA;Autocratic Charmer;High;M544001;X
390002;Head of Government;블라소 쥬카노비치 ;1933;1964;1999;FA;Ambitious Union Boss;High;M544002;X
390003;Foreign Minister;요반 S. 플라메넥 ;1933;1964;1999;FA;Iron Fisted Brute;High;M544003;X
390004;Minister of Armament;에우겐 폰 알보리 ;1933;1964;1999;FA;Corrupt Kleptocrat;Medium;M544004;X
390005;Minister of Security;류보 부크셰비치 ;1933;1964;1999;FA;Silent Lawyer;Medium;M544005;X
390006;Head of Military Intelligence;밀류틴 보지치 ;1933;1964;1999;FA;Political Specialist;Medium;M544006;X
390007;Chief of Staff;루카 고냐 ;1933;1964;1999;FA;School of Psychology;Medium;M544007;X
390008;Chief of Army;안토 그보베노비치 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M544008;X
390009;Chief of Navy;밀타르 마르티노비치 ;1933;1964;1999;FA;Open Seas Doctrine;Medium;M544009;X
390010;Chief of Air Force;보라 토도로비치 ;1933;1964;1999;FA;Naval Aviation Doctrine;Medium;M544010;X
390011;Head of State;다닐로 1세 페트로바 녜고스 ;1921;1940;1999;SC;Popular Figurehead;High;M544011;X
390012;Head of State;이반 리바르 ;1933;1964;1999;LWR;Pig-headed Isolationist;High;M20093;X
390013;Head of Government;사보 세로비치 ;1933;1964;1999;SC;Political Protege;High;M544013;X
390014;Head of Government;파블 쥬리시치 ;1933;1964;1999;LWR;Old General;High;M544014;X
390015;Foreign Minister;밀타르 마르티노비치 ;1933;1964;1999;FA;General Staffer;High;M544009;X
390016;Foreign Minister;밀류틴 부키네크 ;1933;1964;1999;SC;Apologetic Clerk;High;M544016;X
390017;Foreign Minister;요반 두시치 ;1933;1964;1999;LWR;The Cloak N Dagger Schemer;High;M544017;X
390018;Minister of Armament;크르스트 쥬리시치 ;1942;1964;1999;FA;Tank Proponent;Medium;M544018;X
390019;Minister of Armament;두한 부코비크 ;1933;1964;1999;SC;Air to Sea Proponent;Medium;M544019;X
390020;Minister of Armament;고스 코리세브스키 ;1933;1964;1999;LWR;Infantry Proponent;Medium;M544020;X
390021;Minister of Security;칼 볼프 ;1942;1964;1999;FA;Efficient Sociopath;Medium;M544021;X
390022;Minister of Security;미트로판 반 ;1933;1964;1999;SC;Back Stabber;Medium;M544022;X
390023;Minister of Security;이반 그벤코브스키 ;1933;1964;1999;LWR;Prince of Terror;Medium;M544023;X
390024;Head of Military Intelligence;미르코 티르쿠비치 ;1933;1964;1999;SC;Dismal Enigma;Medium;M544024;X
390025;Head of Military Intelligence;키로 필리포비치 ;1933;1964;1999;LWR;Industrial Specialist;Medium;M544025;X
390026;Chief of Staff;발타사르 율야레비치 ;1933;1964;1999;SC;School of Mass Combat;Medium;M544026;X
390027;Chief of Staff;파블 쥬리시치 ;1933;1964;1999;LWR;School of Defence;Medium;M544014;X
390028;Chief of Army;빌헬름 베른트 ;1942;1964;1999;FA;Static Defence Doctrine;Medium;M544028;X
390029;Chief of Army;보지다르 얀코비치 ;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M544029;X
390030;Chief of Army;밀란 셰리치 ;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M544030;X
390031;Chief of Navy;에브게녜 포포비치 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M544031;X
390032;Chief of Navy;쥬라디 네그로스 ;1933;1964;1999;LWR;Indirect Approach Doctrine;Medium;M544032;X
