NAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
710001;Head of State;데이비드 G. 콘라디 ;1933;1964;1999;ML;Autocratic Charmer;High;M570001;X
710002;Head of Government;페트뤼스 I. 호헨하우트 ;1933;1964;1999;ML;Ambitious Union Boss;High;M570002;X
710003;Foreign Minister;틸만 J. 더 필리르스 로스;1933;1964;1999;ML;The Cloak N Dagger Schemer;High;M570003;X
710004;Minister of Armament;코르넬리위스 부르스 ;1933;1964;1999;ML;laissez-faire capitalist;Medium;M570004;X
710005;Minister of Security;니콜라우스 J. 더 베트 ;1933;1964;1999;ML;Man of the People;Medium;M570005;X
710006;Head of Military Intelligence;피터르 루를로프 ;1933;1964;1999;ML;Industrial Specialist;Medium;M570006;X
710007;Chief of Staff;존 E.J. 왠스톤 ;1933;1964;1999;ML;School of Manoeuvre;Medium;M570007;X
710008;Chief of Army;레이카르트 판 데펄스;1933;1964;1999;ML;Static Defence Doctrine;Medium;M570008;X
710009;Chief of Navy;레인하르트 더 베이르스;1933;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M570009;X
710010;Chief of Air Force;프랜시스 달튼 ;1933;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M570010;X
710011;Head of State;피터르 헤일 ;1933;1964;1999;PA;Powerhungry Demagogue;High;M570011;X
710012;Head of Government;C.J. 랑엔호번 ;1933;1964;1999;PA;Silent Workhorse;High;M570012;X
710013;Foreign Minister;베티 콘라디 ;1933;1964;1999;PA;Iron Fisted Brute;High;M570013;X
710014;Minister of Armament;크리스티안 판 덴 헤이버르;1933;1964;1999;PA;Military Entrepreneur;Medium;M570014;X
710015;Minister of Security;헨드레이크 더 토텐베르흐;1933;1964;1999;PA;Back Stabber;Medium;M570015;X
710016;Head of Military Intelligence;아드리안 헤벨턴 ;1933;1964;1999;PA;Political Specialist;Medium;M570016;X
710017;Chief of Staff;닐스 크노벌 ;1933;1964;1999;PA;School of Fire Support;Medium;M570017;X
710018;Chief of Army;헨드레이크 판 이먼;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M570018;X
710019;Chief of Navy;헨드레이크 바우르스 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M570019;X
710020;Chief of Air Force;미셸 더 흐로트;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M570020;X
