NEP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
395001;Head of State;트리부바나 ;1933;1964;1999;PA;Ruthless Powermonger;High;M75001;X
395002;Head of Government;유다 라나 ;1932;1964;1999;PA;Backroom Backstabber;High;M75002;X
395003;Foreign Minister;케사르 라나 ;1933;1964;1999;PA;Biased Intellectual;Medium;M75003;X
395004;Minister of Armament;모한 라나 ;1933;1964;1999;PA;Administrative Genius;Medium;M75004;X
395005;Minister of Security;유다 라나 ;1933;1964;1999;PA;Silent Lawyer;Medium;M75002;X
395006;Head of Military Intelligence;바베르 라나 ;1933;1964;1999;PA;Industrial Specialist;Medium;M75006;X
395007;Chief of Staff;유다 라나 ;1933;1964;1999;PA;School of Psychology;Medium;M75002;X
395008;Chief of Army;파드마 라나 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M75008;X
395009;Chief of Navy;루드라 라나 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M75009;X
395010;Chief of Air Force;키란 라나 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M75010;X
395011;Head of Government;가넨드라 데바 ;1944;1964;1999;PA;Corporate Suit;High;M75011;X
395012;Head of Government;파드마 라나 ;1945;1964;1999;SC;Political Protege;High;M75008;X
395013;Head of Government;모한 라나 ;1945;1964;1999;ML;Naive Optimist;High;M75004;X
395014;Foreign Minister;디르 라나 ;1937;1964;1999;PA;Biased Intellectual;Medium;M75014;X
395015;Foreign Minister;W.R 파커 길 ;1938;1964;1999;SC;Iron Fisted Brute;Medium;M75015;X
395016;Foreign Minister;크리쉬나 라나 ;1940;1964;1999;PA;Apologetic Clerk;Medium;M75016;X
395017;Foreign Minister;모한 라나 ;1943;1964;1999;PA;General Staffer;Medium;M75004;X
395018;Foreign Minister;윌리엄 스티븐슨 메이어 ;1943;1964;1999;SC;Ideological Crusader;Medium;M75018;X
395019;Foreign Minister;에드워드 쿡 ;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M75019;X
395020;Foreign Minister;키란 라나 ;1945;1964;1999;PA;Great Compromiser;Medium;M75010;X
395021;Minister of Armament;윌리엄 스티븐슨 메이어 ;1937;1964;1999;SC;Administrative Genius;Medium;M75018;X
395022;Minister of Armament;게헨드라 라나 ;1938;1964;1999;PA;Air Superiority Proponent;Medium;M75022;X
395023;Minister of Armament;H.T.S. 콜린스 ;1938;1964;1999;SC;Submarine Proponent;Medium;M75023;X
395024;Minister of Armament;W.R 파커 길 ;1938;1964;1999;SC;laissez-faire capitalist;Medium;M75015;X
395025;Minister of Armament;디르 라나 ;1939;1964;1999;PA;Theoretical Scientist;Medium;M75014;X
395026;Minister of Armament;파드마 라나 ;1941;1964;1999;PA;Military Entrepreneur;Medium;M75008;X
395027;Minister of Armament;키란 라나 ;1941;1964;1999;PA;Air to Ground Proponent;Medium;M75010;X
395028;Minister of Armament;시드니 R.플렌터 ;1942;1964;1999;SC;Resource Industrialist;Medium;M75028;X
395029;Minister of Armament;로버트 메인워링 ;1943;1964;1999;SC;Tank Proponent;Medium;M75029;X
395030;Minister of Security;W.R. 파커 길 ;1939;1964;1999;SC;Back Stabber;Medium;M75015;X
395031;Minister of Security;에드워드 쿡 ;1937;1964;1999;SC;Efficient Sociopath;High;M75019;X
395032;Minister of Security;H.T.S. 콜린스 ;1938;1964;1999;SC;Prince of Terror;Medium;M75023;X
395033;Minister of Security;시드니 R.플렌터 ;1942;1964;1999;SC;Man of the People;Medium;M75028;X
395034;Minister of Security;모한 라나 ;1942;1964;1999;PA;Silent Lawyer;Medium;M75004;X
395035;Minister of Security;윌리엄 스티븐스 메이어 ;1944;1964;1999;SC;Crime Fighter;Medium;M75018;X
395036;Minister of Security;파드마 라나 ;1945;1964;1999;PA;Compassionate Gentleman;Medium;M75008;X
395037;Head of Military Intelligence;H.T.S. 콜린스 ;1933;1964;1999;SC;Naval Intelligence Specialist;Medium;M75023;X
395038;Head of Military Intelligence;시드니 R.플렌터 ;1938;1964;1999;SC;Industrial Specialist;Medium;M75028;X
395039;Head of Military Intelligence;로버트 메인워링 ;1940;1964;1999;SC;Logistics Specialist;Medium;M75029;X
395040;Head of Military Intelligence;모한 라나 ;1941;1964;1999;PA;Dismal Enigma;Medium;M75004;X
395041;Head of Military Intelligence;에드워드 쿡 ;1942;1964;1999;SC;Political Specialist;High;M75019;X
395042;Head of Military Intelligence;디르 라나 ;1944;1964;1999;PA;Technical Specialist;Medium;M75014;X
395043;Chief of Staff;바베르 라나 ;1941;1964;1999;PA;School of Manoeuvre;Medium;M75044;X
395044;Chief of Staff;모한 라나 ;1942;1964;1999;PA;School of Defence;Medium;M75004;X
395045;Chief of Staff;H.T.S. 콜린스 ;1943;1964;1999;SC;School of Fire Support;Medium;M75023;X
395046;Chief of Staff;L.M. 포터 ;1944;1964;1999;SC;School of Mass Combat;Medium;M75047;X
395047;Chief of Staff;파드마 라나 ;1945;1964;1999;PA;School of Psychology;Medium;M75008;X
