NIG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
715001;Head of State;버나드 H. 버딜런 ;1933;1964;1999;ML;Powerhungry Demagogue;High;M552001;X
715002;Head of Government;존 E. 셔크버그 ;1933;1964;1999;ML;Political Protege;High;M552002;X
715003;Foreign Minister;앨런 C.M. 번즈 ;1933;1964;1999;ML;Great Compromiser;High;M551002;X
715004;Minister of Armament;아서 F. 리처즈 ;1933;1964;1999;ML;Resource Industrialist;Medium;M552004;X
715005;Minister of Security;윌리엄 베이커 모리스 ;1933;1964;1999;ML;Man of the People;Medium;M552005;X
715006;Head of Military Intelligence;리처드 맥매너스 ;1933;1964;1999;ML;Naval Intelligence Specialist;Medium;M552006;X
715007;Chief of Staff;D.T. 뱅크스 맥도널드 ;1933;1964;1999;ML;School of Fire Support;Medium;L1021;X
715008;Chief of Army;윌리엄 P.S. 딜라일 ;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;L1097;X
715009;Chief of Navy;W.B. 매너스 ;1933;1964;1999;ML;Power Projection Doctrine;Medium;L1369;X
715010;Chief of Air Force;W.L. 브릴 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;L1419;X
715011;Head of State;은남디 아지키웨 ;1933;1964;1999;SD;Benevolent Gentleman;High;M552011;X
715012;Head of State;토마스 아이언사이드 ;1933;1964;1999;PA;Weary Stiffneck;High;M552012;X
715013;Head of Government;아부바바 타파와 발레와 ;1933;1964;1999;SD;Silent Workhorse;High;M552013;X
715014;Head of Government;레온 버처드 ;1933;1964;1999;PA;Ambitious Union Boss;High;M552014;X
715015;Foreign Minister;스튜어트 맥모리스 ;1933;1964;1999;SD;Ideological Crusader;High;M552015;X
715016;Foreign Minister;W.E.B. 더보이스 ;1933;1964;1999;PA;Iron Fisted Brute;High;M552016;X
715017;Minister of Armament;야후 아우코 이디티 ;1933;1964;1999;SD;Battle Fleet Proponent;Medium;M552017;X
715018;Minister of Armament;나이젤 퍼거슨 ;1933;1964;1999;PA;Air Superiority Proponent;Medium;M552018;X
715019;Minister of Security;모함마드 오카지야부 ;1933;1964;1999;SD;Compassionate Gentleman;Medium;M552019;X
715020;Minister of Security;제임스 몬포드 ;1933;1964;1999;PA;Back Stabber;Medium;M552020;X
715021;Head of Military Intelligence;존슨 아유이이 이론시 ;1933;1964;1999;SD;Logistics Specialist;Medium;M552021;X
715022;Head of Military Intelligence;로데릭 스미스 케예스 ;1933;1964;1999;PA;Dismal Enigma;Medium;M552022;X
715023;Chief of Staff;야쿠부 고원 ;1933;1964;1999;SD;School of Manoeuvre;Medium;M552023;X
715024;Chief of Staff;포바 디킨슨 ;1933;1964;1999;PA;School of Mass Combat;Medium;L1104;X
715025;Chief of Army;존슨 아유이이 이론시 ;1933;1964;1999;SD;Static Defence Doctrine;Medium;M552021;X
715026;Chief of Army;H.F L. 힐튼 그린 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;L1164;X
715027;Chief of Navy;해밀턴 아룰라 ;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M552027;X
715028;Chief of Navy;이그나시오 빌라누에바 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M552028;X
715029;Chief of Air Force;이파르 일리슈노 ;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M552029;X
715030;Chief of Air Force;로우리 레건 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L1472;X
