NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
65001;Head of State;호콘 7세 ;1933;1964;1999;SD;Weary Stiffneck;High;M14001;X
65002;Head of Government;요한 니골스볼 ;1933;1964;1999;SD;Ambitious Union Boss;High;M14002;X
65003;Foreign Minister;할브단 코트 ;1933;1964;1999;SD;Biased Intellectual;Medium;M14003;X
65004;Minister of Armament;아돌프 인드레베 ;1933;1964;1999;SD;Resource Industrialist;Medium;M14004;X
65005;Minister of Security;트뤼그브 H. 리 ;1933;1964;1999;SD;Man of the People;Medium;M14005;X
65006;Head of Military Intelligence;알프레드 로슈에르 룬 ;1933;1964;1999;SD;Logistics Specialist;Low;M14006;X
65007;Chief of Staff;오토 루게 ;1933;1964;1999;SD;School of Defence;Medium;M14075;X
65008;Chief of Army;크리스티안 K. 로케 ;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M14008;X
65009;Chief of Navy;야콥 본 데르 리페 ;1933;1954;1954;SD;Indirect Approach Doctrine;Medium;9936;X
65010;Chief of Air Force;야콥 본 데르 리페 ;1933;1954;1954;SD;Army Aviation Doctrine;Medium;9936;X
65011;Head of State;호콘 7세 ;1933;1964;1999;ML;Weary Stiffneck;High;M14001;X
65012;Head of State;알링 산베르그 ;1945;1964;1999;PA;Autocratic Charmer;High;M14014;X
65013;Head of Government;C.J. 함브로 ;1937;1964;1999;ML;Silent Workhorse;High;M14036;X
65014;Head of Government;아이나르 게르하드센 ;1941;1964;1999;SD;Political Protege;High;M14037;X
65015;Head of Government;아돌프 보름 뮐레르 ;1941;1964;1999;SL;Happy Amateur;High;M14038;X
65016;Head of Government;폴 베르그 ;1945;1964;1999;ML;Backroom Backstabber;High;M14039;X
65017;Head of Government;앙에르스 랑예 ;1945;1964;1999;PA;Happy Amateur;High;M14040;X
65018;Foreign Minister;트뤼그브 H. 리 ;1941;1964;1999;SD;Iron Fisted Brute;High;M14005;X
65019;Foreign Minister;할바르드 만테이 랑예 ;1945;1964;1999;SD;General Staffer;High;M14042;X
65020;Foreign Minister;J. L. 모윈켈 ;1933;1964;1999;SL;Ideological Crusader;Very High;M14043;X
65021;Foreign Minister;폴 베르그 ;1937;1964;1999;SL;Great Compromiser;High;M14039;X
65022;Foreign Minister;에리크 안드레아스 콜반 ;1938;1964;1999;ML;Great Compromiser;High;M14045;X
65023;Foreign Minister;C.J. 함브로 ;1939;1964;1999;ML;Great Compromiser;High;M14036;X
65024;Foreign Minister;롤프 안보르드 ;1945;1964;1999;SD;Apologetic Clerk;High;M14047;X
65025;Foreign Minister;알베르트 브릴리암 하겔린 ;1942;1964;1999;FA;Biased Intellectual;Low;M14048;X
65026;Foreign Minister;아담 에그드 니센 ;1941;1964;1999;ST;Iron Fisted Brute;Low;M14021;X
65027;Minister of Armament;핀 하게루프 ;1937;1964;1999;SD;Submarine Proponent;Medium;M14050;X
65028;Minister of Armament;오스카 F. 토르프 ;1939;1964;1999;SD;Mixed economy;Medium;M14051;X
65029;Minister of Armament;프레드리크 몬센 ;1940;1964;1999;SD;Tank Proponent;Medium;M14052;X
65030;Minister of Armament;옌스 크리스티안 하우게 ;1940;1964;1999;SD;Military Entrepreneur;High;M14053;X
65031;Minister of Armament;에리크 브로포스 ;1945;1964;1999;SD;Air Superiority Proponent;High;M14054;X
65032;Minister of Armament;프레데리크 바이치만 ;1933;1964;1999;SL;Infantry Proponent;Medium;M14055;X
65033;Minister of Armament;요한 H. 안드레센 ;1938;1964;1999;ML;Resource Industrialist;Medium;M14056;X
