NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
215001;Head of State;조지 몽크턴 아런델 ;1933;1964;1999;SD;Stern Imperialist;High;M55001;X
215002;Head of Government;마이클 조셉 세비지 ;1933;1964;1999;SD;Silent Workhorse;High;M55002;X
215003;Foreign Minister;마이클 조셉 세비지 ;1933;1964;1999;SD;Great Compromiser;Very High;M55002;X
215004;Minister of Armament;월터 내시 ;1933;1964;1999;SD;Resource Industrialist;High;M55004;X
215005;Minister of Security;윌리엄 패리 ;1933;1964;1999;SD;Compassionate Gentleman;High;M55005;X
215006;Head of Military Intelligence;케네스 포크스 ;1933;1964;1999;SD;Dismal Enigma;Medium;M55006;X
215007;Chief of Staff;윌리엄 싱클레어 ;1933;1964;1999;ML;School of Mass Combat;High;M55007;X
215008;Chief of Army;윌리엄 싱클레어 ;1933;1964;1999;ML;Elastic Defence Doctrine;High;M55007;X
215009;Chief of Navy;E.R. 드러먼드 ;1933;1964;1999;ML;Base Control Doctrine;High;M55009;X
215010;Chief of Air Force;R.A. 코크레인 ;1933;1964;1999;ML;Air Superiority Doctrine;High;M55010;X
215011;Head of State;조지 몽크턴 아런델 ;1933;1964;1999;SC;Stern Imperialist;High;M55001;X
215012;Head of State;노턴 루이스 ;1941;1964;1999;SD;Autocratic Charmer;High;M55033;X
215013;Head of State;노턴 루이스 ;1941;1964;1999;ML;Autocratic Charmer;High;M55033;X
215014;Head of State;베른하트 프레이버그 ;1946;1964;1999;SD;Resigned Generalissimo;High;M55035;X
215015;Head of State;베른하트 프레이버그 ;1946;1964;1999;ML;Resigned Generalissimo;High;M55035;X
215016;Head of Government;아담 해밀턴 ;1938;1964;1999;SC;Corporate Suit;High;M55037;X
215017;Head of Government;피터 프레이저 ;1940;1964;1999;SD;Political Protege;High;M55038;X
215018;Head of Government;시드니 홀랜드 ;1943;1964;1999;SC;Smiling Oilman;High;M55039;X
215019;Foreign Minister;프랭크 랭스톤 ;1938;1964;1999;SD;Ideological Crusader;Low;M55040;X
215020;Foreign Minister;피터 프레이저 ;1940;1964;1999;SD;Biased Intellectual;Very High;M55038;X
215021;Foreign Minister;월터 내시 ;1945;1964;1999;SD;Apologetic Clerk;High;M55004;X
215022;Foreign Minister;제임스 앨런 ;1938;1964;1999;ML;Great Compromiser;Very High;M55043;X
215023;Foreign Minister;아담 해밀턴 ;1938;1964;1999;SC;Apologetic Clerk;Very High;M55037;X
215024;Foreign Minister;윌리엄 싱클레어 ;1940;1964;1999;SC;General Staffer;High;M55007;X
215025;Foreign Minister;고든 코츠 ;1942;1964;1999;SC;The Cloak N Dagger Schemer;High;M55046;X
215026;Foreign Minister;시드니 홀랜드 ;1943;1964;1999;SC;Great Compromiser;Very High;M55039;X
215027;Minister of Armament;댄 설리번 ;1933;1964;1999;SD;Resource Industrialist;High;M55048;X
215028;Minister of Armament;윌리엄 J. 조던 ;1939;1964;1999;SD;laissez-faire capitalist;High;M55049;X
215029;Minister of Armament;L.M. 이싯 ;1939;1964;1999;SD;Air to Sea Proponent;High;M55050;X
215030;Minister of Armament;키스 J. 홀요크 ;1944;1964;1999;SD;Military Entrepreneur;High;M55051;X
215031;Minister of Armament;W.E. 패리 ;1942;1964;1999;ML;Submarine Proponent;High;M55052;X
215032;Minister of Armament;R.A. 코크레인 ;1933;1964;1999;SC;Air Superiority Proponent;High;M55010;X
215033;Minister of Armament;시드니 홀랜드 ;1938;1964;1999;SC;laissez-faire capitalist;High;M55039;X
215034;Minister of Armament;A. 드 테로트 네빌 ;1939;1964;1999;SC;Strategic Air Proponent;High;9814;X
215035;Minister of Armament;W.H. 스트래튼 ;1939;1964;1999;SC;Air to Ground Proponent;High;M55056;X
215036;Minister of Armament;프레드릭 필드 ;1942;1964;1999;SC;Battle Fleet Proponent;High;M55057;X
215037;Minister of Armament;켄 매캔지 ;1943;1964;1999;SC;Theoretical Scientist;High;M55058;X
215038;Minister of Armament;에드워드 퍼틱 ;1944;1964;1999;SC;Infantry Proponent;High;M55059;X
215039;Minister of Armament;J.E. 디건 ;1945;1964;1999;SC;Tank Proponent;High;M55060;X
215040;Minister of Security;에드워드 블런델 ;1938;1964;1999;SD;Silent Lawyer;High;M55061;X
215041;Minister of Security;로버트 셈플 ;1940;1964;1999;SD;Man of the People;High;M55062;X
215042;Minister of Security;제임스 앨런 ;1933;1964;1999;ML;Back Stabber;Very High;M55043;X
215043;Minister of Security;E.R. 드러먼드 ;1943;1964;1999;ML;Efficient Sociopath;High;M55009;X
