PAK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
725001;Head of State;헨리 더필드 크레이크 ;1933;1964;1999;ML;Stern Imperialist;High;M564001;X
725002;Head of Government;존 앤더슨 ;1933;1964;1999;ML;Political Protege;High;M564002;X
725003;Foreign Minister;베르트랑 글랜시 ;1933;1964;1999;ML;Great Compromiser;High;M564003;X
725004;Minister of Armament;알버트 E. 클러터버크 ;1933;1964;1999;ML;Corrupt Kleptocrat;Medium;M564004;X
725005;Minister of Security;허버트 윌리엄 에머슨 ;1933;1964;1999;ML;Prince of Terror;Medium;M564005;X
725006;Head of Military Intelligence;프레데릭 고프 칼토르프 ;1933;1964;1999;ML;Industrial Specialist;Medium;M564006;X
725007;Chief of Staff;월러스 더필드 라이트 ;1933;1964;1999;ML;School of Defence;Medium;M564007;X
725008;Chief of Army;B.G.E. 다이어 ;1933;1964;1999;ML;Static Defence Doctrine;Medium;M564008;X
725009;Chief of Navy;존 탤벗 사비냑 홀 ;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;L1394;X
725010;Chief of Air Force;제럴드 헨드릭슨 ;1933;1964;1999;ML;Naval Aviation Doctrine;Medium;M564010;X
725011;Head of State;이스칸데르 미르자 ;1933;1964;1999;SD;Barking Buffoon;High;M59014;X
725012;Head of State;무하마드 슈자 울 물크 ;1933;1964;1999;PA;Resigned Generalissimo;High;M564012;X
725013;Head of Government;무하마드 알리 지나 ;1933;1964;1999;SD;Flamboyant Tough Guy;High;M59042;X
725014;Head of Government;자미아트 2세 ;1933;1964;1999;PA;old airmarshal;High;M564014;X
725015;Foreign Minister;리아카트 알리 칸 ;1933;1964;1999;SD;The Cloak N Dagger Schemer;High;M59052;X
725016;Foreign Minister;무하마드 아유브 칸 ;1946;1964;1999;SD;General Staffer;High;M59049;X
725017;Foreign Minister;느왐 칸 조라와르 ;1933;1964;1999;PA;Ideological Crusader;High;M564017;X
725018;Minister of Armament;자키르 후사인 ;1933;1964;1999;SD;Theoretical Scientist;Medium;M59066;X
725019;Minister of Armament;자히드 후사인 ;1941;1964;1999;SD;Administrative Genius;Medium;M564019;X
725020;Minister of Armament;프랜시스 에드거 커니 ;1940;1964;1999;ML;Military Entrepreneur;Medium;M564020;X
725021;Minister of Armament;메흐타르 사이프 울 라흐만 ;1933;1964;1999;PA;Resource Industrialist;Medium;M564021;X
725022;Minister of Security;리아카트 알리 칸 ;1933;1964;1999;SD;Efficient Sociopath;Very High;M59052;X
725023;Minister of Security;압둘 바드샤 칸 ;1944;1964;1999;SD;Man of the People;Very High;M59076;X
725024;Minister of Security;에번 메레디트 젠킨스 ;1943;1964;1999;ML;Compassionate Gentleman;Medium;M564024;X
725025;Minister of Security;무자파르 울 물크 ;1933;1964;1999;PA;Back Stabber;Medium;M564025;X
725026;Head of Military Intelligence;이프타카르 후사인 ;1933;1964;1999;SD;Industrial Specialist;Medium;M59085;X
725027;Head of Military Intelligence;윌프레드 하트 수그덴 ;1941;1964;1999;ML;Naval Intelligence Specialist;Medium;M564027;X
725028;Head of Military Intelligence;에드워드 글레이센 ;1933;1964;1999;PA;Dismal Enigma;Medium;M564028;X
725029;Chief of Staff;스킨데르 히타이 칸 ;1933;1964;1999;SD;School of Psychology;Very High;M59096;X
725030;Chief of Staff;무하마드 야야 칸 ;1945;1964;1999;SD;School of Fire Support;Low;M59098;X
725031;Chief of Staff;슈리만 8세 ;1933;1964;1999;PA;School of Mass Combat;Low;M564031;X
725032;Chief of Army;무하마드 아유브 칸 ;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M59105;X
725033;Chief of Army;무하마드 야야 칸 ;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M59098;X
725034;Chief of Army;루큰 나와브 웃 두알라 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M564034;X
725035;Chief of Navy;알리 레흐만 칸 ;1933;1964;1999;SD;Base Control Doctrine;Medium;L505113;X
725036;Chief of Navy;디완 3세 나와브 ;1933;1964;1999;SD;Open Seas Doctrine;Medium;M564036;X
725037;Chief of Air Force;아스카르 칸 ;1933;1964;1999;SD;Vertical Envelopment Doctrine;High;M59020;X
725038;Chief of Air Force;아흐마드 울 물크 ;1933;1964;1999;PA;Carpet Bombing Doctrine;High;M564038;X
725039;Head of State;무하마드 알리 지나 ;1947;1964;1999;SD;Powerhungry Demagogue;High;M59042;X
725040;Head of State;크와자 나지무딘 ;1948;1964;1999;SD;Barking Buffoon;High;M564040;X
725041;Head of State;골람 무하마드 ;1951;1964;1999;SD;Benevolent Gentleman;High;M564041;X
725042;Head of Government;리아카트 알리 칸 ;1947;1964;1999;SD;Backroom Backstabber;High;M59052;X
725043;Head of Government;크와자 나지무딘 ;1947;1964;1999;SD;Corporate Suit;High;M564040;X
725044;Head of Government;무하마드 알리 보그라 ;1953;1964;1999;SD;Ambitious Union Boss;High;M564044;X
725045;Foreign Minister;초드리 무하마드 알리 ;1951;1964;1999;SD;Biased Intellectual;High;M564045;X
725046;Foreign Minister;후사인 수흐라완디 ;1953;1964;1999;SD;Apologetic Clerk;High;M564046;X
725047;Minister of Armament;압둘 와하브 칸 ;1952;1964;1999;SD;Infantry Proponent;Medium;M564047;X
725048;Minister of Security;몰루비 타미자딘 칸 ;1951;1964;1999;SD;Silent Lawyer;Very High;M564048;X
725049;Head of Military Intelligence;압둘 와하브 칸 ;1949;1964;1999;SD;Logistics Specialist;Medium;M564047;X
725050;Chief of Staff;아슬람 베그 ;1962;1964;1999;PA;School of Psychology;High;6091;x
