PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
405001;Head of State;하르모디오 데 라 마드리드 ;1932;1964;1999;ML;Autocratic Charmer;High;M95001;X
405002;Head of Government;하르모디오 데 라 마드리드 ;1932;1964;1999;ML;Corporate Suit;High;M95001;X
405003;Foreign Minister;나르키소 가라이 디아스 ;1933;1964;1999;SL;Ideological Crusader;Medium;M95003;X
405004;Minister of Armament;다니엘 C. 핀손 ;1933;1964;1999;ML;laissez-faire capitalist;Medium;M95004;X
405005;Minister of Security;이그나시오 E. 멘도사 ;1933;1964;1999;SL;Back Stabber;Medium;M95005;X
405006;Head of Military Intelligence;에세케일 하엔 ;1933;1964;1999;ML;Dismal Enigma;Medium;M95006;X
405007;Chief of Staff;후안 레몬 ;1933;1964;1999;SL;School of Psychology;Medium;M95007;X
405008;Chief of Army;볼리바르 비야리노 ;1933;1964;1999;ML;Guns and Butter Doctrine;Medium;M95008;X
405009;Chief of Navy;후안 A. 헤르난데스 ;1933;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M95009;X
405010;Chief of Air Force;후안 레몬 ;1933;1964;1999;ML;Naval Aviation Doctrine;Medium;M95007;X
405011;Head of State;후안 아로세마나 ;1933;1964;1999;SC;Resigned Generalissimo;High;M95031;X
405012;Head of State;아르눌포 데 라 마드리드 ;1940;1964;1999;ML;Popular Figurehead;High;M95032;X
405013;Head of State;리카르도 데 라 가르디아 ;1941;1964;1999;PA;Powerhungry Demagogue;High;M95013;X
405014;Head of State;아르눌포 데 라 마드리드 ;1945;1964;1999;SL;Autocratic Charmer;High;M95034;X
405015;Head of State;엔리케 히메네스 브린 ;1946;1964;1999;PA;Stern Imperialist;High;M95035;X
405016;Head of Government;카를로스 사발라 ;1933;1964;1999;SC;Old Admiral;High;M95036;X
405017;Head of Government;아르눌포 데 라 마드리드 ;1940;1964;1999;ML;Corporate Suit;High;M95032;X
405018;Head of Government;아우구스토 사무엘 보이드 ;1941;1964;1999;PA;Ambitious Union Boss;High;M95038;X
405019;Head of Government;마누엘 D. 그라나도스 ;1945;1964;1999;SL;Silent Workhorse;High;M95039;X
405020;Head of Government;호세 아우구스틴 아란고 ;1946;1964;1999;PA;Political Protege;High;M95011;X
405021;Foreign Minister;라울 데 로욱스 ;1933;1964;1999;ML;Biased Intellectual;Medium;M95041;X
405022;Foreign Minister;호세 데 라 오사 ;1933;1964;1999;SC;Great Compromiser;Medium;M95042;X
405023;Foreign Minister;나르키소 가라이 디아스 ;1938;1964;1999;PA;Apologetic Clerk;Medium;M95003;X
405024;Foreign Minister;후안 아로세마나 ;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M95031;X
405025;Foreign Minister;아우구스토 사무엘 보이드 ;1940;1964;1999;ML;Iron Fisted Brute;Medium;M95038;X
405026;Foreign Minister;리카르도 데 라 가르디아 ;1941;1964;1999;PA;Biased Intellectual;High;M95013;X
405027;Foreign Minister;옥타비오 파브레가 ;1942;1964;1999;SC;Iron Fisted Brute;High;M95047;X
405028;Foreign Minister;사무엘 루이스 아란가 ;1945;1964;1999;PA;Great Compromiser;High;M95048;X
405029;Foreign Minister;로베르토 데 로욱스 ;1945;1964;1999;ML;Great Compromiser;High;M95049;X
405030;Foreign Minister;오라시오 알파로 디아스 ;1946;1964;1999;PA;General Staffer;High;M95050;X
405031;Foreign Minister;에르마뇨 카스티요 바이도 ;1947;1964;1999;SC;Apologetic Clerk;High;M95051;X
405032;Minister of Armament;네스토르 우리베 수아레스 ;1933;1964;1999;SC;Infantry Proponent;Medium;M95052;X
405033;Minister of Armament;호세 페제트 ;1940;1964;1999;SL;Resource Industrialist;Medium;M95053;X
405034;Minister of Armament;엔리케 히메네스 브린 ;1945;1964;1999;SL;Tank Proponent;Medium;M95035;X
405035;Minister of Armament;이그나시오 E. 멘도사 ;1946;1964;1999;SC;Infantry Proponent;Medium;M95005;X
405036;Minister of Security;라울 아리아스 아마도르 ;1933;1964;1999;SC;Man of the People;Medium;M95015;X
405037;Minister of Security;카를로스 멘도사 ;1940;1964;1999;SL;Crime Fighter;Medium;M95059;X
405038;Minister of Security;후안 레몬 ;1941;1964;1999;SC;Man of the People;Medium;M95007;X
405039;Minister of Security;니콜라스 아르디토 ;1945;1964;1999;SL;Compassionate Gentleman;Medium;M95061;X
405040;Minister of Security;호세 아빌라 ;1946;1964;1999;SC;Crime Fighter;Medium;M95062;X
405041;Head of Military Intelligence;에르네스토 로페스 ;1933;1964;1999;SC;Dismal Enigma;Medium;M95063;X
405042;Head of Military Intelligence;빅토르 파레하 ;1940;1964;1999;SL;Industrial Specialist;Medium;M95025;X
405043;Head of Military Intelligence;발도메로 타르테 ;1941;1964;1999;PA;Logistics Specialist;Medium;M95016;X
