PAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
200001;Head of State;에우세비오 아얄라 ;1933;1964;1999;ML;Benevolent Gentleman;High;M42001;X
200002;Head of Government;에우세비오 아얄라 ;1933;1964;1999;ML;Corporate Suit;High;M42001;X
200003;Foreign Minister;루이스 알베르토 리아르트 ;1933;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M42003;X
200004;Minister of Armament;페데리코 차베스 ;1933;1964;1999;ML;Infantry Proponent;Medium;M42004;X
200005;Minister of Security;니콜라스 델가도 ;1933;1964;1999;ML;Prince of Terror;Medium;M42005;X
200006;Head of Military Intelligence;후안 마누엘 프루토스 ;1933;1964;1999;ML;Logistics Specialist;Medium;M42006;X
200007;Chief of Staff;이고르 에른 ;1933;1964;1999;ML;School of Defence;Medium;M42007;X
200008;Chief of Army;마누엘 T. 아폰테 ;1933;1964;1999;ML;Static Defence Doctrine;Medium;M42008;X
200009;Chief of Navy;마누엘 T. 아폰테 ;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;M42008;X
200010;Chief of Air Force;비센테 알모나시드 ;1933;1964;1999;ML;Air Superiority Doctrine;Medium;M42010;X
200011;Head of State;라파엘 프랑코 ;1933;1964;1999;SD;Resigned Generalissimo;High;M42047;X
200012;Head of State;펠릭스 파이바 ;1937;1964;1999;SC;Insignificant Layman;High;M42062;X
200013;Head of State;호세 인사우랄데 ;1939;1964;1999;SD;Autocratic Charmer;High;M42063;X
200014;Head of State;히게니오 마르티네스 ;1940;1964;1999;PA;Barking Buffoon;High;M42064;X
200015;Head of Government;에우헤니오 가라이 ;1933;1964;1999;SD;Ambitious Union Boss;High;M42065;X
200016;Head of Government;펠릭스 파이바 ;1937;1964;1999;SC;Smiling Oilman;High;M42062;X
200017;Head of Government;호세 인사우랄데 ;1939;1964;1999;SD;Happy Amateur;High;M42063;X
200018;Head of Government;히게니오 마르티네스 ;1940;1964;1999;PA;Old General;High;M42064;X
200019;Head of Government;라이문도 롤론 비야산티 ;1944;1964;1999;SC;Political Protege;High;M42069;X
200020;Foreign Minister;후안 스테파니차 ;1933;1964;1999;LWR;Ideological Crusader;Medium;M42049;X
200021;Foreign Minister;세실리오 바에스 ;1937;1964;1999;SD;Iron Fisted Brute;Medium;M42072;X
