PER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
150001;Head of State;모하메드 레자 팔라비 ;1925;1943;1999;PA;Resigned Generalissimo;High;M53001;X
150002;Head of Government;마흐무드 자므 ;1933;1964;1999;PA;Silent Workhorse;High;M53002;X
150003;Foreign Minister;이나야톨라 칸 사미 ;1933;1964;1999;PA;Great Compromiser;Medium;M53003;X
150004;Minister of Armament;아흐마드 칸 나흐자반 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M53004;X
150005;Minister of Security;알리 악바르 다바르 ;1933;1964;1999;PA;Back Stabber;Medium;M53005;X
150006;Head of Military Intelligence;레자 미자니 ;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M53006;X
150007;Chief of Staff;모하메드 레자 팔라비 ;1933;1943;1999;PA;School of Defence;Medium;M53001;X
150008;Chief of Army;압돌레자 아프하미 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M53008;X
150009;Chief of Navy;아흐마드 호라스라바니 ;1933;1964;1999;PA;Indirect Approach Doctrine;High;M53009;X
150010;Chief of Air Force;아흐마드 칸 나흐자반 ;1933;1964;1999;PA;Naval Aviation Doctrine;High;M53004;X
150011;Head of State;모하메드 레자 팔라비 ;1941;1964;1999;SC;Benevolent Gentleman;High;M53011;X
150012;Head of State;모하메드 레자 팔라비 ;1941;1964;1999;PA;Autocratic Charmer;High;M53011;X
150013;Head of Government;아흐마드 다프타리 ;1939;1964;1999;FA;Naive Optimist;High;M53033;X
150014;Head of Government;알리 칸 만수르 ;1940;1964;1999;PA;Old General;High;M53034;X
150015;Head of Government;모하메드 알리 푸루기 ;1941;1964;1999;SC;Political Protege;High;M53015;X
150016;Head of Government;알리 조하일리 ;1943;1964;1999;SL;Smiling Oilman;High;M53036;X
150017;Head of Government;아흐메드 카완 앗 살타나 ;1942;1964;1999;SC;Happy Amateur;High;M53037;X
150018;Head of Government;모하메드 사이드 마라게이 ;1944;1964;1999;SC;Silent Workhorse;High;M53038;X
150019;Head of Government;사이드 칸 바야트 ;1944;1964;1999;SL;FLamboyant Tough Guy;High;M53039;X
150020;Head of Government;이브라힘 하키미 ;1945;1964;1999;PA;Backroom Backstabber;High;M53040;X
150021;Head of Government;무흐신 사드르 ;1945;1964;1999;SC;Corporate Suit;High;M53041;X
150022;Foreign Minister;무스타파 아딜 ;1937;1964;1999;PA;Biased Intellectual;Medium;M53042;X
150023;Foreign Minister;미리아 무흐신 칸 ;1938;1964;1999;PA;Ideological Crusader;Medium;M53043;X
150024;Foreign Minister;알리 조하일리 ;1939;1964;1999;PA;Iron Fisted Brute;Low;M53036;X
150025;Foreign Minister;무자파르 알람 ;1939;1964;1999;PA;Apologetic Clerk;Medium;M53045;X
150026;Foreign Minister;이브라힘 알람 ;1940;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M53046;X
150027;Foreign Minister;아마리 자와드 ;1940;1964;1999;FA;Biased Intellectual;Medium;M53047;X
150028;Foreign Minister;알리 조하일리 ;1941;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M53036;X
150029;Foreign Minister;모하메드 사이드 마라게이 ;1942;1964;1999;SC;Great Compromiser;High;M53038;X
150030;Foreign Minister;누스룰라 인티잠 ;1944;1964;1999;SL;Biased Intellectual;Medium;M53051;X
150031;Foreign Minister;아누시르반 세파보디 ;1945;1964;1999;PA;Apologetic Clerk;Medium;M53052;X
150032;Foreign Minister;압둘 카심 ;1945;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M53053;X
150033;Foreign Minister;아흐메드 콰완 앗 살타나 ;1946;1964;1999;SC;Ideological Crusader;High;M53037;X
150034;Foreign Minister;모하메드 모사덱 ;1946;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M53013;X
150035;Minister of Armament;레자 미자니 ;1937;1964;1999;PA;Resource Industrialist;Medium;M53006;X
150036;Minister of Armament;리자 아르파 도울레흐 ;1937;1964;1999;PA;Infantry Proponent;Medium;M53057;X
150037;Minister of Armament;알프리드 침머만 ;1938;1964;1999;SC;laissez-faire capitalist;Medium;M53014;X
150038;Minister of Armament;아흐마드 칸 나흐자반 ;1938;1964;1999;PA;Air to Sea Proponent;High;M53004;X
150039;Minister of Armament;아흐마드 호라스라바니 ;1939;1964;1999;PA;Submarine Proponent;High;M53009;X
150040;Minister of Armament;압돌레자 아프하미 ;1939;1964;1999;FA;Military Entrepreneur;Medium;M53008;X
150041;Minister of Armament;모하메드 나흐자바니 ;1940;1964;1999;FA;Tank Proponent;Medium;M53062;X
150042;Minister of Armament;모르테자 야즈디 ;1940;1964;1999;FA;Air Superiority Proponent;Medium;M53024;X
150043;Minister of Armament;사이드 타바타바이 ;1941;1964;1999;SC;Battle Fleet Proponent;Medium;M53012;X
150044;Minister of Armament;조카 도울레흐 ;1943;1964;1999;SL;Theoretical Scientist;Medium;M53065;X
